vm,current_dynamic_instructions,candidate_dynamic_instructions,instruction_delta,instruction_delta_percent,current_COPY_REG_REG,candidate_COPY_REG_REG,COPY_REG_REG_delta,current_value_operations,candidate_value_operations,value_operations_delta,value_operations_delta_percent,current_value_bytes,candidate_value_bytes,value_bytes_delta,value_bytes_delta_percent,current_allocation_requests,candidate_allocation_requests,current_allocation_bytes,candidate_allocation_bytes
rxvm,21139726,22139726,1000000,4.730430,10201,1010201,1000000,2133272,8133291,6000019,281.258977,11149175,51149295,40000120,358.772017,260520,260533,83328648,83333320
rxbvm,21139726,22139726,1000000,4.730430,10201,1010201,1000000,2133272,8133291,6000019,281.258977,11149175,51149295,40000120,358.772017,260520,260533,83328648,83333320
