entry,name,value
sieve-noopt,schema_version,5
sieve-noopt,vm_mode,rxvm
sieve-noopt,profile_mode,counts
sieve-noopt,result,0
sieve-noopt,timer_read_min_ns,0
sieve-noopt,timer_zero_deltas,0
sieve-noopt,interrupt_polls,7912375
sieve-noopt,invalid_events,0
sieve-noopt,counter_overflow,0
sieve-noopt,procedure_tracking_unavailable,0
sieve-noopt,allocation_tracking_unavailable,0
sieve-noopt,census_tracking_unavailable,0
sieve-noopt,branch_tracking_unavailable,0
sieve-opt,schema_version,5
sieve-opt,vm_mode,rxvm
sieve-opt,profile_mode,counts
sieve-opt,result,0
sieve-opt,timer_read_min_ns,0
sieve-opt,timer_zero_deltas,0
sieve-opt,interrupt_polls,6825375
sieve-opt,invalid_events,0
sieve-opt,counter_overflow,0
sieve-opt,procedure_tracking_unavailable,0
sieve-opt,allocation_tracking_unavailable,0
sieve-opt,census_tracking_unavailable,0
sieve-opt,branch_tracking_unavailable,0
