workload,vm,entry,rank,procedure,module,kind,calls,total_ns,average_ns
Sieve,rxvm,sieve-opt,1,awfy_sieve.main,benchmark_awfy_sieve_opt,procedure,1,0,0
Sieve,rxbvm,sieve-opt,1,awfy_sieve.main,benchmark_awfy_sieve_opt,procedure,1,0,0
Permute,rxvm,permute-opt,1,awfy_permute.permutebenchmark.permute,benchmark_awfy_permute_opt,method,432950,0,0
Permute,rxvm,permute-opt,2,awfy_permute.main,benchmark_awfy_permute_opt,procedure,1,0,0
Permute,rxbvm,permute-opt,1,awfy_permute.permutebenchmark.permute,benchmark_awfy_permute_opt,method,432950,0,0
Permute,rxbvm,permute-opt,2,awfy_permute.main,benchmark_awfy_permute_opt,procedure,1,0,0
Mandelbrot,rxvm,mandelbrot-opt,1,awfy_mandelbrot.main,benchmark_awfy_mandelbrot_opt,procedure,1,0,0
Mandelbrot,rxbvm,mandelbrot-opt,1,awfy_mandelbrot.main,benchmark_awfy_mandelbrot_opt,procedure,1,0,0
Towers,rxvm,towers-opt,1,awfy_towers.towersbenchmark.pushdisk,benchmark_awfy_towers_opt,method,82050,0,0
Towers,rxvm,towers-opt,2,awfy_towers.towersbenchmark.movedisks,benchmark_awfy_towers_opt,method,81900,0,0
Towers,rxvm,towers-opt,3,awfy_towers.main,benchmark_awfy_towers_opt,procedure,1,0,0
Towers,rxbvm,towers-opt,1,awfy_towers.towersbenchmark.pushdisk,benchmark_awfy_towers_opt,method,82050,0,0
Towers,rxbvm,towers-opt,2,awfy_towers.towersbenchmark.movedisks,benchmark_awfy_towers_opt,method,81900,0,0
Towers,rxbvm,towers-opt,3,awfy_towers.main,benchmark_awfy_towers_opt,procedure,1,0,0
Bounce,rxvm,bounce-opt,1,awfy_bounce.bounceball.§factory,benchmark_awfy_bounce_opt,factory,10000,0,0
Bounce,rxvm,bounce-opt,2,awfy_bounce.bouncebenchmark.run,benchmark_awfy_bounce_opt,method,100,0,0
Bounce,rxvm,bounce-opt,3,awfy_bounce.main,benchmark_awfy_bounce_opt,procedure,1,0,0
Bounce,rxbvm,bounce-opt,1,awfy_bounce.bounceball.§factory,benchmark_awfy_bounce_opt,factory,10000,0,0
Bounce,rxbvm,bounce-opt,2,awfy_bounce.bouncebenchmark.run,benchmark_awfy_bounce_opt,method,100,0,0
Bounce,rxbvm,bounce-opt,3,awfy_bounce.main,benchmark_awfy_bounce_opt,procedure,1,0,0
Storage,rxvm,storage-opt,1,rxfnsb.objectarrayappend,objectarrayappend,procedure,95560,0,0
Storage,rxvm,storage-opt,2,awfy_storage.storagebenchmark.buildtreedepth,benchmark_awfy_storage_opt,method,54600,0,0
Storage,rxvm,storage-opt,3,awfy_storage.storagenode.allocateleaf,benchmark_awfy_storage_opt,method,40960,0,0
Storage,rxvm,storage-opt,4,awfy_storage.storagebenchmark.run,benchmark_awfy_storage_opt,method,10,0,0
Storage,rxvm,storage-opt,5,awfy_storage.main,benchmark_awfy_storage_opt,procedure,1,0,0
Storage,rxbvm,storage-opt,1,rxfnsb.objectarrayappend,objectarrayappend,procedure,95560,0,0
Storage,rxbvm,storage-opt,2,awfy_storage.storagebenchmark.buildtreedepth,benchmark_awfy_storage_opt,method,54600,0,0
Storage,rxbvm,storage-opt,3,awfy_storage.storagenode.allocateleaf,benchmark_awfy_storage_opt,method,40960,0,0
Storage,rxbvm,storage-opt,4,awfy_storage.storagebenchmark.run,benchmark_awfy_storage_opt,method,10,0,0
Storage,rxbvm,storage-opt,5,awfy_storage.main,benchmark_awfy_storage_opt,procedure,1,0,0
List,rxvm,list-opt,1,awfy_list.listelement.next,benchmark_awfy_list_opt,method,3820600,0,0
List,rxvm,list-opt,2,awfy_list.listbenchmark.isshorterthan,benchmark_awfy_list_opt,method,280900,0,0
List,rxvm,list-opt,3,awfy_list.listbenchmark.tail,benchmark_awfy_list_opt,method,280900,0,0
List,rxvm,list-opt,4,awfy_list.listbenchmark.makelist,benchmark_awfy_list_opt,method,3400,0,0
List,rxvm,list-opt,5,awfy_list.listarena.allocate,benchmark_awfy_list_opt,method,3100,0,0
List,rxbvm,list-opt,1,awfy_list.listelement.next,benchmark_awfy_list_opt,method,3820600,0,0
List,rxbvm,list-opt,2,awfy_list.listbenchmark.isshorterthan,benchmark_awfy_list_opt,method,280900,0,0
List,rxbvm,list-opt,3,awfy_list.listbenchmark.tail,benchmark_awfy_list_opt,method,280900,0,0
List,rxbvm,list-opt,4,awfy_list.listbenchmark.makelist,benchmark_awfy_list_opt,method,3400,0,0
