workload,vm,entry,schema,dynamic_instructions,calls,fresh_frames,reused_frames,frame_entry_work,copy_ops,copy_bytes,move_ops,move_bytes,clear_reset_destroy_ops,clear_reset_destroy_bytes,conversion_ops,allocation_requests,allocation_bytes,max_request_bytes,frame_high_water,branch_executions,branch_taken,branch_fallthrough,backedges,selector_attempts,frame_entry_ns,copy_ns,move_ns,clear_reset_destroy_ns,conversion_ns,status
Sieve,rxvm,sieve-opt,5,6825375,0,1,0,19,52,10,0,0,506584,120209,3,8319,4232616,2031616,1,2977355,1857003,1120352,1053450,0,0,0,0,0,0,complete
Sieve,rxbvm,sieve-opt,5,6825375,0,1,0,19,52,10,0,0,506584,120209,3,8319,4232616,2031616,1,2977355,1857003,1120352,1053450,0,0,0,0,0,0,complete
Permute,rxvm,permute-opt,5,12906926,432950,7,432944,12988533,10260302,74017610,0,0,3594,2813,3,866577,270904,9936,7,1118005,685053,432952,252000,0,0,0,0,0,0,complete
Permute,rxbvm,permute-opt,5,12906926,432950,7,432944,12988533,10260302,74017610,0,0,3594,2813,3,866577,270904,9936,7,1118005,685053,432952,252000,0,0,0,0,0,0,complete
Mandelbrot,rxvm,mandelbrot-opt,5,129014253,0,1,0,29,1,0,0,0,214,183,501003,121,39208,8880,1,34131525,17259745,16871780,8445547,0,0,0,0,0,0,complete
Mandelbrot,rxbvm,mandelbrot-opt,5,129014253,0,1,0,29,1,0,0,0,214,183,501003,121,39208,8880,1,34131525,17259745,16871780,8445547,0,0,0,0,0,0,complete
Towers,rxvm,towers-opt,5,7716996,163950,14,163937,5407993,61708842,481220170,0,0,41210261,50521626,3,21801918,7444444320,14160,14,1461605,1037873,423732,150,0,0,0,0,0,0,complete
Towers,rxbvm,towers-opt,5,7716996,163950,14,163937,5407993,61708842,481220170,0,0,41210261,50521626,3,21801918,7444444320,14160,14,1461605,1037873,423732,150,0,0,0,0,0,0,complete
Bounce,rxvm,bounce-opt,5,22912326,10100,3,10098,192514,7483002,51142411,10100,400000,920268,1207076,3,260586,83356312,15872,3,4003305,3274303,729002,515100,0,0,0,0,0,0,complete
Bounce,rxbvm,bounce-opt,5,22912326,10100,3,10098,192514,7483002,51142411,10100,400000,920268,1207076,3,260586,83356312,15872,3,4003305,3274303,729002,515100,0,0,0,0,0,0,complete
Storage,rxvm,storage-opt,5,6342046,191130,10,191121,3003524,36330492,285682570,150160,1310400,86106431,145044309,3,58395050,20250188288,8352,10,1253865,824893,428972,333410,0,0,0,0,0,0,complete
Storage,rxbvm,storage-opt,5,6342046,191130,10,191121,3003524,36330492,285682570,150160,1310400,86106431,145044309,3,58395050,20250188288,8352,10,1253865,824893,428972,333410,0,0,0,0,0,0,complete
List,rxvm,list-opt,5,50752126,4395900,46,4395855,38251114,4608802,76811,80800,74400,282452,224818,3,8867250,26375072,10992,19,6054805,4035903,2018902,1805100,0,0,0,0,0,0,complete
List,rxbvm,list-opt,5,50752126,4395900,46,4395855,38251114,4608802,76811,80800,74400,282452,224818,3,8867250,26375072,10992,19,6054805,4035903,2018902,1805100,0,0,0,0,0,0,complete
Richards,rxvm,richards-opt,5,9119155,119157,9,119149,5585055,96052048,762807737,99035,0,867567,4024286,4,739698,173984104,19440,6,1750622,1220546,530076,116253,0,0,0,0,0,0,complete
Richards,rxbvm,richards-opt,5,9119155,119157,9,119149,5585055,96052048,762807737,99035,0,867567,4024286,4,739698,173984104,19440,6,1750622,1220546,530076,116253,0,0,0,0,0,0,complete
JSON,rxvm,json-opt,5,118610025,745000,12,744989,74730012,7990002,3528430012,235000,18090000,553499,36691050,3,1531491,31814416,28416,11,43670005,27615003,16055002,4020000,0,0,0,0,0,0,complete
JSON,rxbvm,json-opt,5,118610025,745000,12,744989,74730012,7990002,3528430012,235000,18090000,553499,36691050,3,1531491,31814416,28416,11,43670005,27615003,16055002,4020000,0,0,0,0,0,0,complete
Base64,rxvm,base64-opt,5,46725872,500,2,499,21546,2223010,18801152,500,512000,1388,1075100,4,1701,611648,13368,2,13007111,9587060,3420051,344548,0,0,0,0,0,0,complete
Base64,rxbvm,base64-opt,5,46725872,500,2,499,21546,2223010,18801152,500,512000,1388,1075100,4,1701,611648,13368,2,13007111,9587060,3420051,344548,0,0,0,0,0,0,complete
RexxCPS,rxvm,rexxcps-opt,5,25785119,348043,23,348021,3388635,716078,25372023,277025,2134649,1365502,43596913,1569511,1304869,136428568,29784,5,5228962,4037839,1191123,279831,0,0,0,0,0,0,complete
RexxCPS,rxbvm,rexxcps-opt,5,25264347,341043,23,341021,3321435,702178,24861223,271425,2091232,1337802,42707924,1537511,1278469,133655768,29784,5,5123769,3956542,1167227,274131,0,0,0,0,0,0,complete
