workload,vm,entry,rank,transition,count,total_ns
Sieve,rxvm,sieve-opt,1,sequential_same_frame,4968371,0
Sieve,rxvm,sieve-opt,2,branch_same_frame,1857003,0
Sieve,rxvm,sieve-opt,3,external_entry,1,0
Sieve,rxvm,sieve-opt,4,terminal,1,0
Sieve,rxbvm,sieve-opt,1,sequential_same_frame,4968371,0
Sieve,rxbvm,sieve-opt,2,branch_same_frame,1857003,0
Sieve,rxbvm,sieve-opt,3,external_entry,1,0
Sieve,rxbvm,sieve-opt,4,terminal,1,0
Permute,rxvm,permute-opt,1,sequential_same_frame,11355972,0
Permute,rxvm,permute-opt,2,branch_same_frame,685053,0
Permute,rxvm,permute-opt,3,call_enter_frame,432950,0
Permute,rxvm,permute-opt,4,return_leave_frame,432950,0
Permute,rxvm,permute-opt,5,external_entry,1,0
Permute,rxbvm,permute-opt,1,sequential_same_frame,11355972,0
Permute,rxbvm,permute-opt,2,branch_same_frame,685053,0
Permute,rxbvm,permute-opt,3,call_enter_frame,432950,0
Permute,rxbvm,permute-opt,4,return_leave_frame,432950,0
Permute,rxbvm,permute-opt,5,external_entry,1,0
Mandelbrot,rxvm,mandelbrot-opt,1,sequential_same_frame,111754507,0
Mandelbrot,rxvm,mandelbrot-opt,2,branch_same_frame,17259745,0
Mandelbrot,rxvm,mandelbrot-opt,3,external_entry,1,0
Mandelbrot,rxvm,mandelbrot-opt,4,terminal,1,0
Mandelbrot,rxbvm,mandelbrot-opt,1,sequential_same_frame,111754507,0
Mandelbrot,rxbvm,mandelbrot-opt,2,branch_same_frame,17259745,0
Mandelbrot,rxbvm,mandelbrot-opt,3,external_entry,1,0
Mandelbrot,rxbvm,mandelbrot-opt,4,terminal,1,0
Towers,rxvm,towers-opt,1,sequential_same_frame,6351222,0
Towers,rxvm,towers-opt,2,branch_same_frame,1037873,0
Towers,rxvm,towers-opt,3,call_enter_frame,163950,0
Towers,rxvm,towers-opt,4,return_leave_frame,163950,0
Towers,rxvm,towers-opt,5,external_entry,1,0
Towers,rxbvm,towers-opt,1,sequential_same_frame,6351222,0
Towers,rxbvm,towers-opt,2,branch_same_frame,1037873,0
Towers,rxbvm,towers-opt,3,call_enter_frame,163950,0
Towers,rxbvm,towers-opt,4,return_leave_frame,163950,0
Towers,rxbvm,towers-opt,5,external_entry,1,0
Bounce,rxvm,bounce-opt,1,sequential_same_frame,19617822,0
Bounce,rxvm,bounce-opt,2,branch_same_frame,3274303,0
Bounce,rxvm,bounce-opt,3,call_enter_frame,10100,0
Bounce,rxvm,bounce-opt,4,return_leave_frame,10100,0
Bounce,rxvm,bounce-opt,5,external_entry,1,0
Bounce,rxbvm,bounce-opt,1,sequential_same_frame,19617822,0
Bounce,rxbvm,bounce-opt,2,branch_same_frame,3274303,0
Bounce,rxbvm,bounce-opt,3,call_enter_frame,10100,0
Bounce,rxbvm,bounce-opt,4,return_leave_frame,10100,0
Bounce,rxbvm,bounce-opt,5,external_entry,1,0
Storage,rxvm,storage-opt,1,sequential_same_frame,5134892,0
Storage,rxvm,storage-opt,2,branch_same_frame,824893,0
