round,vm,position,variant,elapsed_seconds
1,rxbvm,1,baseline,0.970098972
1,rxbvm,2,candidate,0.969537020
2,rxbvm,1,candidate,0.948551178
2,rxbvm,2,baseline,0.977720022
3,rxbvm,1,baseline,1.001080036
3,rxbvm,2,candidate,0.972010136
4,rxbvm,1,candidate,0.969173908
4,rxbvm,2,baseline,0.958883047
5,rxbvm,1,baseline,0.950627089
5,rxbvm,2,candidate,0.997860909
6,rxbvm,1,candidate,0.976318836
6,rxbvm,2,baseline,0.981228113
7,rxbvm,1,baseline,0.972993851
7,rxbvm,2,candidate,0.975336075
8,rxbvm,1,candidate,0.966852903
8,rxbvm,2,baseline,0.974430799
9,rxbvm,1,baseline,0.992321968
9,rxbvm,2,candidate,0.961088896
10,rxbvm,1,candidate,0.967447042
10,rxbvm,2,baseline,0.992846966
11,rxbvm,1,baseline,0.954456091
11,rxbvm,2,candidate,0.974858046
12,rxbvm,1,candidate,0.966722012
12,rxbvm,2,baseline,0.964051008
1,rxtvm,1,baseline,0.989432812
1,rxtvm,2,candidate,0.989261866
2,rxtvm,1,candidate,0.974039078
2,rxtvm,2,baseline,0.967494965
3,rxtvm,1,baseline,0.970057964
3,rxtvm,2,candidate,0.978786945
4,rxtvm,1,candidate,0.981006861
4,rxtvm,2,baseline,0.975522995
5,rxtvm,1,baseline,0.971916914
5,rxtvm,2,candidate,0.974709034
6,rxtvm,1,candidate,0.971229076
6,rxtvm,2,baseline,1.006731987
7,rxtvm,1,baseline,0.996406078
7,rxtvm,2,candidate,0.998605967
8,rxtvm,1,candidate,0.996384144
8,rxtvm,2,baseline,0.970202923
9,rxtvm,1,baseline,0.963354111
9,rxtvm,2,candidate,0.967091084
10,rxtvm,1,candidate,0.980047941
10,rxtvm,2,baseline,0.965190887
11,rxtvm,1,baseline,0.990212917
11,rxtvm,2,candidate,0.982244015
12,rxtvm,1,candidate,0.972078085
12,rxtvm,2,baseline,0.979656935
