entry,pair,workload,variant,mode,lifecycle,phase,sequence,elapsed_ns,exit_code,correctness
sieve-noopt,sieve,Sieve,baseline,noopt,process,warmup,1,16256000,0,pass
sieve-noopt,sieve,Sieve,baseline,noopt,process,recorded,1,14238000,0,pass
sieve-noopt,sieve,Sieve,baseline,noopt,process,recorded,2,13751000,0,pass
sieve-noopt,sieve,Sieve,baseline,noopt,process,recorded,3,12937000,0,pass
sieve-opt,sieve,Sieve,candidate,opt,process,warmup,1,12836000,0,pass
sieve-opt,sieve,Sieve,candidate,opt,process,recorded,1,12739000,0,pass
sieve-opt,sieve,Sieve,candidate,opt,process,recorded,2,12834000,0,pass
sieve-opt,sieve,Sieve,candidate,opt,process,recorded,3,12725000,0,pass
permute-noopt,permute,Permute,baseline,noopt,process,warmup,1,32056000,0,pass
permute-noopt,permute,Permute,baseline,noopt,process,recorded,1,31538000,0,pass
permute-noopt,permute,Permute,baseline,noopt,process,recorded,2,31519000,0,pass
permute-noopt,permute,Permute,baseline,noopt,process,recorded,3,31286000,0,pass
permute-opt,permute,Permute,candidate,opt,process,warmup,1,69932000,0,pass
permute-opt,permute,Permute,candidate,opt,process,recorded,1,69849000,0,pass
permute-opt,permute,Permute,candidate,opt,process,recorded,2,68908000,0,pass
permute-opt,permute,Permute,candidate,opt,process,recorded,3,69229000,0,pass
bounce-noopt,bounce,Bounce,baseline,noopt,process,warmup,1,43239000,0,pass
bounce-noopt,bounce,Bounce,baseline,noopt,process,recorded,1,43554000,0,pass
bounce-noopt,bounce,Bounce,baseline,noopt,process,recorded,2,43686000,0,pass
bounce-noopt,bounce,Bounce,baseline,noopt,process,recorded,3,42504000,0,pass
bounce-opt,bounce,Bounce,candidate,opt,process,warmup,1,31115000,0,pass
bounce-opt,bounce,Bounce,candidate,opt,process,recorded,1,29029000,0,pass
bounce-opt,bounce,Bounce,candidate,opt,process,recorded,2,29230000,0,pass
bounce-opt,bounce,Bounce,candidate,opt,process,recorded,3,29270000,0,pass
richards-noopt,richards,Richards,baseline,noopt,process,warmup,1,24614000,0,pass
richards-noopt,richards,Richards,baseline,noopt,process,recorded,1,24469000,0,pass
richards-noopt,richards,Richards,baseline,noopt,process,recorded,2,24108000,0,pass
richards-noopt,richards,Richards,baseline,noopt,process,recorded,3,24326000,0,pass
richards-opt,richards,Richards,candidate,opt,process,warmup,1,440486000,0,pass
richards-opt,richards,Richards,candidate,opt,process,recorded,1,438667000,0,pass
richards-opt,richards,Richards,candidate,opt,process,recorded,2,434170000,0,pass
richards-opt,richards,Richards,candidate,opt,process,recorded,3,436204000,0,pass
base64-noopt,base64,Base64,baseline,noopt,process,warmup,1,419602000,0,pass
base64-noopt,base64,Base64,baseline,noopt,process,recorded,1,370151000,0,pass
base64-noopt,base64,Base64,baseline,noopt,process,recorded,2,411094000,0,pass
base64-noopt,base64,Base64,baseline,noopt,process,recorded,3,339024000,0,pass
base64-opt,base64,Base64,candidate,opt,process,warmup,1,331265000,0,pass
base64-opt,base64,Base64,candidate,opt,process,recorded,1,321442000,0,pass
base64-opt,base64,Base64,candidate,opt,process,recorded,2,362204000,0,pass
base64-opt,base64,Base64,candidate,opt,process,recorded,3,321907000,0,pass
rexxcps-noopt,rexxcps,RexxCPS,baseline,noopt,process,warmup,1,957096000,0,pass
rexxcps-noopt,rexxcps,RexxCPS,baseline,noopt,process,recorded,1,963910000,0,pass
rexxcps-noopt,rexxcps,RexxCPS,baseline,noopt,process,recorded,2,990614000,0,pass
rexxcps-noopt,rexxcps,RexxCPS,baseline,noopt,process,recorded,3,987452000,0,pass
rexxcps-opt,rexxcps,RexxCPS,candidate,opt,process,warmup,1,925868000,0,pass
rexxcps-opt,rexxcps,RexxCPS,candidate,opt,process,recorded,1,948941000,0,pass
rexxcps-opt,rexxcps,RexxCPS,candidate,opt,process,recorded,2,925626000,0,pass
rexxcps-opt,rexxcps,RexxCPS,candidate,opt,process,recorded,3,940089000,0,pass
