artifact,path,bytes,sha256,instructions
benchmark_source,tests/benchmarks/awfy_json.crexx,2204,68ff31ce32a4747ed807908c6616ea26c87b17bdd784eda199767c6d27e6b122,n/a
exact_fixture,tests/benchmarks/fixtures/awfy_json_rap_minified.json,25820,8f84f5fdc609a6d7179089249212a39588030852719d951db2d178820b70a7d8,n/a
opt_rxas,cmake-build-release/tests/benchmarks/benchmark_awfy_json_opt.rxas,22906,2bc2a9e3a886abd465c5a2ff6c156513b7c059df5d352ffe812b3c8a2d7816ab,194
opt_rxbin,cmake-build-release/tests/benchmarks/benchmark_awfy_json_opt.rxbin,10049,0e05943ff32b4e264539ef8c761cc82025604d90905cf1929c6b4deb4d84ef5f,n/a
noopt_rxas,cmake-build-release/tests/benchmarks/benchmark_awfy_json_noopt.rxas,18137,daf316b1ae906a2c55f5487fcdeb213cbd7c74c71b80696b0512b949d538cfa1,173
noopt_rxbin,cmake-build-release/tests/benchmarks/benchmark_awfy_json_noopt.rxbin,8919,b83f4033a2ad9154a1533d965916ba2b763ab873cb785fe7880d68d06d79dc04,n/a
linked_opt_rxbin,generated-replay/benchmark_awfy_json_opt_linked.rxbin,125028,4ec39875c7d462442e87ee78bf184f896aa407a01174fd4d6613dc7f1e27604f,11796
runner_source,tests/benchmarks/run_benchmarks.crexx,13782,df76c261bca262f2673c5d4cc585cac6308ae2566ad8185a2df44491ed6d049d,n/a
runner_opt_rxbin,cmake-build-release/tests/benchmarks/benchmark_runner_opt.rxbin,111987,ab9edf9af581dd90b40102fe3584f30a489224d7de60d2e3c1a8cdd1e0f3042c,n/a
runner_noopt_rxbin,cmake-build-release/tests/benchmarks/benchmark_runner_noopt.rxbin,54616,905c1e390446d55f4f570c1f9c05630308a7370cf1a5b48ecfc0d231f6cc3769,n/a
library_rxbin,cmake-build-release/bin/library.rxbin,906743,76948c5ecd0c33f1c5ee210694a5fef50816a4aabdc819ba58df12207ab7a241,n/a
rxc,cmake-build-release/bin/rxc,3451440,8ce897abc00223d50e3bd09bce6cd72ac403f44f9660a10499b134a9b127e051,n/a
rxas,cmake-build-release/bin/rxas,762248,9a4c43cb8f96868ffb3eeea5ec8ff0bab0a0f19363cc9bf79e6fb42436cfdad1,n/a
rxlink,cmake-build-release/bin/rxlink,162568,fbb34761ee2e45db203df4656063af73d65d1fbd202270d55e88998d79259963,n/a
rxdas,cmake-build-release/bin/rxdas,212248,7a652be542ff6682da61f1b97d921617bf18ecf2e36c6e5982349118cbd4d6ca,n/a
product_rxvm,cmake-build-release/bin/rxvm,1379592,c41d3670e383f1979f104052e41b7648400728994616ae904f88534532d3d005,n/a
concrete_rxbvm,cmake-build-release/bin/rxbvm,1379592,c41d3670e383f1979f104052e41b7648400728994616ae904f88534532d3d005,n/a
concrete_rxtvm,cmake-build-release/bin/rxtvm,1379720,4e3699cfd394d85e97ea398a2d707e456c8c9ec0622db65d97ddffb08503b2d6,n/a
