comparison,n,current_geomean,target_geomean,gain_required,membership
rxvm/oorexx,5,0.892218,2.000000,2.241605,Sieve;Permute;Bounce;Richards;Base64
rxbvm/oorexx,5,0.833885,2.000000,2.398412,Sieve;Permute;Bounce;Richards;Base64
