compiler,cell,symbol,rank,overhead_percent,samples,symbol_offset
gcc,richards-rxbvm,copy_value,1,6.10,311,[.] copy_value+0x24
gcc,richards-rxbvm,copy_value,2,3.88,199,[.] copy_value+0x93a
gcc,richards-rxbvm,copy_value,3,2.76,142,[.] copy_value+0xb
gcc,richards-rxbvm,copy_value,4,2.54,130,[.] copy_value+0x0
gcc,richards-rxbvm,copy_value,5,2.33,118,[.] copy_value+0xa2f
gcc,richards-rxbvm,copy_value,6,2.27,115,[.] copy_value+0xa61
gcc,richards-rxbvm,copy_value,7,2.20,112,[.] copy_value+0x22e
gcc,richards-rxbvm,copy_value,8,2.20,113,[.] copy_value+0x222
gcc,richards-rxbvm,copy_value,9,1.44,72,[.] copy_value+0x229
gcc,richards-rxbvm,copy_value,10,1.36,70,[.] copy_value+0xa18
gcc,richards-rxbvm,copy_value,11,1.34,66,[.] copy_value+0x16
gcc,richards-rxbvm,copy_value,12,1.27,64,[.] copy_value+0xa65
gcc,richards-rxbvm,copy_value,13,1.16,61,[.] copy_value+0xa1e
gcc,richards-rxbvm,copy_value,14,1.07,54,[.] copy_value+0xdc
gcc,richards-rxbvm,copy_value,15,1.00,51,[.] copy_value+0x740
gcc,richards-rxbvm,copy_value,16,0.97,49,[.] copy_value+0xd5
gcc,richards-rxbvm,copy_value,17,0.96,50,[.] copy_value+0x141
gcc,richards-rxbvm,copy_value,18,0.94,48,[.] copy_value+0xa28
gcc,richards-rxbvm,copy_value,19,0.93,46,[.] copy_value+0xa10
gcc,richards-rxbvm,copy_value,20,0.91,47,[.] copy_value+0x79
gcc,richards-rxbvm,run,1,6.87,349,[.] run+0x284613
gcc,richards-rxbvm,run,2,2.35,120,[.] run+0x28460f
gcc,richards-rxbvm,run,3,2.25,114,[.] run+0x28461e
gcc,richards-rxbvm,run,4,2.09,107,[.] run+0x284603
gcc,richards-rxbvm,run,5,1.73,88,[.] run+0x287aaa
gcc,richards-rxbvm,run,6,1.54,78,[.] run+0x284608
gcc,richards-rxbvm,run,7,1.50,76,[.] run+0x284639
gcc,richards-rxbvm,run,8,1.15,58,[.] run+0x287aca
gcc,richards-rxbvm,run,9,1.07,54,[.] run+0x284630
gcc,richards-rxbvm,run,10,0.96,50,[.] run+0x284646
gcc,richards-rxbvm,run,11,0.93,48,[.] run+0x287ad1
gcc,richards-rxbvm,run,12,0.77,39,[.] run+0x284627
gcc,richards-rxbvm,run,13,0.73,38,[.] run+0x287a92
gcc,richards-rxbvm,run,14,0.61,30,[.] run+0x287aaf
gcc,richards-rxbvm,run,15,0.58,30,[.] run+0x165d6
gcc,richards-rxbvm,run,16,0.57,29,[.] run+0x287abf
gcc,richards-rxbvm,run,17,0.55,29,[.] run+0x2896cf
gcc,richards-rxbvm,run,18,0.52,27,[.] run+0x287d09
gcc,richards-rxbvm,run,19,0.50,26,[.] run+0x165c3
gcc,richards-rxbvm,run,20,0.45,22,[.] run+0x287aa6
clang,richards-rxvm,copy_value,1,11.47,605,[.] copy_value+0x21
clang,richards-rxvm,copy_value,2,9.81,514,[.] copy_value+0x88b
clang,richards-rxvm,copy_value,3,3.52,183,[.] copy_value+0x5a
clang,richards-rxvm,copy_value,4,3.52,186,[.] copy_value+0x880
clang,richards-rxvm,copy_value,5,2.98,158,[.] copy_value+0x30e
clang,richards-rxvm,copy_value,6,2.82,148,[.] copy_value+0x5
clang,richards-rxvm,copy_value,7,1.83,94,[.] copy_value+0x887
clang,richards-rxvm,copy_value,8,1.82,95,[.] copy_value+0x0
clang,richards-rxvm,copy_value,9,1.77,92,[.] copy_value+0x896
clang,richards-rxvm,copy_value,10,1.68,88,[.] copy_value+0x53
clang,richards-rxvm,copy_value,11,1.58,83,[.] copy_value+0x8a7
clang,richards-rxvm,copy_value,12,1.51,80,[.] copy_value+0x306
clang,richards-rxvm,copy_value,13,1.51,81,[.] copy_value+0x2c0
clang,richards-rxvm,copy_value,14,1.41,74,[.] copy_value+0x84
clang,richards-rxvm,copy_value,15,1.39,73,[.] copy_value+0x14
clang,richards-rxvm,copy_value,16,1.22,64,[.] copy_value+0x2f7
clang,richards-rxvm,copy_value,17,1.20,65,[.] copy_value+0x89b
clang,richards-rxvm,copy_value,18,1.16,62,[.] copy_value+0xc6
clang,richards-rxvm,copy_value,19,1.12,58,[.] copy_value+0x8b4
clang,richards-rxvm,copy_value,20,1.12,59,[.] copy_value+0xd3
