compiler,cell,symbol,rank,overhead_percent,samples,symbol_offset,address,instruction
gcc,richards-rxbvm,copy_value,1,6.10,311,[.] copy_value+0x24,10a64,"test   rdi,rdi"
gcc,richards-rxbvm,copy_value,2,3.88,199,[.] copy_value+0x93a,1137a,"mov    r8,QWORD PTR [rbx+0xc0]"
gcc,richards-rxbvm,copy_value,3,2.76,142,[.] copy_value+0xb,10a4b,"push   r14"
gcc,richards-rxbvm,copy_value,4,2.54,130,[.] copy_value+0x0,10a40,"cmp    rdi,rsi"
gcc,richards-rxbvm,copy_value,5,2.33,118,[.] copy_value+0xa2f,1146f,"test   rax,rax"
gcc,richards-rxbvm,copy_value,6,2.27,115,[.] copy_value+0xa61,114a1,"movups XMMWORD PTR [rbx+0x68],xmm0"
gcc,richards-rxbvm,copy_value,7,2.20,112,[.] copy_value+0x22e,10c6e,"cmp    r13,rax"
gcc,richards-rxbvm,copy_value,8,2.20,113,[.] copy_value+0x222,10c62,"mov    r13,QWORD PTR [rbx+0xc8]"
gcc,richards-rxbvm,copy_value,9,1.44,72,[.] copy_value+0x229,10c69,"mov    QWORD PTR [rsp+0x8],rax"
gcc,richards-rxbvm,copy_value,10,1.36,70,[.] copy_value+0xa18,11458,"jne    10ad7 <copy_value+0x97>"
gcc,richards-rxbvm,run,1,6.87,349,[.] run+0x284613,29a5d3,"mov    rax,QWORD PTR [r14+0xa8]"
gcc,richards-rxbvm,run,2,2.35,120,[.] run+0x28460f,29a5cf,"mov    rsi,QWORD PTR [rax+rbx*8]"
gcc,richards-rxbvm,run,3,2.25,114,[.] run+0x28461e,29a5de,"add    rbx,0x1"
gcc,richards-rxbvm,run,4,2.09,107,[.] run+0x284603,29a5c3,"mov    rax,QWORD PTR [rsp+0x70]"
gcc,richards-rxbvm,run,5,1.73,88,[.] run+0x287aaa,29da6a,"mov    QWORD PTR [rsp+0x70],rax"
gcc,richards-rxbvm,run,6,1.54,78,[.] run+0x284608,29a5c8,"mov    rax,QWORD PTR [rax+0xa8]"
gcc,richards-rxbvm,run,7,1.50,76,[.] run+0x284639,29a5f9,"mov    rax,QWORD PTR [rsp+0x30]"
gcc,richards-rxbvm,run,8,1.15,58,[.] run+0x287aca,29da8a,"mov    rdi,QWORD PTR [r14+0x98]"
gcc,richards-rxbvm,run,9,1.07,54,[.] run+0x284630,29a5f0,"add    QWORD PTR [rsp+0x190],0x1"
gcc,richards-rxbvm,run,10,0.96,50,[.] run+0x284646,29a606,"cmp    rcx,QWORD PTR [rax+0xc8]"
clang,richards-rxvm,copy_value,1,11.47,605,[.] copy_value+0x21,ba851,"test   rdi,rdi"
clang,richards-rxvm,copy_value,2,9.81,514,[.] copy_value+0x88b,bb0bb,"mov    rax,QWORD PTR [rbx+0xa8]"
clang,richards-rxvm,copy_value,3,3.52,183,[.] copy_value+0x5a,ba88a,"test   rax,rax"
clang,richards-rxvm,copy_value,4,3.52,186,[.] copy_value+0x880,bb0b0,"mov    rax,QWORD PTR [r14+0xa8]"
clang,richards-rxvm,copy_value,5,2.98,158,[.] copy_value+0x30e,bab3e,"jne    bb0a0 <copy_value+0x870>"
clang,richards-rxvm,copy_value,6,2.82,148,[.] copy_value+0x5,ba835,"push   r13"
