workload,vm,metric,pairs,control_median,candidate_median,min_percent,q1_percent,median_percent,q3_percent,max_percent,mean_percent,mean_95_ci_low_percent,mean_95_ci_high_percent,interval_result,favorable,total,guard_hit
Sieve,rxtvm,elapsed_ns,12,1085116000.000000,1084397000.000000,-2.580400,-0.774337,-0.162351,0.160187,1.035100,-0.365713,-1.006333,0.274907,noisy_inconclusive,7,12,no
Sieve,rxbvm,elapsed_ns,12,1095173500.000000,1080543500.000000,-2.601372,-1.009370,-0.555940,0.353298,1.555930,-0.402665,-1.184724,0.379394,noisy_inconclusive,8,12,no
Permute,rxtvm,elapsed_ns,12,1989480000.000000,2004539000.000000,-1.338096,-0.300106,0.063668,0.679539,2.128233,0.206069,-0.410566,0.822704,noisy_inconclusive,6,12,no
Permute,rxbvm,elapsed_ns,12,1888266000.000000,1889737000.000000,-1.895359,-1.167629,0.001963,0.951744,1.590778,-0.121664,-0.895430,0.652103,noisy_inconclusive,6,12,no
Bounce,rxtvm,elapsed_ns,12,1202063500.000000,1199142000.000000,-4.809090,-1.992103,-1.330354,0.553338,4.988336,-0.734678,-2.335065,0.865710,noisy_inconclusive,7,12,no
Bounce,rxbvm,elapsed_ns,12,1184105000.000000,1191632000.000000,-1.602462,-0.436482,0.608523,1.487482,1.948978,0.443495,-0.361756,1.248745,noisy_inconclusive,5,12,no
Richards,rxtvm,elapsed_ns,12,2160679500.000000,2112840500.000000,-5.212428,-3.839646,-0.841254,0.738428,5.765116,-0.984367,-3.147820,1.179086,noisy_inconclusive,8,12,no
Richards,rxbvm,elapsed_ns,12,2121816000.000000,2126695500.000000,-6.491962,-2.550949,-0.157111,2.045270,5.030552,-0.412093,-2.510564,1.686378,noisy_inconclusive,6,12,no
Base64,rxtvm,elapsed_ns,12,1769444500.000000,1736372000.000000,-12.506853,-6.497831,-1.636119,2.327358,6.902678,-2.363540,-6.640504,1.913423,noisy_inconclusive,7,12,no
Base64,rxbvm,elapsed_ns,12,1648263500.000000,1722807500.000000,-7.809882,0.019997,2.379542,5.395016,19.258556,2.809995,-1.764343,7.384334,noisy_inconclusive,3,12,no
Towers,rxtvm,elapsed_ns,12,2087175000.000000,2091037000.000000,-2.567277,-1.049748,-0.450231,0.788225,1.337188,-0.250883,-1.014918,0.513152,noisy_inconclusive,7,12,no
Towers,rxbvm,elapsed_ns,12,2122424000.000000,2130655500.000000,-2.113443,-0.661220,0.517356,1.513136,2.325192,0.344430,-0.589271,1.278132,noisy_inconclusive,5,12,no
RexxCPS,rxtvm,benchmark_rate,12,43859567.500000,44125963.500000,-1.269288,-0.633651,0.113724,1.513493,4.533957,0.630681,-0.432799,1.694161,noisy_inconclusive,6,12,no
RexxCPS,rxbvm,benchmark_rate,12,44177319.000000,44214408.000000,-1.549099,-0.509577,-0.142422,2.036484,11.156421,1.349629,-0.859498,3.558755,noisy_inconclusive,5,12,no
