workload,vm,metric,pairs,control_median,candidate_median,min_percent,q1_percent,median_percent,q3_percent,max_percent,mean_percent,mean_95_ci_low_percent,mean_95_ci_high_percent,interval_result,favorable,total,guard_hit
Sieve,rxtvm,elapsed_ns,36,1091004000.000000,1087517500.000000,-3.686688,-0.692558,0.166151,0.847063,38.960200,2.959460,-0.107961,6.026882,noisy_inconclusive,16,36,no
Sieve,rxbvm,elapsed_ns,36,1095173500.000000,1082075500.000000,-22.021306,-1.009370,-0.045612,0.907572,8.549889,-0.716730,-2.413866,0.980407,noisy_inconclusive,20,36,no
Permute,rxtvm,elapsed_ns,36,1989480000.000000,2004539000.000000,-7.492198,-0.774139,0.273928,1.950292,41.517033,1.979334,-1.070184,5.028853,noisy_inconclusive,17,36,no
Permute,rxbvm,elapsed_ns,36,1889775000.000000,1889737000.000000,-43.711767,-1.807119,-0.236940,1.060618,88.053002,-0.230752,-7.544396,7.082891,noisy_inconclusive,20,36,no
Bounce,rxtvm,elapsed_ns,36,1254599500.000000,1237460000.000000,-47.669369,-2.780613,-1.444661,0.173881,5.049453,-4.364214,-7.858197,-0.870231,clear_favorable,26,36,no
Bounce,rxbvm,elapsed_ns,36,1211069500.000000,1220180500.000000,-43.978894,-1.520197,0.410477,1.418701,22.900923,-3.142531,-7.241434,0.956371,noisy_inconclusive,17,36,no
Richards,rxtvm,elapsed_ns,36,2265778000.000000,2258632000.000000,-39.013997,-3.681552,-0.612910,3.613910,85.728418,3.389450,-3.627728,10.406628,noisy_inconclusive,20,36,yes
Richards,rxbvm,elapsed_ns,36,2279513500.000000,2243500000.000000,-39.045825,-3.546616,-0.521217,1.963670,22.393328,-1.427811,-4.452411,1.596789,noisy_inconclusive,20,36,no
Base64,rxtvm,elapsed_ns,36,1782726500.000000,1749586500.000000,-25.798551,-7.632273,-0.978276,4.789081,16.987525,-2.075598,-5.184570,1.033374,noisy_inconclusive,19,36,no
Base64,rxbvm,elapsed_ns,36,1660457500.000000,1730041500.000000,-29.891490,-4.740751,1.149246,5.843516,19.258556,0.119977,-2.981597,3.221551,noisy_inconclusive,14,36,no
Towers,rxtvm,elapsed_ns,36,2243298000.000000,2237410000.000000,-39.872979,-1.395582,0.112016,3.183916,27.355849,0.661713,-2.478747,3.802174,noisy_inconclusive,18,36,no
Towers,rxbvm,elapsed_ns,36,2274088500.000000,2240099500.000000,-31.396318,-1.919263,-0.529717,1.117789,17.527591,-1.229619,-3.759716,1.300478,noisy_inconclusive,20,36,no
RexxCPS,rxtvm,benchmark_rate,36,42105515.500000,42142649.500000,-44.801295,-1.280847,-0.258844,1.783544,79.093705,0.287296,-5.298788,5.873381,noisy_inconclusive,17,36,no
RexxCPS,rxbvm,benchmark_rate,36,42295415.500000,42431723.000000,-10.547827,-0.735156,-0.020013,2.400047,31.760277,1.968458,-0.539038,4.475954,noisy_inconclusive,17,36,no
