WAVE: project compile/assemble jobs=48
START: project member provider_http
START: project member ragevidence
START: project member ragstore
START: project member ragtrace
START: project member ragjob
START: project member ragglossary
START: project member ragconfiguration
START: project member crexxrag_cli
START: project member ragprofilefile
START: project member ragbackup
START: project member ragcommand
START: project member ragfolder
START: project member industrial_provider
START: project member ragregistry
START: project member ragfile
BUILT: project member ragfile
START: project member operator_registry
START: project member provider_catalog
START: project member ragmodel
START: project member ragschema
START: project member ragcanonical
START: project member provider_contract
START: project member ragprofile
START: project member ragimprove
BUILT: project member operator_registry
BUILT: project member provider_contract
BUILT: project member provider_catalog
BUILT: project member ragmodel
BUILT: project member ragregistry
BUILT: project member ragschema
BUILT: project member ragprofile
START: project member it_architecture_profile
START: project member ragwork
START: project member ragquery
START: project member generic_profile
START: project member ragfoundation
START: project member ragproduct
START: project member codex_provider
START: project member ragingest
START: project member ragplanning
START: project member ragmaintain
START: project member ragrepository
START: project member ragclaims
START: project member ragconfigfile
BUILT: project member ragrepository
BUILT: project member ragplanning
BUILT: project member ragclaims
BUILT: project member codex_provider
BUILT: project member ragingest
BUILT: project member ragmaintain
START: project member ragevidencejson
BUILT: project member ragcanonical
BUILT: project member ragtrace
START: project member ragconfig
BUILT: project member ragevidence
BUILT: project member ragbackup
BUILT: project member ragjob
BUILT: project member ragcommand
BUILT: project member ragprofilefile
BUILT: project member ragglossary
START: project member ragprocess
START: project member architecture_local_config
START: project member ragproviderdiagnostics
START: project member ragquerypolicy
BUILT: project member ragimprove
BUILT: project member provider_http
START: project member ragembedding
BUILT: project member ragconfigfile
BUILT: project member ragquerypolicy
BUILT: project member it_architecture_profile
BUILT: project member ragstore
START: project member ragmcp
BUILT: project member industrial_provider
BUILT: project member ragconfiguration
BUILT: project member ragwork
BUILT: project member crexxrag_cli
START: project member ragretrieval
BUILT: project member ragfolder
BUILT: project member generic_profile
START: project member ragqueryprovider
BUILT: project member ragproduct
BUILT: project member ragfoundation
BUILT: project member ragconfig
BUILT: project member ragquery
BUILT: project member ragevidencejson
START: project member ragproposalio
START: project member ragapplicationprovider
BUILT: project member ragprocess
BUILT: project member architecture_local_config
BUILT: project member ragproviderdiagnostics
BUILT: project member ragmcp
BUILT: project member ragembedding
BUILT: project member ragqueryprovider
BUILT: project member ragretrieval
BUILT: project member ragproposalio
BUILT: project member ragapplicationprovider
BARRIER: link program
PUBLISHED: program /Users/adrian/CLionProjects/crexx-scaling-20260906.1lT795/wave-qualified/crexxrag-project.rxbin
