workload,vm,metric,pairs,control_median_ns,candidate_median_ns,mean_percent,mean_95_ci_low_percent,mean_95_ci_high_percent,interval_result,favorable,total,guard_hit
GetPI,rxbvm,elapsed_ns,12,26255500,20218500,-23.502260,-24.628395,-22.376125,clear_favorable,12,12,no
GetPI,rxtvm,elapsed_ns,12,26179500,20122500,-23.346622,-23.731576,-22.961669,clear_favorable,12,12,no
