rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,218896,6,1,8,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r1,c3,c4,r3,r4,c2)","r1=R12;c1=int:18;c2=int:1;r2=R8;c3=int:21;c4=int:6;r3=R7;r4=R13","benchmark_awfy_richards_noopt",700
2,172394,2,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETTP_REG_INT(r2,c2) | CALL2_REG_FUNC_REG_REG(r3,c3,r2,r1)","r1=R6;r2=R13;c1=int:2;c2=int:256;r3=R7;c3=func@53912","benchmark_awfy_richards_noopt",2798
3,165076,5,1,5,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | UNLINKN_REG_REG(r2,r3) | BRF_ID_REG(c2,r1)","r1=R5;r2=R2;c1=int:0;r3=R3;c2=label@1250","benchmark_awfy_richards_noopt",1235
4,147418,2,1,6,candidate,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c2)","r1=R2;c1=label@2870;r2=R1;r3=R6;r4=R13;c2=int:2","benchmark_awfy_richards_noopt",2793
5,124517,5,1,4,candidate,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | RET_REG(r2)","c1=label@1173;r1=R2;r2=R5;c2=int:1","benchmark_awfy_richards_noopt",1165
6,106953,2,1,4,candidate,"BTOI_REG(r1) | IEQ_REG_REG_INT(r2,r1,c1) | UNLINKN_REG_REG(r1,r3)","r1=R2;r2=R5;c1=int:0;r3=R3","benchmark_awfy_richards_noopt",1233
7,106953,2,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | BTOI_REG(r3) | IEQ_REG_REG_INT(r5,r3,c4)","r1=R3;r2=R8;c1=int:23;c2=int:6;r3=R2;r4=R9;c3=int:1;r5=R5;c4=int:0","benchmark_awfy_richards_noopt",1225
8,106605,1,1,4,candidate,"IGTE_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | BRF_ID_REG(c2,r1)","r1=R1;r2=R2;c1=int:0;c2=label@2870","benchmark_awfy_richards_noopt",2789
9,106605,1,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGTE_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1)","r1=R2;r2=R13;c1=int:2;r3=R1;c2=int:0","benchmark_awfy_richards_noopt",2785
10,106604,1,1,6,candidate,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | SETTP_REG_INT(r3,c3)","c1=label@2870;r1=R1;r2=R6;r3=R13;c2=int:2;c3=int:256","benchmark_awfy_richards_noopt",2795
11,106604,1,1,9,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c3,c4,r3,r4,c2) | BRF_ID_REG(c5,r3)","c1=int:18;c2=int:1;r1=R3;r2=R7;c3=int:19;c4=int:6;r3=R2;r4=R8;c5=label@1173","benchmark_awfy_richards_noopt",1153
12,101043,1,1,9,candidate,"UNLINKN_REG_REG(r1,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c1,c2,r4,r5,c3) | BRF_ID_REG(c4,r4)","r1=R2;r2=R3;r3=R7;c1=int:23;c2=int:6;r4=R5;r5=R8;c3=int:1;c4=label@1192","benchmark_awfy_richards_noopt",1173
13,92655,5,1,8,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c2) | SETLINKATTR1_REG_REG_INT_REG_INT(r4,r1,c3,r3,c4)","r1=R4;r2=R7;c1=int:19;r3=R3;c2=int:2;r4=R2;c3=int:6;c4=int:1","benchmark_awfy_richards_noopt",1466
14,92655,5,1,7,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETLINKATTR1_REG_REG_INT_REG_INT(r3,r4,c2,r1,c3) | UNLINK_REG(r1)","r1=R3;r2=R7;c1=int:2;r3=R2;r4=R4;c2=int:6;c3=int:1","benchmark_awfy_richards_noopt",1470
15,85915,8,1,5,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r2,r1,c3)","r1=R3;c1=int:18;c2=int:1;r2=R1;c3=int:6","benchmark_awfy_richards_noopt",688
16,83075,4,1,8,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | IGETUNLINK_REG_REG(r5,r3) | UNLINK_REG(r1)","r1=R3;r2=R25;c1=int:20;c2=int:6;r3=R5;r4=R26;c3=int:1;r5=R1","benchmark_awfy_richards_noopt",1753
17,74952,10,1,7,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | IGETUNLINK_REG_REG(r5,r3)","r1=R6;r2=R9;c1=int:17;r3=R7;r4=R1;c2=int:0;r5=R0","benchmark_awfy_richards_noopt",1004
18,69125,4,1,5,candidate,"UNLINK_REG(r1) | IEQ_REG_REG_INT(r2,r3,c1) | BRF_ID_REG(c2,r2)","r1=R25;r2=R27;r3=R4;c1=int:0;c2=label@2418","benchmark_awfy_richards_noopt",2400
19,65791,2,1,5,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | LOAD_REG_INT(r2,c3)","r1=R17;c1=int:18;c2=int:1;r2=R4;c3=int:0","benchmark_awfy_richards_noopt",272
20,65791,2,1,4,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | UNLINK_REG(r1)","r1=R2;r2=R13;c1=int:22;c2=int:2","benchmark_awfy_richards_noopt",2775
21,65790,1,1,5,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r3,r1,c2)","r1=R13;c1=int:1;r2=R11;r3=R6;c2=int:2","benchmark_awfy_richards_noopt",2844
