rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
22,54610,1,1,6,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | CALL_REG_FUNC(r4,c2)","r1=R5;r2=R16;c1=int:1;r3=R6;r4=R1;c2=func@17224","benchmark_awfy_storage_noopt",282
23,54600,1,1,6,candidate,"BRTPANDT_ID_REG_INT(c1,r1,c2) | LOAD_REG_INT(r2,c3) | SETTP_REG_INT(r2,c4)","c1=label@16;r1=R11;c2=int:256;r2=R1;c3=int:1;c4=int:0","objectarrayappend",4
24,54600,1,1,7,candidate,"BRT_ID_REG(c1,r1) | ISUB_REG_REG_INT(r2,r3,c2) | SETTP_REG_INT(r4,c3)","c1=label@374;r1=R7;r2=R13;r3=R17;c2=int:1;r4=R16;c3=int:256","benchmark_awfy_storage_noopt",340
25,54600,1,1,6,candidate,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | SWAP_REG_REG(r4,r5)","r1=R5;r2=R11;r3=R3;c1=int:3;r4=R4;r5=R7","benchmark_awfy_storage_noopt",452
26,54600,1,1,7,candidate,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | ISUB_REG_REG_INT(r4,r5,c2)","r1=R7;r2=R9;r3=R8;c1=label@374;r4=R13;r5=R17;c2=int:1","benchmark_awfy_storage_noopt",336
27,54600,1,1,6,candidate,"ISUB_REG_REG_INT(r1,r2,c1) | SETTP_REG_INT(r3,c2) | SETTP_REG_INT(r4,c2)","r1=R13;r2=R17;c1=int:1;r3=R16;c2=int:256;r4=R18","benchmark_awfy_storage_noopt",343
28,54600,1,1,7,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r3,r4) | LOAD_REG_INT(r5,c2)","r1=R7;r2=R10;c1=int:2;r3=R5;r4=R11;r5=R3;c2=int:3","benchmark_awfy_storage_noopt",448
29,54600,1,1,4,candidate,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r1,c2) | BR_ID(c3)","r1=R1;c1=int:1;c2=int:0;c3=label@22","objectarrayappend",8
30,54600,1,1,6,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | BRTPANDT_ID_REG_INT(c3,r1,c4) | LOAD_REG_INT(r2,c2)","c1=int:18;c2=int:1;c3=label@16;r1=R11;c4=int:256;r2=R1","objectarrayappend",0
31,54600,1,1,7,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r1,r2,c3) | COPY_REG_REG(r3,r4)","c1=int:18;c2=int:1;r1=R7;r2=R10;c3=int:2;r3=R5;r4=R11","benchmark_awfy_storage_noopt",444
