rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
95,19665,3,1,4,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1)","r1=R15;c1=int:8;r2=R8;r3=R10","benchmark_awfy_richards_opt",3197
96,19435,5,1,5,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | ISETUNLINKN_REG_REG_REG(r1,r4,r2)","r1=R7;r2=R6;r3=R1;c1=int:0;r4=R10","benchmark_awfy_richards_opt",2119
97,14760,1,1,5,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | BR_ID(c2)","r1=R6;r2=R11;c1=int:0;r3=R9;c2=label@3177","benchmark_awfy_richards_opt",3131
98,14759,1,1,9,candidate,"ISETUNLINKN_REG_REG_REG(r1,r2,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r4,c1,c2,r5,r6,c3)","r1=R14;r2=R24;r3=R15;r4=R11;c1=int:23;c2=int:6;r5=R16;r6=R3;c3=int:1","benchmark_awfy_richards_opt",2832
99,14759,1,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | IGT_REG_REG_REG(r5,r6,r3)","r1=R17;r2=R11;c1=int:24;c2=int:6;r3=R13;r4=R8;c3=int:1;r5=R12;r6=R16","benchmark_awfy_richards_opt",2857
100,14759,1,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r5,r2,c1,c2,r6,r7,c3)","r1=R14;r2=R11;c1=int:24;c2=int:6;r3=R16;r4=R3;c3=int:1;r5=R17;r6=R13;r7=R8","benchmark_awfy_richards_opt",2849
101,12327,2,1,3,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2)","r1=R9;r2=R10;c1=int:0","benchmark_awfy_richards_opt",3205
102,12327,2,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IEQ_REG_REG_INT(r3,r1,c2)","r1=R10;r2=R15;c1=int:8;r3=R9;c2=int:0","benchmark_awfy_richards_opt",3201
103,11637,2,1,4,candidate,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1)","r1=R7;r2=R6;r3=R3;c1=label@222","benchmark_awfy_richards_opt",67
104,11627,1,1,6,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | IEQ_REG_REG_INT(r4,r1,c2)","r1=R24;r2=R19;r3=R1;c1=int:0;r4=R17;c2=int:1","benchmark_awfy_richards_opt",3677
105,10467,2,1,5,candidate,"ICOPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1)","r1=R1;r2=R11;r3=R6;r4=R9;c1=int:17","benchmark_awfy_richards_opt",2072
106,10127,1,1,4,candidate,"ISETUNLINKN_REG_REG_REG(r1,r2,r3) | RET_REG(r4)","r1=R7;r2=R10;r3=R6;r4=R11","benchmark_awfy_richards_opt",2124
107,10127,1,1,4,candidate,"UNLINK_REG(r1) | INE_REG_REG_INT(r2,r3,c1)","r1=R6;r2=R7;r3=R0;c1=int:0","benchmark_awfy_richards_opt",2087
108,10002,5,1,4,candidate,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2)","r1=R40;c1=int:0;r2=R47;c2=int:256","benchmark_awfy_richards_opt",1568
109,10001,4,1,5,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LOAD_REG_INT(r3,c2)","r1=R8;c1=int:22;r2=R10;r3=R9;c2=int:-1","benchmark_awfy_richards_opt",83
110,10000,1,1,4,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1)","r1=R15;r2=R55;r3=R9;c1=int:8","benchmark_awfy_richards_opt",3184
111,10000,1,1,3,candidate,"ISUB_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2)","r1=R8;r2=R9;c1=int:1","benchmark_awfy_richards_opt",3191
112,10000,1,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ISUB_REG_REG_INT(r3,r1,c2)","r1=R9;r2=R15;c1=int:8;r3=R8;c2=int:1","benchmark_awfy_richards_opt",3187
113,9999,1,1,5,candidate,"COPY_REG_REG(r1,r2) | ILT_REG_REG_INT(r3,r4,c1)","r1=R3;r2=R13;r3=R4;r4=R14;c1=int:0","benchmark_awfy_richards_opt",2584
114,9999,1,1,3,candidate,"IAND_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2)","r1=R9;r2=R10;c1=int:1","benchmark_awfy_richards_opt",3285
115,9999,2,1,3,candidate,"IDIV_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2)","r1=R6;r2=R7;c1=int:2","benchmark_awfy_richards_opt",3302
116,9999,1,1,3,candidate,"IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1)","r1=R9;c1=int:0;c2=label@3331","benchmark_awfy_richards_opt",3291
117,9999,1,1,10,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r4,c2,c3,r5,r6,c4)","r1=R4;r2=R5;c1=int:0;r3=R6;r4=R13;c2=int:24;c3=int:6;r5=R7;r6=R1;c4=int:1","benchmark_awfy_richards_opt",2631
118,9999,1,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IAND_REG_REG_INT(r3,r1,c2)","r1=R10;r2=R15;c1=int:7;r3=R9;c2=int:1","benchmark_awfy_richards_opt",3281
119,9999,2,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IDIV_REG_REG_INT(r3,r1,c2)","r1=R7;r2=R15;c1=int:7;r3=R6;c2=int:2","benchmark_awfy_richards_opt",3298
120,9999,1,1,8,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | LINKATTR1_REG_REG_INT(r5,r2,c1)","r1=R5;r2=R13;c1=int:24;c2=int:6;r3=R7;r4=R1;c3=int:1;r5=R9","benchmark_awfy_richards_opt",2636
121,9999,1,1,3,candidate,"UNLINK_REG(r1) | IEQ_REG_REG_INT(r2,r2,c1)","r1=R10;r2=R9;c1=int:0","benchmark_awfy_richards_opt",3289
122,9999,1,1,4,candidate,"UNLINK_REG(r1) | IGT_REG_REG_REG(r2,r3,r4)","r1=R4;r2=R11;r3=R7;r4=R8","benchmark_awfy_richards_opt",2658
123,9308,1,1,5,candidate,"BRT_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2)","c1=label@3631;r1=R9;r2=R7;r3=R22;c2=int:26","benchmark_awfy_richards_opt",3498
124,9308,1,1,3,candidate,"IGT_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2)","r1=R7;r2=R8;c1=int:26","benchmark_awfy_richards_opt",3519
125,9308,4,1,4,candidate,"ISETUNLINKN_REG_REG_REG(r1,r2,r3) | BR_ID(c1)","r1=R7;r2=R17;r3=R6;c1=label@3628","benchmark_awfy_richards_opt",3565
