entry,count_rank,total_time_rank,average_latency_rank,name,count,total_ns,average_ns,min_ns,max_ns,percent,status
rexxcps-opaque-heavy-retained,55,52,45,RET,32137,1021240,31,0,14500,0.240819,complete
rexxcps-opaque-heavy-retained,56,63,71,FNDNBLNK_REG_REG_REG,30889,502479,16,0,333,0.118490,complete
rexxcps-opaque-heavy-retained,57,66,87,MINATTRS_REG_INT,28004,447104,15,0,2125,0.105432,complete
rexxcps-opaque-heavy-retained,58,68,87,GETANDTP_REG_REG_INT,23752,379045,15,0,1667,0.089383,complete
rexxcps-opaque-heavy-retained,59,61,55,ASSERTINITIALIZED_REG,23633,519465,21,0,333,0.122495,complete
rexxcps-opaque-heavy-retained,60,67,63,SETATTRS_REG_INT,23628,435772,18,0,18000,0.102760,complete
rexxcps-opaque-heavy-retained,61,64,51,CONCAT_REG_REG_STRING,21007,491437,23,0,250,0.115886,complete
rexxcps-opaque-heavy-retained,62,75,87,BGE_ID_REG_INT,18253,284424,15,0,1250,0.067070,complete
rexxcps-opaque-heavy-retained,63,76,87,ISUB_REG_INT_REG,18250,277816,15,0,375,0.065512,complete
rexxcps-opaque-heavy-retained,64,72,71,SEQ_REG_REG_REG,17887,293173,16,0,250,0.069133,complete
rexxcps-opaque-heavy-retained,65,53,32,ITOS_REG,16903,895486,52,0,459,0.211165,complete
rexxcps-opaque-heavy-retained,66,77,87,BGT_ID_REG_REG,16800,258392,15,0,292,0.060931,complete
rexxcps-opaque-heavy-retained,67,73,58,CONCAT_REG_REG_REG,14003,288314,20,0,250,0.067987,complete
rexxcps-opaque-heavy-retained,68,65,37,STOI_REG,11202,490328,43,0,542,0.115624,complete
rexxcps-opaque-heavy-retained,69,80,71,SETOBJUNINIT_REG_STRING,9813,166663,16,0,458,0.039301,complete
rexxcps-opaque-heavy-retained,70,82,87,BCOPY_REG_REG,8400,130145,15,0,375,0.030690,complete
rexxcps-opaque-heavy-retained,71,78,50,STOD_REG,8300,215203,25,0,1334,0.050747,complete
rexxcps-opaque-heavy-retained,72,85,87,BLE_ID_REG_INT,7003,111012,15,0,333,0.026178,complete
rexxcps-opaque-heavy-retained,73,88,122,BLE_ID_REG_REG,7000,103552,14,0,125,0.024419,complete
rexxcps-opaque-heavy-retained,74,90,71,FCOPY_REG_REG,5605,89702,16,0,334,0.021153,complete
rexxcps-opaque-heavy-retained,75,50,16,FTOS_REG,5604,1346630,240,125,3958,0.317549,complete
rexxcps-opaque-heavy-retained,76,71,31,DTOS_REG,5502,300778,54,0,583,0.070927,complete
rexxcps-opaque-heavy-retained,76,81,51,DCOPY_REG_REG,5502,131600,23,0,375,0.031033,complete
rexxcps-opaque-heavy-retained,78,79,34,RET_INT,4216,194661,46,0,3875,0.045903,complete
rexxcps-opaque-heavy-retained,79,91,63,LOAD_REG_FLOAT,4210,79436,18,0,583,0.018732,complete
rexxcps-opaque-heavy-retained,79,92,63,SETOBJTYPE_REG_STRING,4210,78970,18,0,1208,0.018622,complete
