-- Install configuration: "Release"
-- Installing: /tmp/crexx-ni-s7.oheu5td2/install/share/crexx/llama/README.md
-- Installing: /tmp/crexx-ni-s7.oheu5td2/install/share/crexx/llama/installation.md
-- Installing: /tmp/crexx-ni-s7.oheu5td2/install/share/crexx/llama/models.md
-- Installing: /tmp/crexx-ni-s7.oheu5td2/install/share/crexx/llama/reference.md
-- Installing: /tmp/crexx-ni-s7.oheu5td2/install/share/crexx/llama/qualification.md
-- Up-to-date: /tmp/crexx-ni-s7.oheu5td2/install/share/crexx/llama/examples
-- Up-to-date: /tmp/crexx-ni-s7.oheu5td2/install/share/crexx/llama/examples/shared_generation.crexx
-- Up-to-date: /tmp/crexx-ni-s7.oheu5td2/install/share/crexx/llama/examples/shared_embeddings.crexx
-- Up-to-date: /tmp/crexx-ni-s7.oheu5td2/install/share/crexx/llama/examples/persistent_generation.crexx
-- Up-to-date: /tmp/crexx-ni-s7.oheu5td2/install/share/crexx/llama/examples/persistent_embeddings.crexx
-- Installing: /tmp/crexx-ni-s7.oheu5td2/install/share/crexx/llama/examples/README.md
