Compile requests                          585
Compile requests executed                2873
Cache hits                               2726
Cache hits (C/C++)                        439
Cache hits (CUBIN)                        571
Cache hits (CUDA)                         143
Cache hits (CUDA (Device code))           143
Cache hits (PTX)                         1430
Cache misses                                4
Cache misses (C/C++)                        3
Cache misses (CUBIN)                        1
Cache hits rate                         99.85 %
Cache hits rate (C/C++)                 99.32 %
Cache hits rate (CUBIN)                 99.83 %
Cache hits rate (CUDA)                 100.00 %
Cache hits rate (CUDA (Device code))   100.00 %
Cache hits rate (PTX)                  100.00 %
Cache timeouts                              0
Cache read errors                           0
Forced recaches                             0
Cache write errors                          1
Cache errors                                0
Compilations                              147
Compilation failures                        0
Non-cacheable compilations                143
Non-cacheable calls                         0
Non-compilation calls                       0
Unsupported compiler calls                  0
Average cache write                     0.600 s
Average compiler                       11.155 s
Average cache read hit                  0.189 s
Failed distributed compilations             0
Cache location                       ghac, name: 90541733aa72480a9e77ce99e66fc1cfabfa835d74c751408eb0351b7adcec6b, prefix: /sccache/
Base directories                     (none)
Version (client)                     0.16.0
