comparison,metric,pairs,before_median,after_median,min_percent,q1_percent,median_percent,q3_percent,max_percent,mean_percent,mean_95_ci_low_percent,mean_95_ci_high_percent,interval_result,favorable,total,guard_hit
rxstats-rxbvm,calls_per_second,34,42272.017022,42700.204685,-10.587717,0.283806,1.064273,1.570326,18.302112,0.977056,-0.326531,2.280642,noisy_inconclusive,27,34,no
rxstats-rxtvm,calls_per_second,34,41942.102802,42296.390561,-2.074738,0.056065,0.959003,2.271409,16.281032,1.478613,0.460009,2.497217,clear_favorable,28,34,no
rxstats-offset-rxbvm,calls_per_second,34,29618.696295,29907.248399,-8.044383,-1.308334,0.702570,3.025570,18.209640,0.920021,-0.703374,2.543416,noisy_inconclusive,20,34,no
rxstats-offset-rxtvm,calls_per_second,34,29271.866341,29629.629630,-50.201126,-2.152972,1.690675,4.144939,7.951988,-0.693080,-4.304133,2.917973,noisy_inconclusive,21,34,no
sha256-production-rxbvm,elapsed_us,36,96207.500000,95618.500000,-5.503282,-2.486792,-0.339531,1.409628,16.967108,0.125184,-1.330647,1.581016,noisy_inconclusive,21,36,no
sha256-production-rxtvm,elapsed_us,24,97269.000000,95788.000000,-6.899846,-2.772072,-1.295234,-0.036396,3.658700,-1.343810,-2.395252,-0.292367,clear_favorable,18,24,no
sha256-control-rxbvm,elapsed_us,36,96844.000000,96357.500000,-4.221880,-2.289194,-0.561472,0.705833,4.053636,-0.493792,-1.222310,0.234726,noisy_inconclusive,23,36,no
sha256-control-rxtvm,elapsed_us,36,96798.000000,96374.000000,-20.193923,-1.645361,-0.518016,1.362227,4.969089,-1.004020,-2.532451,0.524410,noisy_inconclusive,22,36,no
crexx-driver-help,elapsed_ns,34,13397000.000000,13380500.000000,-12.388918,-0.773200,-0.059714,0.518622,20.818313,1.159855,-1.293701,3.613410,noisy_inconclusive,19,34,no
