pair,baseline_entry,candidate_entry,baseline_mode,candidate_mode,baseline_median_ns,candidate_median_ns,delta_ns,delta_percent
sieve-opt-metadata,sieve-opt-retained,sieve-opt-stripped,opt-retained,opt-stripped,15352000,14477000,-875000,-5.700
permute-opt-metadata,permute-opt-retained,permute-opt-stripped,opt-retained,opt-stripped,101242000,88534000,-12708000,-12.552
mandelbrot-opt-metadata,mandelbrot-opt-retained,mandelbrot-opt-stripped,opt-retained,opt-stripped,180588000,177070000,-3518000,-1.948
towers-opt-metadata,towers-opt-retained,towers-opt-stripped,opt-retained,opt-stripped,759697000,760996000,1299000,0.171
bounce-opt-metadata,bounce-opt-retained,bounce-opt-stripped,opt-retained,opt-stripped,397953000,421850000,23897000,6.005
storage-opt-metadata,storage-opt-retained,storage-opt-stripped,opt-retained,opt-stripped,2231349000,2239629000,8280000,0.371
list-opt-metadata,list-opt-retained,list-opt-stripped,opt-retained,opt-stripped,290682000,256499000,-34183000,-11.760
richards-opt-metadata,richards-opt-retained,richards-opt-stripped,opt-retained,opt-stripped,706477000,701065000,-5412000,-0.766
json-opt-metadata,json-opt-retained,json-opt-stripped,opt-retained,opt-stripped,359075000,350494000,-8581000,-2.390
base64-opt-metadata,base64-opt-retained,base64-opt-stripped,opt-retained,opt-stripped,406606000,438223000,31617000,7.776
rexxcps-opt-metadata,rexxcps-opt-retained,rexxcps-opt-stripped,opt-retained,opt-stripped,592540000,685512000,92972000,15.690
sieve-noopt-metadata,sieve-noopt-retained,sieve-noopt-stripped,noopt-retained,noopt-stripped,18010000,16165000,-1845000,-10.244
rexxcps-noopt-metadata,rexxcps-noopt-retained,rexxcps-noopt-stripped,noopt-retained,noopt-stripped,703542000,668861000,-34681000,-4.929
