phase,round,position,vm,cell,variant,rate_jobs_per_second,elapsed_us
recorded,1,5,rxbvml,channel-latency,accepted,145063.040090664406,7059
recorded,1,5,rxbvml,channel-throughput,accepted,3151.467402009061,81232
recorded,1,6,rxbvml,channel-latency,candidate,143216.783216783224,7150
recorded,1,6,rxbvml,channel-throughput,candidate,3161.781960551830,80967
recorded,1,7,rxtvml,channel-latency,accepted,142024.965325936209,7210
recorded,1,7,rxtvml,channel-throughput,accepted,2797.753054578042,91502
recorded,1,8,rxtvml,channel-latency,candidate,139623.670575402241,7334
recorded,1,8,rxtvml,channel-throughput,candidate,2746.162345394278,93221
recorded,2,9,rxtvml,channel-latency,candidate,141202.426916712633,7252
recorded,2,9,rxtvml,channel-throughput,candidate,2781.973679920888,92021
recorded,2,10,rxtvml,channel-latency,accepted,137044.967880085664,7472
recorded,2,10,rxtvml,channel-throughput,accepted,2754.761648552674,92930
recorded,2,11,rxbvml,channel-latency,candidate,143598.373299677478,7131
recorded,2,11,rxbvml,channel-throughput,candidate,2925.480247294502,87507
recorded,2,12,rxbvml,channel-latency,accepted,128967.254408060457,7940
recorded,2,12,rxbvml,channel-throughput,accepted,3142.608119222696,81461
recorded,3,13,rxbvml,channel-latency,accepted,135163.674762407609,7576
recorded,3,13,rxbvml,channel-throughput,accepted,3169.925333399373,80759
recorded,3,14,rxbvml,channel-latency,candidate,135971.318549993361,7531
recorded,3,14,rxbvml,channel-throughput,candidate,3171.653348200458,80715
recorded,3,15,rxtvml,channel-latency,accepted,138322.301769552898,7403
recorded,3,15,rxtvml,channel-throughput,accepted,2734.283211928311,93626
recorded,3,16,rxtvml,channel-latency,candidate,142103.802386899799,7206
recorded,3,16,rxtvml,channel-throughput,candidate,2784.727510062004,91930
recorded,4,17,rxtvml,channel-latency,candidate,144960.362400906015,7064
recorded,4,17,rxtvml,channel-throughput,candidate,2727.815190520842,93848
recorded,4,18,rxtvml,channel-latency,accepted,139187.168682887044,7357
recorded,4,18,rxtvml,channel-throughput,accepted,2721.667021050393,94060
recorded,4,19,rxbvml,channel-latency,candidate,139206.090266449144,7356
recorded,4,19,rxbvml,channel-throughput,candidate,3159.830652825950,81017
recorded,4,20,rxbvml,channel-latency,accepted,137486.573576799128,7448
recorded,4,20,rxbvml,channel-throughput,accepted,3170.514217774695,80744
recorded,5,21,rxbvml,channel-latency,accepted,136953.323525478132,7477
recorded,5,21,rxbvml,channel-throughput,accepted,3109.097754405567,82339
recorded,5,22,rxbvml,channel-latency,candidate,134825.543120474002,7595
recorded,5,22,rxbvml,channel-throughput,candidate,3239.563165154449,79023
recorded,5,23,rxtvml,channel-latency,accepted,139395.589436427981,7346
recorded,5,23,rxtvml,channel-throughput,accepted,2751.534302819248,93039
recorded,5,24,rxtvml,channel-latency,candidate,136642.647451294382,7494
recorded,5,24,rxtvml,channel-throughput,candidate,2768.435509511090,92471
recorded,6,25,rxtvml,channel-latency,candidate,142400.222500347649,7191
recorded,6,25,rxtvml,channel-throughput,candidate,2673.294208558718,95762
recorded,6,26,rxtvml,channel-latency,accepted,137283.818206193857,7459
recorded,6,26,rxtvml,channel-throughput,accepted,2742.103064514401,93359
recorded,6,27,rxbvml,channel-latency,candidate,141397.404032035352,7242
