route,n,min_seconds,median_seconds,max_seconds,min_rss_bytes,median_rss_bytes,max_rss_bytes
s0,3,0.32,0.33,0.33,132759552,132907008,132907008
s1,3,0.32,0.32,0.33,132579328,132743168,132857856
h1,3,0.33,0.33,0.33,132841472,133054464,133660672
