workload,vm,pairs,control_rate_median,candidate_rate_median,rate_mean_percent,rate_95_ci_low_percent,rate_95_ci_high_percent,rate_interval_result,rate_favorable,rate_guard_hit,control_resident_median,candidate_resident_median,resident_mean_percent,resident_95_ci_low_percent,resident_95_ci_high_percent,resident_interval_result,control_retained_slab_bytes_median,candidate_retained_slab_bytes_median,retained_mean_percent,control_owned_slabs_median,candidate_owned_slabs_median,candidate_reclaimed_slabs_median
spin-rxbvml-w1,rxbvml,12,1854.797487,1843.088816,-1.270386,-2.980904,0.440132,noisy_inconclusive,4.000000,no,6791168.000000,6791168.000000,0.020420,-0.132452,0.173293,noisy_inconclusive,1048576.000000,1048576.000000,0.000000,8.000000,8.000000,0.000000
spin-rxbvml-w2,rxbvml,12,3620.652367,3607.338836,-2.052237,-5.012544,0.908070,noisy_inconclusive,5.000000,no,6938624.000000,6938624.000000,0.098596,-0.064027,0.261219,noisy_inconclusive,1572864.000000,1572864.000000,0.000000,16.000000,16.000000,0.000000
spin-rxbvml-w4,rxbvml,12,4073.743505,4109.659988,1.586038,-0.250400,3.422476,noisy_inconclusive,9.000000,no,7290880.000000,7266304.000000,-0.168075,-0.380691,0.044540,noisy_inconclusive,2621440.000000,2621440.000000,0.000000,32.000000,32.000000,0.000000
spin-rxbvml-w8,rxbvml,12,6362.699293,6424.658133,0.212501,-0.555710,0.980712,noisy_inconclusive,9.000000,no,7946240.000000,7962624.000000,0.120416,-0.051149,0.291982,noisy_inconclusive,4718592.000000,4718592.000000,0.000000,64.000000,64.000000,0.000000
spin-rxtvml-w1,rxtvml,12,1515.794455,1522.563379,1.481149,-2.397489,5.359787,noisy_inconclusive,9.000000,no,6815744.000000,6815744.000000,-0.079697,-0.214892,0.055499,noisy_inconclusive,1048576.000000,1048576.000000,0.000000,8.000000,8.000000,0.000000
spin-rxtvml-w2,rxtvml,12,2987.427716,2981.893990,-0.574592,-2.767826,1.618641,noisy_inconclusive,4.000000,no,6979584.000000,6979584.000000,0.000276,-0.167987,0.168538,noisy_inconclusive,1572864.000000,1572864.000000,0.000000,16.000000,16.000000,0.000000
spin-rxtvml-w4,rxtvml,12,4675.957949,4653.182363,-0.297620,-3.536054,2.940813,noisy_inconclusive,4.000000,no,7299072.000000,7307264.000000,0.113240,-0.205569,0.432049,noisy_inconclusive,2621440.000000,2621440.000000,0.000000,32.000000,32.000000,0.000000
spin-rxtvml-w8,rxtvml,12,7018.299006,7267.825958,3.872593,0.730404,7.014782,clear_favorable,9.000000,no,7995392.000000,8011776.000000,0.188298,-0.037170,0.413765,noisy_inconclusive,4718592.000000,4718592.000000,0.000000,64.000000,64.000000,0.000000
churn-rxbvml-w1,rxbvml,12,1904.430211,1931.602525,0.335655,-1.493604,2.164913,noisy_inconclusive,7.000000,no,9469952.000000,9469952.000000,-0.606507,-2.015556,0.802542,noisy_inconclusive,1703936.000000,1638400.000000,-3.846154,17.000000,8.000000,9.000000
churn-rxbvml-w2,rxbvml,12,1812.653820,1815.658458,-0.448813,-3.229392,2.331765,noisy_inconclusive,6.000000,no,13287424.000000,13287424.000000,2.145377,-2.651817,6.942571,noisy_inconclusive,2818048.000000,2686976.000000,-4.651163,34.000000,16.000000,18.000000
churn-rxbvml-w4,rxbvml,12,1363.450761,1278.436197,-4.476433,-7.914408,-1.038458,clear_adverse,2.000000,yes,20422656.000000,19447808.000000,-5.619657,-11.764500,0.525186,noisy_inconclusive,5046272.000000,3735552.000000,-25.974026,68.000000,32.000000,36.000000
churn-rxbvml-w8,rxbvml,12,1061.944729,1057.486958,0.030425,-3.179097,3.239948,noisy_inconclusive,4.000000,no,33071104.000000,33333248.000000,2.228882,-2.566996,7.024760,noisy_inconclusive,9502720.000000,5832704.000000,-38.620690,136.000000,64.000000,72.000000
churn-rxtvml-w1,rxtvml,12,1846.207716,1855.128228,0.174470,-2.325815,2.674756,noisy_inconclusive,7.000000,no,9535488.000000,9535488.000000,1.961700,-2.254221,6.177621,noisy_inconclusive,1703936.000000,1638400.000000,-3.846154,17.000000,8.000000,9.000000
churn-rxtvml-w2,rxtvml,12,1784.809610,1778.417065,-1.262335,-2.784927,0.260258,noisy_inconclusive,6.000000,no,13361152.000000,13369344.000000,2.720939,-2.877168,8.319046,noisy_inconclusive,2818048.000000,2686976.000000,-4.651163,34.000000,16.000000,18.000000
churn-rxtvml-w4,rxtvml,12,1333.809444,1209.690473,-2.057205,-6.778841,2.664430,noisy_inconclusive,5.000000,no,20496384.000000,20537344.000000,-1.529928,-6.724930,3.665073,noisy_inconclusive,5046272.000000,3735552.000000,-25.974026,68.000000,32.000000,36.000000
churn-rxtvml-w8,rxtvml,12,1020.120315,1027.063780,1.815667,-1.629664,5.260998,noisy_inconclusive,6.000000,no,33136640.000000,33824768.000000,3.710323,0.606713,6.813933,clear_adverse,9502720.000000,5832704.000000,-38.620690,136.000000,64.000000,72.000000
