phase,round,position,vm,cell,variant,rate_jobs_per_second,elapsed_us
recorded,1,5,rxbvml,channel-latency,accepted,136861.801657310891,7482
recorded,1,5,rxbvml,channel-throughput,accepted,3119.934676367714,82053
recorded,1,6,rxbvml,channel-latency,candidate,126232.741617357009,8112
recorded,1,6,rxbvml,channel-throughput,candidate,3064.657081632409,83533
recorded,1,7,rxtvml,channel-latency,accepted,129932.749651059508,7881
recorded,1,7,rxtvml,channel-throughput,accepted,2686.253934942287,95300
recorded,1,8,rxtvml,channel-latency,candidate,134612.856579466286,7607
recorded,1,8,rxtvml,channel-throughput,candidate,2673.154635730471,95767
recorded,2,9,rxtvml,channel-latency,candidate,136843.511960443662,7483
recorded,2,9,rxtvml,channel-throughput,candidate,2672.289609386417,95798
recorded,2,10,rxtvml,channel-latency,accepted,139225.016995241342,7355
recorded,2,10,rxtvml,channel-throughput,accepted,2608.385551989403,98145
recorded,2,11,rxbvml,channel-latency,candidate,144265.990419836569,7098
recorded,2,11,rxbvml,channel-throughput,candidate,2716.324473446867,94245
recorded,2,12,rxbvml,channel-latency,accepted,136025.504782146658,7528
recorded,2,12,rxbvml,channel-throughput,accepted,3080.366274802363,83107
recorded,3,13,rxbvml,channel-latency,accepted,135521.439915299095,7556
recorded,3,13,rxbvml,channel-throughput,accepted,3078.403078403078,83160
recorded,3,14,rxbvml,channel-latency,candidate,134772.308502237429,7598
recorded,3,14,rxbvml,channel-throughput,candidate,3064.143535973763,83547
recorded,3,15,rxtvml,channel-latency,accepted,133472.367049009394,7672
recorded,3,15,rxtvml,channel-throughput,accepted,2630.551388232393,97318
recorded,3,16,rxtvml,channel-latency,candidate,139547.560643227043,7338
recorded,3,16,rxtvml,channel-throughput,candidate,2693.035977277509,95060
recorded,4,17,rxtvml,channel-latency,candidate,130412.633723891995,7852
recorded,4,17,rxtvml,channel-throughput,candidate,2669.948478337957,95882
recorded,4,18,rxtvml,channel-latency,accepted,134754.572970127658,7599
