rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,1000000,2,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_REG(r3,r4,r1) | UNLINKN_REG_REG(r1,r4) | ISETATTR1_REG_INT_REG(r2,c2,r3)","r1=R18;r2=R16;c1=int:2;r3=R19;r4=R17;c2=int:1","benchmark_awfy_bounce_opt",864
2,1000000,2,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGT_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1) | BRF_ID_REG(c3,r3)","r1=R19;r2=R16;c1=int:1;r3=R18;c2=int:500;c3=label@969","benchmark_awfy_bounce_opt",898
3,1000000,2,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ILT_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1) | BRF_ID_REG(c3,r3)","r1=R21;r2=R16;c1=int:1;r3=R20;c2=int:0;c3=label@1036","benchmark_awfy_bounce_opt",969
4,1000000,2,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c2) | IADD_REG_REG_REG(r4,r1,r3) | UNLINKN_REG_REG(r3,r1)","r1=R17;r2=R16;c1=int:1;r3=R18;c2=int:2;r4=R19","benchmark_awfy_bounce_opt",860
5,500000,1,1,7,candidate,"BRT_ID_REG(c1,r1) | MINLINKATTR1_REG_REG_REG_INT(r2,r3,r4,c2) | MKREF_REG_REG(r5,r2) | UNLINK_REG(r2)","c1=label@1194;r1=R13;r2=R14;r3=R0;r4=R6;c2=int:0;r5=R7","benchmark_awfy_bounce_opt",836
6,500000,1,1,8,candidate,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | LINKATTR1_REG_REG_INT(r4,r1,c2) | LINKATTR1_REG_REG_INT(r5,r1,c3)","r1=R16;r2=R8;r3=R14;c1=int:0;r4=R17;c2=int:1;r5=R18;c3=int:2","benchmark_awfy_bounce_opt",854
7,500000,1,1,6,candidate,"IADD_REG_REG_REG(r1,r2,r3) | UNLINKN_REG_REG(r3,r2) | ISETATTR1_REG_INT_REG(r4,c1,r1) | LINKATTR1_REG_REG_INT(r3,r4,c2)","r1=R19;r2=R17;r3=R18;r4=R16;c1=int:1;c2=int:3","benchmark_awfy_bounce_opt",868
8,500000,1,1,7,candidate,"IADD_REG_REG_REG(r1,r2,r3) | UNLINKN_REG_REG(r3,r2) | ISETATTR1_REG_INT_REG(r4,c1,r1) | LINKATTR1_REG_REG_INT(r5,r4,c2)","r1=R5;r2=R18;r3=R17;r4=R16;c1=int:3;r5=R19;c2=int:1","benchmark_awfy_bounce_opt",887
9,500000,1,1,7,candidate,"ICOPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r1) | BRTF_ID_ID_REG(c1,c2,r5)","r1=R15;r2=R14;r3=R8;r4=R16;r5=R21;c1=label@1187;c2=label@1191","benchmark_awfy_bounce_opt",1174
10,500000,1,1,8,candidate,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | MINLINKATTR1_REG_REG_REG_INT(r4,r5,r2,c2) | MKREF_REG_REG(r6,r4)","r1=R13;r2=R6;r3=R12;c1=label@1194;r4=R14;r5=R0;c2=int:0;r6=R7","benchmark_awfy_bounce_opt",832
11,500000,1,1,7,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c2) | IGT_REG_REG_INT(r4,r3,c3) | UNLINK_REG(r3)","r1=R16;c1=int:3;r2=R5;r3=R19;c2=int:1;r4=R18;c3=int:500","benchmark_awfy_bounce_opt",894
12,500000,1,1,8,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c2) | LINKATTR1_REG_REG_INT(r4,r1,c3) | IADD_REG_REG_REG(r5,r3,r4)","r1=R16;c1=int:1;r2=R19;r3=R18;c2=int:3;r4=R17;c3=int:4;r5=R5","benchmark_awfy_bounce_opt",875
13,500000,1,1,7,candidate,"LINKREF_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | LOAD_REG_INT(r4,c1) | LINKATTR1_REG_REG_INT(r5,r3,c2)","r1=R8;r2=R7;r3=R16;r4=R14;c1=int:0;r5=R17;c2=int:1","benchmark_awfy_bounce_opt",851
14,500000,1,1,8,candidate,"LOAD_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_INT(r4,r3,c3) | IADD_REG_REG_REG(r5,r2,r4)","r1=R14;c1=int:0;r2=R17;r3=R16;c2=int:1;r4=R18;c3=int:2;r5=R19","benchmark_awfy_bounce_opt",857
15,500000,1,1,6,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | MKREF_REG_REG(r4,r1) | UNLINK_REG(r1) | UNLINK_REG(r5)","r1=R14;r2=R0;r3=R6;c1=int:0;r4=R7;r5=R8","benchmark_awfy_bounce_opt",839
16,500000,1,1,3,candidate,"MKREF_REG_REG(r1,r2) | UNLINK_REG(r2) | UNLINK_REG(r3) | LINKREF_REG_REG(r3,r1)","r1=R7;r2=R14;r3=R8","benchmark_awfy_bounce_opt",844
17,500000,1,1,7,candidate,"UNLINKN_REG_REG(r1,r2) | ISETATTR1_REG_INT_REG(r3,c1,r4) | LINKATTR1_REG_REG_INT(r1,r3,c2) | LINKATTR1_REG_REG_INT(r2,r3,c3)","r1=R18;r2=R17;r3=R16;c1=int:1;r4=R19;c2=int:3;c3=int:4","benchmark_awfy_bounce_opt",872
18,500000,1,1,8,candidate,"UNLINKN_REG_REG(r1,r2) | ISETATTR1_REG_INT_REG(r3,c1,r4) | LINKATTR1_REG_REG_INT(r5,r3,c2) | IGT_REG_REG_INT(r2,r5,c3)","r1=R17;r2=R18;r3=R16;c1=int:3;r4=R5;r5=R19;c2=int:1;c3=int:500","benchmark_awfy_bounce_opt",891
19,500000,1,1,5,candidate,"UNLINK_REG(r1) | LINKREF_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | LOAD_REG_INT(r4,c1)","r1=R8;r2=R7;r3=R16;r4=R14;c1=int:0","benchmark_awfy_bounce_opt",849
20,500000,1,1,4,candidate,"UNLINK_REG(r1) | UNLINK_REG(r2) | LINKREF_REG_REG(r2,r3) | COPY_REG_REG(r4,r2)","r1=R14;r2=R8;r3=R7;r4=R16","benchmark_awfy_bounce_opt",847
