rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,503900,4,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | IGETUNLINK_REG_REG(r5,r3) | UNLINKN_REG_REG(r1,r5) | UNLINK_REG(r6)","r1=R19;r2=R15;c1=int:2;c2=int:6;r3=R18;r4=R13;c3=int:1;r5=R17;r6=R16","benchmark_awfy_permute_opt",168
2,503900,4,1,11,candidate,"UNLINKN_REG_REG(r1,r2) | UNLINK_REG(r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c1,c2,r6,r7,c3) | ISETUNLINKN_REG_REG_REG(r6,r8,r4)","r1=R19;r2=R17;r3=R16;r4=R18;r5=R15;c1=int:2;c2=int:6;r6=R20;r7=R13;c3=int:1;r8=R14","benchmark_awfy_permute_opt",179
3,503900,4,1,10,candidate,"UNLINK_REG(r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c1,c2,r4,r5,c3) | ISETUNLINKN_REG_REG_REG(r4,r6,r2) | COPY_REG_REG(r7,r3)","r1=R16;r2=R18;r3=R15;c1=int:2;c2=int:6;r4=R20;r5=R13;c3=int:1;r6=R14;r7=R10","benchmark_awfy_permute_opt",182
4,503300,2,1,9,candidate,"COPY_REG_REG(r1,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r1,c1,c2,r4,r5,c3) | IGETUNLINK_REG_REG(r6,r4) | UNLINK_REG(r3)","r1=R10;r2=R24;r3=R12;c1=int:2;c2=int:6;r4=R11;r5=R3;c3=int:1;r6=R9","benchmark_awfy_permute_opt",624
5,503300,2,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r5,r2,c1,c2,r6,r7,c3) | IGETUNLINK_REG_REG(r3,r6) | UNLINKN_REG_REG(r5,r3)","r1=R11;r2=R10;c1=int:2;c2=int:6;r3=R13;r4=R3;c3=int:1;r5=R15;r6=R14;r7=R7","benchmark_awfy_permute_opt",640
6,433000,2,1,4,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r3,r1,c1) | UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3)","r1=R7;r2=R10;c1=int:1;r3=R11","benchmark_awfy_permute_opt",97
7,432950,1,1,5,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r2,r1,c2) | IADD_REG_REG_INT(r3,r2,c2)","r1=R24;c1=int:18;c2=int:1;r2=R3;r3=R4","benchmark_awfy_permute_opt",569
8,432950,1,1,6,candidate,"IADD_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | ISETATTR1_REG_INT_REG(r3,c1,r1) | INE_REG_REG_INT(r1,r4,c2)","r1=R4;r2=R3;c1=int:1;r3=R24;r4=R25;c2=int:0","benchmark_awfy_permute_opt",579
9,432950,1,1,5,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r1,r2,c2) | IADD_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1)","c1=int:18;c2=int:1;r1=R3;r2=R24;r3=R4","benchmark_awfy_permute_opt",571
10,432950,1,1,7,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | INE_REG_REG_INT(r3,r4,c2) | BRF_ID_REG(c3,r3)","r1=R3;r2=R24;c1=int:1;r3=R4;r4=R25;c2=int:0;c3=label@748","benchmark_awfy_permute_opt",583
