rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,164040,2,1,6,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | IGETUNLINK_REG_REG(r4,r3) | BR_ID(c2)","r1=R9;r2=R16;r3=R7;c1=int:1;r4=R6;c2=label@880","benchmark_awfy_towers_opt",868
2,109230,6,1,8,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r3,r4,c3) | COPY_REG_REG(r3,r5)","r1=R7;r2=R17;c1=int:0;c2=label@957;r3=R6;r4=R15;c3=int:2;r5=R16","benchmark_awfy_towers_opt",932
3,82050,1,1,5,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | NULL_REG(r2) | SETOBJUNINIT_REG_STRING(r2,c3)","r1=R15;c1=int:18;c2=int:1;r2=R3;c3=string@11","benchmark_awfy_towers_opt",776
4,82050,1,1,6,candidate,"NULL_REG(r1) | SETOBJUNINIT_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | IEQ_REG_REG_INT(r3,r4,c2)","r1=R3;c1=string@11;r2=R1;c2=int:0;r3=R5;r4=R17","benchmark_awfy_towers_opt",782
5,82050,1,1,6,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | NULL_REG(r1) | SETOBJUNINIT_REG_STRING(r1,c3) | LOAD_REG_INT(r2,c4)","c1=int:18;c2=int:1;r1=R3;c3=string@11;r2=R1;c4=int:0","benchmark_awfy_towers_opt",778
6,82050,1,1,7,candidate,"SETOBJUNINIT_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | IEQ_REG_REG_INT(r3,r4,c2) | BRF_ID_REG(c3,r3)","r1=R3;c1=string@11;r2=R1;c2=int:0;r3=R5;r4=R17;c3=label@818","benchmark_awfy_towers_opt",784
7,82020,1,1,7,candidate,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r4,r2,c2) | IGETUNLINK_REG_REG(r5,r4)","c1=label@932;r1=R1;r2=R9;r3=R16;r4=R7;c2=int:1;r5=R6","benchmark_awfy_towers_opt",865
8,82020,3,1,6,candidate,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | COPY_REG_REG(r4,r2) | UNLINK_REG(r2)","c1=label@865;r1=R1;r2=R6;r3=R15;c2=int:2;r4=R3","benchmark_awfy_towers_opt",804
9,82020,1,1,6,candidate,"ICOPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r5,r3,c1) | IGETUNLINK_REG_REG(r2,r5)","r1=R8;r2=R6;r3=R10;r4=R3;r5=R7;c1=int:1","benchmark_awfy_towers_opt",880
10,82020,3,1,6,candidate,"IGETUNLINK_REG_REG(r1,r2) | BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | COPY_REG_REG(r4,r2)","r1=R1;r2=R6;c1=label@865;r3=R15;c2=int:2;r4=R3","benchmark_awfy_towers_opt",801
11,82020,3,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGETUNLINK_REG_REG(r3,r1) | BRF_ID_REG(c2,r3) | LINKATTR1_REG_REG_INT(r1,r2,c3)","r1=R6;r2=R15;c1=int:3;r3=R1;c2=label@865;c3=int:2","benchmark_awfy_towers_opt",797
