crexx-nr05-call-census-manifest|1
# id|pair|workload|variant|mode|linked_image|modules|args|expectation|source_trace|warmups|runs|image_sha256|module_sha256s
sieve-noopt|sieve|Sieve|baseline|noopt|/private/tmp/crexx-perf2-0607.HOrlKC/freeze/linked/sieve-noopt.rxbin||50|PASS: AWFY Sieve|source=tests/benchmarks/awfy_sieve.crexx;source_sha256=395cc773ded763af39cd7ca0813582281e7f1be5768e5207f05e379e1756c18d;TRACE=Off;linked=1|0|1|65af38f4a6eb2c4b78c01991a9966b505599669890c7b1349242f84469f7a982|
sieve-opt|sieve|Sieve|candidate|opt|/private/tmp/crexx-perf2-0607.HOrlKC/freeze/linked/sieve-opt.rxbin||50|PASS: AWFY Sieve|source=tests/benchmarks/awfy_sieve.crexx;source_sha256=395cc773ded763af39cd7ca0813582281e7f1be5768e5207f05e379e1756c18d;TRACE=Off;linked=1|0|1|e4a931f92d0b7274a02187c3dfde8a114af0ddd2f069d6c760b20933ff78668b|
permute-noopt|permute|Permute|baseline|noopt|/private/tmp/crexx-perf2-0607.HOrlKC/freeze/linked/permute-noopt.rxbin||50|PASS: AWFY Permute|source=tests/benchmarks/awfy_permute.crexx;source_sha256=272178f1429f704f8b90e530b96a4e161acb627872530a277d2c7e6e9daed7e4;TRACE=Off;linked=1|0|1|04363dccdb0afe88b3a37f2603ee74fb85d1f92c6d3728ea5f87275d69214aca|
permute-opt|permute|Permute|candidate|opt|/private/tmp/crexx-perf2-0607.HOrlKC/freeze/linked/permute-opt.rxbin||50|PASS: AWFY Permute|source=tests/benchmarks/awfy_permute.crexx;source_sha256=272178f1429f704f8b90e530b96a4e161acb627872530a277d2c7e6e9daed7e4;TRACE=Off;linked=1|0|1|5d941ae1853b6221c5f33a51ee59746a301f2818d991f0922b737558d40bfbf0|
bounce-noopt|bounce|Bounce|baseline|noopt|/private/tmp/crexx-perf2-0607.HOrlKC/freeze/linked/bounce-noopt.rxbin||100|PASS: AWFY Bounce|source=tests/benchmarks/awfy_bounce.crexx;source_sha256=9d569ff3f2995dfc8408352b5b085bc0e91e828d05c99684802677c5105284f1;TRACE=Off;linked=1|0|1|cfa35e7c1c175ba81502876401d937507b475c9d598e0175bdee84442ad87b97|
bounce-opt|bounce|Bounce|candidate|opt|/private/tmp/crexx-perf2-0607.HOrlKC/freeze/linked/bounce-opt.rxbin||100|PASS: AWFY Bounce|source=tests/benchmarks/awfy_bounce.crexx;source_sha256=9d569ff3f2995dfc8408352b5b085bc0e91e828d05c99684802677c5105284f1;TRACE=Off;linked=1|0|1|8af293a790f577a562125f096776b7dc30ff274ec44838ed3944be3dfc044608|
richards-noopt|richards|Richards|baseline|noopt|/private/tmp/crexx-perf2-0607.HOrlKC/freeze/linked/richards-noopt.rxbin||1|PASS: AWFY Richards|source=tests/benchmarks/awfy_richards.crexx;source_sha256=cd136e6cc8bc5dd487db99abe706fc96d161b3e4b102e13b20cce69bc4692372;TRACE=Off;linked=1|0|1|429bea1e1865b09af2c328ccf42e4cb8c7f873d5b3b7f2f41f381cf67c5cc4a7|
richards-opt|richards|Richards|candidate|opt|/private/tmp/crexx-perf2-0607.HOrlKC/freeze/linked/richards-opt.rxbin||1|PASS: AWFY Richards|source=tests/benchmarks/awfy_richards.crexx;source_sha256=cd136e6cc8bc5dd487db99abe706fc96d161b3e4b102e13b20cce69bc4692372;TRACE=Off;linked=1|0|1|614a40d78b7b4697cb02e8c2ab2b1c9a653ec57601c0ece3265605026a5f3e9b|
base64-noopt|base64|Base64|baseline|noopt|/private/tmp/crexx-perf2-0607.HOrlKC/freeze/linked/base64-noopt.rxbin||500|PASS: Base64 Roundtrip|source=tests/benchmarks/base64_roundtrip.crexx;source_sha256=b024222aff7a2e60dd7812da2c4aa54f2a9bc65b978915a2e670e74bad7d9e13;TRACE=Off;linked=1|0|1|1b1175d381f4aa4431cd0ae0e3bd047b87193e5861ab8ff4305d0092171da50e|
base64-opt|base64|Base64|candidate|opt|/private/tmp/crexx-perf2-0607.HOrlKC/freeze/linked/base64-opt.rxbin||500|PASS: Base64 Roundtrip|source=tests/benchmarks/base64_roundtrip.crexx;source_sha256=b024222aff7a2e60dd7812da2c4aa54f2a9bc65b978915a2e670e74bad7d9e13;TRACE=Off;linked=1|0|1|8d2a61c44a095ffd57520aedb65ebabf64d627a6c5f4d2fad13ea0c7d30d44a0|
rexxcps-noopt|rexxcps|RexxCPS|baseline|noopt|/private/tmp/crexx-perf2-0607.HOrlKC/freeze/linked/rexxcps-noopt.rxbin||--smoke-count;1|PASS: RexxCPS 2.2d cREXX port|source=tests/benchmarks/rexxcps_levelb.crexx;source_sha256=2970c3d73fe2537ec8f81295c585495c4668b442d5b9a2335b1ee453a13bbdd6;TRACE=Off;linked=1;noncanonical_smoke_count=1|0|1|1c8952379aa096e4a81dacde4fd758fa2116788ca0273d10004f21d2b67d886a|
rexxcps-opt|rexxcps|RexxCPS|candidate|opt|/private/tmp/crexx-perf2-0607.HOrlKC/freeze/linked/rexxcps-opt.rxbin||--smoke-count;1|PASS: RexxCPS 2.2d cREXX port|source=tests/benchmarks/rexxcps_levelb.crexx;source_sha256=2970c3d73fe2537ec8f81295c585495c4668b442d5b9a2335b1ee453a13bbdd6;TRACE=Off;linked=1;noncanonical_smoke_count=1|0|1|93b94fda4b46ffd24b05cab77e28cc93c78ca7248420e6d8d796c61cfbc8d873|
