rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,106953,2,1,5,candidate,"BTOI_REG(r1) | IEQ_REG_REG_INT(r2,r1,c1) | UNLINKN_REG_REG(r1,r3) | BRF_ID_REG(c2,r2)","r1=R2;r2=R5;c1=int:0;r3=R3;c2=label@1250","benchmark_awfy_richards_noopt",1233
2,106953,2,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | BTOI_REG(r3) | IEQ_REG_REG_INT(r5,r3,c4) | UNLINKN_REG_REG(r3,r1)","r1=R3;r2=R8;c1=int:23;c2=int:6;r3=R2;r4=R9;c3=int:1;r5=R5;c4=int:0","benchmark_awfy_richards_noopt",1225
3,106605,1,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGTE_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1) | BRF_ID_REG(c3,r3)","r1=R2;r2=R13;c1=int:2;r3=R1;c2=int:0;c3=label@2870","benchmark_awfy_richards_noopt",2785
4,106604,1,1,9,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r1,c3,c4,r3,r4,c2) | BRF_ID_REG(c5,r3)","r1=R7;c1=int:18;c2=int:1;r2=R3;c3=int:19;c4=int:6;r3=R2;r4=R8;c5=label@1173","benchmark_awfy_richards_noopt",1151
5,106604,1,1,8,candidate,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | SETTP_REG_INT(r3,c3) | CALL2_REG_FUNC_REG_REG(r4,c4,r3,r2)","c1=label@2870;r1=R1;r2=R6;r3=R13;c2=int:2;c3=int:256;r4=R7;c4=func@53912","benchmark_awfy_richards_noopt",2795
6,106604,1,1,7,candidate,"IGTE_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r3,r4,c3)","r1=R1;r2=R2;c1=int:0;c2=label@2870;r3=R6;r4=R13;c3=int:2","benchmark_awfy_richards_noopt",2789
7,106604,1,1,7,candidate,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c2) | SETTP_REG_INT(r4,c3)","r1=R2;c1=label@2870;r2=R1;r3=R6;r4=R13;c2=int:2;c3=int:256","benchmark_awfy_richards_noopt",2793
8,92655,5,1,8,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c2) | SETLINKATTR1_REG_REG_INT_REG_INT(r4,r1,c3,r3,c4) | UNLINK_REG(r3)","r1=R4;r2=R7;c1=int:19;r3=R3;c2=int:2;r4=R2;c3=int:6;c4=int:1","benchmark_awfy_richards_noopt",1466
9,65790,1,1,8,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r1,c3,c4,r3,r4,c2) | BTOI_REG(r3)","r1=R8;c1=int:18;c2=int:1;r2=R3;c3=int:23;c4=int:6;r3=R2;r4=R9","benchmark_awfy_richards_noopt",1219
10,65790,1,1,6,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | LOAD_REG_INT(r2,c3) | SETTP_REG_INT(r1,c4)","r1=R25;c1=int:18;c2=int:1;r2=R1;c3=int:0;c4=int:256","benchmark_awfy_richards_noopt",1733
11,65790,1,1,6,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r3,r1,c2) | SETTP_REG_INT(r1,c3)","r1=R13;c1=int:1;r2=R11;r3=R6;c2=int:2;c3=int:256","benchmark_awfy_richards_noopt",2844
