entry,pair,workload,variant,mode,lifecycle,phase,sequence,elapsed_ns,exit_code,correctness
rexxcps-opaque-heavy-retained,rexxcps-opaque-heavy,RexxCPS opaque fixed 100,baseline,opt-retained,process,warmup,1,190437000,0,pass
rexxcps-opaque-heavy-retained,rexxcps-opaque-heavy,RexxCPS opaque fixed 100,baseline,opt-retained,process,warmup,2,187678000,0,pass
rexxcps-opaque-heavy-retained,rexxcps-opaque-heavy,RexxCPS opaque fixed 100,baseline,opt-retained,process,warmup,3,161973000,0,pass
rexxcps-opaque-heavy-retained,rexxcps-opaque-heavy,RexxCPS opaque fixed 100,baseline,opt-retained,process,recorded,1,153753000,0,pass
rexxcps-opaque-heavy-retained,rexxcps-opaque-heavy,RexxCPS opaque fixed 100,baseline,opt-retained,process,recorded,2,147801000,0,pass
rexxcps-opaque-heavy-retained,rexxcps-opaque-heavy,RexxCPS opaque fixed 100,baseline,opt-retained,process,recorded,3,166827000,0,pass
rexxcps-opaque-heavy-retained,rexxcps-opaque-heavy,RexxCPS opaque fixed 100,baseline,opt-retained,process,recorded,4,182482000,0,pass
rexxcps-opaque-heavy-retained,rexxcps-opaque-heavy,RexxCPS opaque fixed 100,baseline,opt-retained,process,recorded,5,183344000,0,pass
rexxcps-opaque-heavy-retained,rexxcps-opaque-heavy,RexxCPS opaque fixed 100,baseline,opt-retained,process,recorded,6,161844000,0,pass
rexxcps-opaque-heavy-retained,rexxcps-opaque-heavy,RexxCPS opaque fixed 100,baseline,opt-retained,process,recorded,7,152214000,0,pass
rexxcps-opaque-heavy-retained,rexxcps-opaque-heavy,RexxCPS opaque fixed 100,baseline,opt-retained,process,recorded,8,143585000,0,pass
rexxcps-opaque-heavy-retained,rexxcps-opaque-heavy,RexxCPS opaque fixed 100,baseline,opt-retained,process,recorded,9,145139000,0,pass
rexxcps-opaque-heavy-stripped,rexxcps-opaque-heavy,RexxCPS opaque fixed 100,candidate,opt-stripped,process,warmup,1,121097000,0,pass
rexxcps-opaque-heavy-stripped,rexxcps-opaque-heavy,RexxCPS opaque fixed 100,candidate,opt-stripped,process,warmup,2,120246000,0,pass
rexxcps-opaque-heavy-stripped,rexxcps-opaque-heavy,RexxCPS opaque fixed 100,candidate,opt-stripped,process,warmup,3,136487000,0,pass
rexxcps-opaque-heavy-stripped,rexxcps-opaque-heavy,RexxCPS opaque fixed 100,candidate,opt-stripped,process,recorded,1,158069000,0,pass
rexxcps-opaque-heavy-stripped,rexxcps-opaque-heavy,RexxCPS opaque fixed 100,candidate,opt-stripped,process,recorded,2,149646000,0,pass
rexxcps-opaque-heavy-stripped,rexxcps-opaque-heavy,RexxCPS opaque fixed 100,candidate,opt-stripped,process,recorded,3,135930000,0,pass
rexxcps-opaque-heavy-stripped,rexxcps-opaque-heavy,RexxCPS opaque fixed 100,candidate,opt-stripped,process,recorded,4,125076000,0,pass
rexxcps-opaque-heavy-stripped,rexxcps-opaque-heavy,RexxCPS opaque fixed 100,candidate,opt-stripped,process,recorded,5,120727000,0,pass
rexxcps-opaque-heavy-stripped,rexxcps-opaque-heavy,RexxCPS opaque fixed 100,candidate,opt-stripped,process,recorded,6,116302000,0,pass
rexxcps-opaque-heavy-stripped,rexxcps-opaque-heavy,RexxCPS opaque fixed 100,candidate,opt-stripped,process,recorded,7,118012000,0,pass
rexxcps-opaque-heavy-stripped,rexxcps-opaque-heavy,RexxCPS opaque fixed 100,candidate,opt-stripped,process,recorded,8,123031000,0,pass
rexxcps-opaque-heavy-stripped,rexxcps-opaque-heavy,RexxCPS opaque fixed 100,candidate,opt-stripped,process,recorded,9,147638000,0,pass
