image,metric,classification,iterations,samples,median_ns_per_op,min_ns_per_op
runtime-interface-retained,image_load,production,1,7,128000.000,124000.000
runtime-interface-retained,loop_control,control,1000000,7,2.164,1.272
runtime-interface-retained,type_support_exact,production,1000000,7,1.179,1.170
runtime-interface-retained,type_support_positive,production,1000000,7,32.316,31.849
runtime-interface-retained,type_support_negative,production,1000000,7,48.952,47.918
runtime-interface-retained,type_support_bitset,poc-not-production,1000000,7,0.846,0.360
runtime-interface-retained,type_find_positive,production,1000000,7,83.435,83.056
runtime-interface-retained,type_find_negative,production,1000000,7,60.195,59.637
runtime-interface-retained,member_find_positive,production,1000000,7,15.165,15.092
runtime-interface-retained,callable_find_positive,production,1000000,7,25.823,25.658
runtime-interface-retained,dispatch_id_positive,production,1000000,7,3.073,3.043
runtime-interface-retained,dispatch_id_negative,production,1000000,7,3.073,3.015
runtime-interface-retained,dispatch_portable_proc,production,1000000,7,3.898,3.751
runtime-interface-retained,dispatch_bound_target,poc-not-production,1000000,7,2.939,2.816
runtime-interface-retained,dispatch_direct_bound_target,poc-not-production,1000000,7,0.936,0.470
runtime-interface-retained,factory_bucket,production,1000000,7,4.090,3.744
runtime-interface-retained,provider_first,production,1000000,7,3.210,3.018
rexxcps-retained,image_load,production,1,7,477000.000,470000.000
rexxcps-retained,loop_control,control,1000000,7,1.066,0.237
rexxcps-retained,type_support_exact,production,1000000,7,0.936,0.936
rexxcps-retained,type_support_positive,production,1000000,7,37.572,35.093
rexxcps-retained,type_support_negative,production,1000000,7,72.811,71.980
rexxcps-retained,type_support_bitset,poc-not-production,1000000,7,0.976,0.908
rexxcps-retained,type_find_positive,production,1000000,7,49.355,48.658
rexxcps-retained,type_find_negative,production,1000000,7,59.959,59.696
rexxcps-retained,member_find_positive,production,1000000,7,22.459,22.249
rexxcps-retained,callable_find_positive,production,1000000,7,19.297,19.121
rexxcps-retained,dispatch_id_positive,production,1000000,7,4.003,3.991
rexxcps-retained,dispatch_id_negative,production,1000000,7,4.199,3.902
rexxcps-retained,dispatch_portable_proc,production,1000000,7,4.894,4.549
rexxcps-retained,dispatch_bound_target,poc-not-production,1000000,7,3.922,3.753
rexxcps-retained,dispatch_direct_bound_target,poc-not-production,1000000,7,0.937,0.410
rexxcps-retained,factory_bucket,production,1000000,7,4.330,3.967
rexxcps-retained,provider_first,production,1000000,7,4.473,3.808
rxas-standalone-interface,image_load,production,1,7,37000.000,34000.000
rxas-standalone-interface,loop_control,control,1000000,7,0.412,0.234
rxas-standalone-interface,type_support_exact,production,1000000,7,0.944,0.936
rxas-standalone-interface,type_support_positive,production,1000000,7,36.364,34.364
rxas-standalone-interface,type_support_negative,production,1000000,7,52.564,51.059
rxas-standalone-interface,type_support_bitset,poc-not-production,1000000,7,0.941,0.345
rxas-standalone-interface,type_find_positive,production,1000000,7,82.434,82.056
rxas-standalone-interface,type_find_negative,production,1000000,7,54.511,54.188
rxas-standalone-interface,member_find_positive,production,1000000,7,14.809,14.158
rxas-standalone-interface,callable_find_positive,production,1000000,7,26.123,25.720
rxas-standalone-interface,dispatch_id_positive,production,1000000,7,2.751,2.592
rxas-standalone-interface,dispatch_id_negative,production,1000000,7,2.635,2.573
rxas-standalone-interface,dispatch_portable_proc,production,1000000,7,3.753,3.370
rxas-standalone-interface,dispatch_bound_target,poc-not-production,1000000,7,2.965,2.760
rxas-standalone-interface,dispatch_direct_bound_target,poc-not-production,1000000,7,0.999,0.383
rxas-standalone-interface,factory_bucket,production,1000000,7,4.216,3.974
rxas-standalone-interface,provider_first,production,1000000,7,3.621,3.160
