Analysis of sampling Python (pid 59667) every 1 millisecond
Process:         Python [59667]
Path:            /opt/homebrew/*/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Python
Load Address:    0x100e2c000
Identifier:      org.python.python
Version:         3.14.6 (3.14.6)
Code Type:       ARM64
Platform:        macOS
Parent Process:  Python [59647]
Target Type:     live task

Date/Time:       2026-09-15 18:38:25.332 +0100
Launch Time:     2026-09-15 18:38:24.301 +0100
OS Version:      macOS 26.6.2 (25G83)
Report Version:  7
Analysis Tool:   /usr/bin/sample

Physical footprint:         6864K
Physical footprint (peak):  6864K
Idle exit:                  untracked
----

Call graph:
    2361 Thread_61709269   DispatchQueue_1: com.apple.main-thread  (serial)
      2361 start  (in dyld) + 6992  [0x184ba84e4]
        2361 Py_BytesMain  (in Python) + 44  [0x1017bef9c]
          2361 pymain_main  (in Python) + 236  [0x1017beefc]
            2361 Py_RunMain  (in Python) + 992  [0x1017beb50]
              2361 pymain_run_file  (in Python) + 72  [0x1017bf3a0]
                2361 pymain_run_file_obj  (in Python) + 164  [0x1017bf650]
                  2361 _PyRun_AnyFileObject  (in Python) + 80  [0x1017912f4]
                    2361 _PyRun_SimpleFileObject  (in Python) + 256  [0x101791690]
                      2361 pyrun_file  (in Python) + 164  [0x1017920fc]
                        2361 run_mod  (in Python) + 172  [0x101793788]
                          2361 PyEval_EvalCode  (in Python) + 248  [0x101719e3c]
                            2361 _PyEval_EvalFrameDefault  (in Python) + 10488  [0x10171cc68]
                              2361 PyObject_Vectorcall  (in Python) + 88  [0x1015edcec]
                                2361 time_sleep  (in Python) + 224  [0x10182efbc]
                                  2361 nanosleep  (in libsystem_c.dylib) + 220  [0x184e0ecc0]
                                    2361 __semwait_signal  (in libsystem_kernel.dylib) + 8  [0x184f33308]

Total number in stack (recursive counted multiple, when >=5):

Sort by top of stack, same collapsed (when >= 5):
        __semwait_signal  (in libsystem_kernel.dylib)        2361

Binary Images:
       0x100e2c000 -        0x100e2d15f +org.python.python (3.14.6 - 3.14.6) <F2E8D3B3-21BD-3918-B78D-C7E823116C0C> /opt/homebrew/*/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Python
       0x101580000 -        0x1019480f7 +org.python.python (3.14.6 - 3.14.6) <1191CF93-2C25-3F49-BB10-435162A655E1> /opt/homebrew/*/Python.framework/Versions/3.14/Python
       0x184b00000 -        0x184b52b4b  libobjc.A.dylib (951.7) <03BD9E32-CF0A-37B0-898A-3CE8DE06D842> /usr/lib/libobjc.A.dylib
