entry,pair,workload,variant,mode,lifecycle,phase,sequence,elapsed_ns,exit_code,correctness
sieve-noopt,sieve,Sieve,baseline,noopt,process,recorded,1,30173000,0,pass
sieve-opt,sieve,Sieve,candidate,opt,process,recorded,1,26773000,0,pass
permute-noopt,permute,Permute,baseline,noopt,process,recorded,1,60691000,0,pass
permute-opt,permute,Permute,candidate,opt,process,recorded,1,91692000,0,pass
mandelbrot-noopt,mandelbrot,Mandelbrot,baseline,noopt,process,recorded,1,178629000,0,pass
mandelbrot-opt,mandelbrot,Mandelbrot,candidate,opt,process,recorded,1,170036000,0,pass
towers-noopt,towers,Towers,baseline,noopt,process,recorded,1,342386000,0,pass
towers-opt,towers,Towers,candidate,opt,process,recorded,1,737055000,0,pass
bounce-noopt,bounce,Bounce,baseline,noopt,process,recorded,1,319941000,0,pass
bounce-opt,bounce,Bounce,candidate,opt,process,recorded,1,360026000,0,pass
storage-noopt,storage,Storage,baseline,noopt,process,recorded,1,789003000,0,pass
storage-opt,storage,Storage,candidate,opt,process,recorded,1,1799013000,0,pass
list-noopt,list,List,baseline,noopt,process,recorded,1,213703000,0,pass
list-opt,list,List,candidate,opt,process,recorded,1,223507000,0,pass
richards-noopt,richards,Richards,baseline,noopt,process,recorded,1,49692000,0,pass
richards-opt,richards,Richards,candidate,opt,process,recorded,1,594088000,0,pass
json-noopt,json,JSON,baseline,noopt,process,recorded,1,323118000,0,pass
json-opt,json,JSON,candidate,opt,process,recorded,1,309916000,0,pass
base64-noopt,base64,Base64,baseline,noopt,process,recorded,1,492686000,0,pass
base64-opt,base64,Base64,candidate,opt,process,recorded,1,313471000,0,pass
rexxcps-noopt,rexxcps,RexxCPS,baseline,noopt,process,recorded,1,742362000,0,pass
rexxcps-opt,rexxcps,RexxCPS,candidate,opt,process,recorded,1,1011787000,0,pass
