crexx-perf2-profile-inputs|1
# workload|vm|entry|schema-5 timing profile; diagnostic cost only
Sieve|rxvm|sieve-opt|performance/evidence/2026-07-23-perf2-01-current-baseline/05-profiles/rxvm-selected-timing/entries/sieve-opt/profile/profile.csv
Sieve|rxbvm|sieve-opt|performance/evidence/2026-07-23-perf2-01-current-baseline/05-profiles/rxbvm-selected-timing/entries/sieve-opt/profile/profile.csv
Bounce|rxvm|bounce-opt|performance/evidence/2026-07-23-perf2-01-current-baseline/05-profiles/rxvm-selected-timing/entries/bounce-opt/profile/profile.csv
Bounce|rxbvm|bounce-opt|performance/evidence/2026-07-23-perf2-01-current-baseline/05-profiles/rxbvm-selected-timing/entries/bounce-opt/profile/profile.csv
Richards|rxvm|richards-opt|performance/evidence/2026-07-23-perf2-01-current-baseline/05-profiles/rxvm-selected-timing/entries/richards-opt/profile/profile.csv
Richards|rxbvm|richards-opt|performance/evidence/2026-07-23-perf2-01-current-baseline/05-profiles/rxbvm-selected-timing/entries/richards-opt/profile/profile.csv
Base64|rxvm|base64-opt|performance/evidence/2026-07-23-perf2-01-current-baseline/05-profiles/rxvm-selected-timing/entries/base64-opt/profile/profile.csv
Base64|rxbvm|base64-opt|performance/evidence/2026-07-23-perf2-01-current-baseline/05-profiles/rxbvm-selected-timing/entries/base64-opt/profile/profile.csv
RexxCPS|rxvm|rexxcps-opt|performance/evidence/2026-07-23-perf2-01-current-baseline/05-profiles/rxvm-selected-timing/entries/rexxcps-opt/profile/profile.csv
RexxCPS|rxbvm|rexxcps-opt|performance/evidence/2026-07-23-perf2-01-current-baseline/05-profiles/rxbvm-selected-timing/entries/rexxcps-opt/profile/profile.csv
