crexx-nr05-call-census-manifest|1
# Selected diagnostic timing profiles only. These elapsed values are never product timing evidence.
# id|pair|workload|variant|mode|image|modules|args|expectation|source_trace|warmups|runs|image_sha256|module_sha256s
sieve-noopt|sieve|Sieve|baseline|noopt|/private/tmp/crexx-perf2-01-product.dbLYqo/cmake-build-perf2-release/tests/benchmarks/benchmark_awfy_sieve_noopt.rxbin|/private/tmp/crexx-perf2-01-product.dbLYqo/cmake-build-perf2-release/bin/library.rxbin|50|PASS: AWFY Sieve|source=tests/benchmarks/awfy_sieve.crexx;TRACE=Off|0|1|0c8d9099db3f12caee8bc89ba14bbdffbb418002092590fb85100a3bdc7ea472|a9b660f6a67fd57fa35ae180a6b3c0f2764d44241fc0272bd6c6b843ce5d8e10
sieve-opt|sieve|Sieve|candidate|opt|/private/tmp/crexx-perf2-01-product.dbLYqo/cmake-build-perf2-release/tests/benchmarks/benchmark_awfy_sieve_opt.rxbin|/private/tmp/crexx-perf2-01-product.dbLYqo/cmake-build-perf2-release/bin/library.rxbin|50|PASS: AWFY Sieve|source=tests/benchmarks/awfy_sieve.crexx;TRACE=Off|0|1|75d264a9acb4f17aab6c85e1a2991904580950ec6cd4da1c235d1010319e4f7f|a9b660f6a67fd57fa35ae180a6b3c0f2764d44241fc0272bd6c6b843ce5d8e10
bounce-noopt|bounce|Bounce|baseline|noopt|/private/tmp/crexx-perf2-01-product.dbLYqo/cmake-build-perf2-release/tests/benchmarks/benchmark_awfy_bounce_noopt.rxbin|/private/tmp/crexx-perf2-01-product.dbLYqo/cmake-build-perf2-release/bin/library.rxbin|100|PASS: AWFY Bounce|source=tests/benchmarks/awfy_bounce.crexx;TRACE=Off|0|1|21b106215b13efb6e125237f19f06754aa53843b1c2a0aca6359304cbb920122|a9b660f6a67fd57fa35ae180a6b3c0f2764d44241fc0272bd6c6b843ce5d8e10
bounce-opt|bounce|Bounce|candidate|opt|/private/tmp/crexx-perf2-01-product.dbLYqo/cmake-build-perf2-release/tests/benchmarks/benchmark_awfy_bounce_opt.rxbin|/private/tmp/crexx-perf2-01-product.dbLYqo/cmake-build-perf2-release/bin/library.rxbin|100|PASS: AWFY Bounce|source=tests/benchmarks/awfy_bounce.crexx;TRACE=Off|0|1|b1cc4416c538f3bf4cf9b73f85735712d88ead7091f931aa20e77b4216defb2b|a9b660f6a67fd57fa35ae180a6b3c0f2764d44241fc0272bd6c6b843ce5d8e10
richards-noopt|richards|Richards|baseline|noopt|/private/tmp/crexx-perf2-01-product.dbLYqo/cmake-build-perf2-release/tests/benchmarks/benchmark_awfy_richards_noopt.rxbin|/private/tmp/crexx-perf2-01-product.dbLYqo/cmake-build-perf2-release/bin/library.rxbin|1|PASS: AWFY Richards|source=tests/benchmarks/awfy_richards.crexx;TRACE=Off|0|1|7e0ada5338b44d7c1cafdd9da202981aa2fbe5aebff75130dbb0222efa5ccb97|a9b660f6a67fd57fa35ae180a6b3c0f2764d44241fc0272bd6c6b843ce5d8e10
richards-opt|richards|Richards|candidate|opt|/private/tmp/crexx-perf2-01-product.dbLYqo/cmake-build-perf2-release/tests/benchmarks/benchmark_awfy_richards_opt.rxbin|/private/tmp/crexx-perf2-01-product.dbLYqo/cmake-build-perf2-release/bin/library.rxbin|1|PASS: AWFY Richards|source=tests/benchmarks/awfy_richards.crexx;TRACE=Off|0|1|16660150fcf3fc461a4e1bc0e3920e67899f1edb5819c67e1363789850ee8157|a9b660f6a67fd57fa35ae180a6b3c0f2764d44241fc0272bd6c6b843ce5d8e10
base64-noopt|base64|Base64|baseline|noopt|/private/tmp/crexx-perf2-01-product.dbLYqo/cmake-build-perf2-release/tests/benchmarks/benchmark_base64_roundtrip_noopt.rxbin|/private/tmp/crexx-perf2-01-product.dbLYqo/cmake-build-perf2-release/bin/library.rxbin|500|PASS: Base64 Roundtrip|source=tests/benchmarks/base64_roundtrip.crexx;TRACE=Off|0|1|377ff7ef5311411f63a6b99808d33533073496fae4eb1a54df425200b29be537|a9b660f6a67fd57fa35ae180a6b3c0f2764d44241fc0272bd6c6b843ce5d8e10
base64-opt|base64|Base64|candidate|opt|/private/tmp/crexx-perf2-01-product.dbLYqo/cmake-build-perf2-release/tests/benchmarks/benchmark_base64_roundtrip_opt.rxbin|/private/tmp/crexx-perf2-01-product.dbLYqo/cmake-build-perf2-release/bin/library.rxbin|500|PASS: Base64 Roundtrip|source=tests/benchmarks/base64_roundtrip.crexx;TRACE=Off|0|1|84a4285d13df647b9124093597b3258ae2307e0cc222f8a7d7a0669fb5448008|a9b660f6a67fd57fa35ae180a6b3c0f2764d44241fc0272bd6c6b843ce5d8e10
rexxcps-noopt|rexxcps|RexxCPS|baseline|noopt|/private/tmp/crexx-perf2-01-product.dbLYqo/cmake-build-perf2-release/tests/benchmarks/benchmark_rexxcps_levelb_noopt.rxbin|/private/tmp/crexx-perf2-01-product.dbLYqo/cmake-build-perf2-release/bin/library.rxbin|--smoke-count;1|PASS: RexxCPS 2.2d cREXX port|source=tests/benchmarks/rexxcps_levelb.crexx;TRACE=Off;noncanonical_smoke_count=1|0|1|4eb7aa21d90ec76eda44a8df3249ea7ceae19d974406ddc27d113119f45b7e05|a9b660f6a67fd57fa35ae180a6b3c0f2764d44241fc0272bd6c6b843ce5d8e10
rexxcps-opt|rexxcps|RexxCPS|candidate|opt|/private/tmp/crexx-perf2-01-product.dbLYqo/cmake-build-perf2-release/tests/benchmarks/benchmark_rexxcps_levelb_opt.rxbin|/private/tmp/crexx-perf2-01-product.dbLYqo/cmake-build-perf2-release/bin/library.rxbin|--smoke-count;1|PASS: RexxCPS 2.2d cREXX port|source=tests/benchmarks/rexxcps_levelb.crexx;TRACE=Off;noncanonical_smoke_count=1|0|1|9b535403baddc5b7076d5eb23027a296d982660546bcecc74d3784bb2fa23741|a9b660f6a67fd57fa35ae180a6b3c0f2764d44241fc0272bd6c6b843ce5d8e10
