entry,pair,workload,variant,mode,lifecycle,phase,sequence,elapsed_ns,exit_code,correctness
rexxcps-noopt,rexxcps-current,RexxCPS,baseline,noopt,process,recorded,1,2788048000,0,pass
rexxcps-opt,rexxcps-current,RexxCPS,candidate,opt,process,recorded,1,1730057000,0,pass
