runtime,vm,lifecycle,phase,sequence,elapsed_ns,correctness
crexx,shared,compile-load-first-result,compile,1,77139000,pass
crexx,shared,compile-load-first-result,assemble,1,25801000,pass
crexx,rxvm,compile-load-first-result,load_first_result,1,2939000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,1,2660000,pass
crexx,shared,compile-load-first-result,compile,2,75600000,pass
crexx,shared,compile-load-first-result,assemble,2,6707000,pass
crexx,rxvm,compile-load-first-result,load_first_result,2,2890000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,2,2655000,pass
crexx,shared,compile-load-first-result,compile,3,76239000,pass
crexx,shared,compile-load-first-result,assemble,3,6604000,pass
crexx,rxvm,compile-load-first-result,load_first_result,3,2803000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,3,2625000,pass
crexx,shared,compile-load-first-result,compile,4,75918000,pass
crexx,shared,compile-load-first-result,assemble,4,6575000,pass
crexx,rxvm,compile-load-first-result,load_first_result,4,2704000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,4,2570000,pass
crexx,shared,compile-load-first-result,compile,5,77175000,pass
crexx,shared,compile-load-first-result,assemble,5,6663000,pass
crexx,rxvm,compile-load-first-result,load_first_result,5,2735000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,5,2576000,pass
crexx,shared,compile-load-first-result,compile,6,74857000,pass
crexx,shared,compile-load-first-result,assemble,6,6656000,pass
crexx,rxvm,compile-load-first-result,load_first_result,6,2816000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,6,2745000,pass
crexx,shared,compile-load-first-result,compile,7,75895000,pass
crexx,shared,compile-load-first-result,assemble,7,6645000,pass
crexx,rxvm,compile-load-first-result,load_first_result,7,2738000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,7,2684000,pass
crexx,shared,compile-load-first-result,compile,8,77890000,pass
crexx,shared,compile-load-first-result,assemble,8,7730000,pass
crexx,rxvm,compile-load-first-result,load_first_result,8,3458000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,8,3020000,pass
crexx,shared,compile-load-first-result,compile,9,80361000,pass
crexx,shared,compile-load-first-result,assemble,9,7036000,pass
crexx,rxvm,compile-load-first-result,load_first_result,9,2798000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,9,2751000,pass
crexx,shared,compile-load-first-result,compile,10,91895000,pass
crexx,shared,compile-load-first-result,assemble,10,7487000,pass
crexx,rxvm,compile-load-first-result,load_first_result,10,6138000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,10,3770000,pass
oorexx,oorexx,compile-load-first-result,translate,1,16280000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,1,43971000,pass
oorexx,oorexx,compile-load-first-result,translate,2,4154000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,2,9106000,pass
oorexx,oorexx,compile-load-first-result,translate,3,4033000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,3,9306000,pass
oorexx,oorexx,compile-load-first-result,translate,4,5273000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,4,9229000,pass
oorexx,oorexx,compile-load-first-result,translate,5,4136000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,5,8683000,pass
oorexx,oorexx,compile-load-first-result,translate,6,4091000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,6,8665000,pass
oorexx,oorexx,compile-load-first-result,translate,7,4800000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,7,8582000,pass
oorexx,oorexx,compile-load-first-result,translate,8,4211000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,8,8491000,pass
oorexx,oorexx,compile-load-first-result,translate,9,4057000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,9,8200000,pass
oorexx,oorexx,compile-load-first-result,translate,10,4013000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,10,8181000,pass
netrexx,netrexx,compile-load-first-result,compile,1,495613000,pass
netrexx,netrexx,compile-load-first-result,load_first_result,1,28386000,pass
netrexx,netrexx,compile-load-first-result,compile,2,450148000,pass
netrexx,netrexx,compile-load-first-result,load_first_result,2,28439000,pass
netrexx,netrexx,compile-load-first-result,compile,3,421831000,pass
netrexx,netrexx,compile-load-first-result,load_first_result,3,28391000,pass
netrexx,netrexx,compile-load-first-result,compile,4,411294000,pass
netrexx,netrexx,compile-load-first-result,load_first_result,4,27915000,pass
netrexx,netrexx,compile-load-first-result,compile,5,477296000,pass
netrexx,netrexx,compile-load-first-result,load_first_result,5,28458000,pass
netrexx,netrexx,compile-load-first-result,compile,6,418626000,pass
netrexx,netrexx,compile-load-first-result,load_first_result,6,28190000,pass
netrexx,netrexx,compile-load-first-result,compile,7,455827000,pass
netrexx,netrexx,compile-load-first-result,load_first_result,7,28610000,pass
netrexx,netrexx,compile-load-first-result,compile,8,414305000,pass
netrexx,netrexx,compile-load-first-result,load_first_result,8,28259000,pass
netrexx,netrexx,compile-load-first-result,compile,9,399045000,pass
netrexx,netrexx,compile-load-first-result,load_first_result,9,29575000,pass
netrexx,netrexx,compile-load-first-result,compile,10,467184000,pass
netrexx,netrexx,compile-load-first-result,load_first_result,10,28286000,pass
crexx,shared,compile-load-first-result,compile,11,76795000,pass
crexx,shared,compile-load-first-result,assemble,11,6826000,pass
crexx,rxvm,compile-load-first-result,load_first_result,11,2843000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,11,2666000,pass
crexx,shared,compile-load-first-result,compile,12,76717000,pass
crexx,shared,compile-load-first-result,assemble,12,6726000,pass
crexx,rxvm,compile-load-first-result,load_first_result,12,2757000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,12,2654000,pass
crexx,shared,compile-load-first-result,compile,13,75077000,pass
crexx,shared,compile-load-first-result,assemble,13,6646000,pass
crexx,rxvm,compile-load-first-result,load_first_result,13,2703000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,13,2767000,pass
crexx,shared,compile-load-first-result,compile,14,75608000,pass
crexx,shared,compile-load-first-result,assemble,14,6608000,pass
crexx,rxvm,compile-load-first-result,load_first_result,14,2751000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,14,2692000,pass
crexx,shared,compile-load-first-result,compile,15,75749000,pass
crexx,shared,compile-load-first-result,assemble,15,6648000,pass
crexx,rxvm,compile-load-first-result,load_first_result,15,2777000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,15,2812000,pass
crexx,shared,compile-load-first-result,compile,16,73678000,pass
crexx,shared,compile-load-first-result,assemble,16,6628000,pass
crexx,rxvm,compile-load-first-result,load_first_result,16,2812000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,16,2578000,pass
crexx,shared,compile-load-first-result,compile,17,74738000,pass
crexx,shared,compile-load-first-result,assemble,17,6567000,pass
crexx,rxvm,compile-load-first-result,load_first_result,17,2685000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,17,2565000,pass
crexx,shared,compile-load-first-result,compile,18,74540000,pass
crexx,shared,compile-load-first-result,assemble,18,6588000,pass
crexx,rxvm,compile-load-first-result,load_first_result,18,2748000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,18,2628000,pass
crexx,shared,compile-load-first-result,compile,19,74704000,pass
crexx,shared,compile-load-first-result,assemble,19,6613000,pass
