phase,round,vm,kind,variant,position,elapsed_us,items_per_second,checksum
recorded,1,rxbvm,read,packed-read,1,11946,167420056,1000000
recorded,1,rxbvm,read,encoded-read,2,22445,89106705,1000000
recorded,1,rxbvm,write,packed-write,3,19287,103696790,200019
recorded,1,rxbvm,write,encoded-write,4,37873,52808069,200019
recorded,1,rxtvm,read,packed-read,5,10237,195369737,1000000
recorded,1,rxtvm,read,encoded-read,6,25661,77939285,1000000
recorded,1,rxtvm,write,packed-write,7,22895,87355317,200019
recorded,1,rxtvm,write,encoded-write,8,41952,47673531,200019
recorded,2,rxtvm,write,encoded-write,1,40563,49306017,200019
recorded,2,rxtvm,write,packed-write,2,23048,86775425,200019
recorded,2,rxtvm,read,encoded-read,3,26310,76016723,1000000
recorded,2,rxtvm,read,packed-read,4,10382,192641109,1000000
recorded,2,rxbvm,write,encoded-write,5,38752,51610239,200019
recorded,2,rxbvm,write,packed-write,6,19555,102275632,200019
recorded,2,rxbvm,read,encoded-read,7,22720,88028169,1000000
recorded,2,rxbvm,read,packed-read,8,11036,181225081,1000000
recorded,3,rxbvm,read,packed-read,1,10881,183806635,1000000
recorded,3,rxbvm,read,encoded-read,2,23160,86355785,1000000
recorded,3,rxbvm,write,packed-write,3,19588,102103328,200019
recorded,3,rxbvm,write,encoded-write,4,38733,51635556,200019
recorded,3,rxtvm,read,packed-read,5,10257,194988788,1000000
recorded,3,rxtvm,read,encoded-read,6,25629,78036599,1000000
recorded,3,rxtvm,write,packed-write,7,23160,86355785,200019
recorded,3,rxtvm,write,encoded-write,8,42282,47301452,200019
recorded,4,rxtvm,write,encoded-write,1,43355,46130780,200019
recorded,4,rxtvm,write,packed-write,2,23039,86809323,200019
recorded,4,rxtvm,read,encoded-read,3,25892,77243936,1000000
recorded,4,rxtvm,read,packed-read,4,10218,195733020,1000000
recorded,4,rxbvm,write,encoded-write,5,37008,54042369,200019
recorded,4,rxbvm,write,packed-write,6,19216,104079933,200019
recorded,4,rxbvm,read,encoded-read,7,22964,87092840,1000000
recorded,4,rxbvm,read,packed-read,8,11430,174978127,1000000
recorded,5,rxbvm,read,packed-read,1,10505,190385530,1000000
recorded,5,rxbvm,read,encoded-read,2,22464,89031339,1000000
recorded,5,rxbvm,write,packed-write,3,19303,103610837,200019
recorded,5,rxbvm,write,encoded-write,4,37337,53566167,200019
recorded,5,rxtvm,read,packed-read,5,10236,195388823,1000000
recorded,5,rxtvm,read,encoded-read,6,25999,76926035,1000000
recorded,5,rxtvm,write,packed-write,7,23046,86782955,200019
recorded,5,rxtvm,write,encoded-write,8,42517,47040007,200019
recorded,6,rxtvm,write,encoded-write,1,41918,47712200,200019
recorded,6,rxtvm,write,packed-write,2,23453,85276936,200019
recorded,6,rxtvm,read,encoded-read,3,25651,77969669,1000000
recorded,6,rxtvm,read,packed-read,4,10317,193854802,1000000
recorded,6,rxbvm,write,encoded-write,5,38455,52008841,200019
recorded,6,rxbvm,write,packed-write,6,19481,102664134,200019
recorded,6,rxbvm,read,encoded-read,7,22887,87385852,1000000
recorded,6,rxbvm,read,packed-read,8,11839,168933186,1000000
recorded,7,rxbvm,read,packed-read,1,11332,176491351,1000000
recorded,7,rxbvm,read,encoded-read,2,22893,87362949,1000000
recorded,7,rxbvm,write,packed-write,3,19082,104810816,200019
