-- Install configuration: "MinSizeRel"
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/share/crexx/messages
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/share/crexx/messages/diagnostics.de_DE.msg
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/share/crexx/messages/diagnostics.en_GB.msg
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/share/crexx/messages/diagnostics.en_US.msg
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/share/crexx/messages/diagnostics.nl_NL.msg
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/include/crexx_version.h
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/./VERSION
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/./BUILDINFO
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/lib/libcrexxsaa.dll.a
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/libcrexxsaa.dll
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/include/crexxsaa.h
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/crexxsaa.exe
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/include/rxpa/crexxpa.h
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/include/platform/rxinteger.h
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/include/rxpa/crexx_version.h
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/maclib.rexx
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/macsys.rexx
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/mathlib.rexx
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/syslib.rexx
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rxpp-sh.exe
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/functions/array-formatting/arrayformatdemo.rxbin
