group,name,size_bytes,sha256
base-binaries,rxas,597128,648d16e72734f65c3f6272037f46e77a43adb4ca619653a874451f9485131779
base-binaries,rxbvm,999144,be0de6a427b3ef8e50c7375239403d90fd7762b58902c99d7657661c79877dbe
base-binaries,rxc,2837264,901e16e4d235c690bbc76cf74d1762f44c6e7b33c6091b7b5191e06df8b55f44
base-binaries,rxlink,145416,48c2e4a4873311b1bf8a0866dd963af24185155465fc953923725e0037179177
base-binaries,rxvm,998936,fcc2412130a479b418804743ce19435de1083a7a90316dbb3ce061e4927bad10
inputs,benchmark_awfy_richards_opt.rxas,256519,ac1737cc7d6d7ba59a1a3771d1c6d977b974f5d5c23fa5f10c032f0d00c259d9
inputs,benchmark_awfy_towers_opt.rxas,81002,35ead6d2a0313e64986370c803bf960cc20a73bf5b1813d9c0e8d2ac2a7c3e4e
inputs,benchmark_rexxcps_levelb_opt.rxas,196228,b575305ab154f60f378f8cdbd3a44811e66368daa894d8b4add934066726707f
base-images,benchmark_awfy_richards_opt.rxbin,79134,d046069d8de8d82c41bf994cd5188b0a78dfac00ebb740dd25254b0d5bf5a5b6
base-images,benchmark_awfy_towers_opt.rxbin,28646,2a89a49830608e755fe2eddb678e4efe4e783587b7e1f4d6bb625c9183dfa267
base-images,benchmark_rexxcps_levelb_opt.rxbin,68641,695577bcf47b427a42e7809a0276659c1c9391f2ae9ff0ce207663c2c41cd51d

