workload,procedures,blocks,register_sum,instructions_before,instructions_after,max_blocks,max_registers,max_instructions,largest_procedure,complete_identity_cells,max_identity_cells,max_identity_procedure
richards,24,354,427,1813,1808,91,58,376,richardsscheduler.runtask,117773,59392,richardsscheduler.runtask
towers,13,208,184,560,553,64,38,132,towersbenchmark.movedisks,38572,15200,towersbenchmark.movedisks
rexxcps,5,429,220,1246,1243,319,107,839,__rxtrace_handler,118556,118556,main

