rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,165076,5,1,5,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | UNLINKN_REG_REG(r2,r3) | BRF_ID_REG(c2,r1)","r1=R5;r2=R7;c1=int:0;r3=R12;c2=label@2939","benchmark_awfy_richards_opt",2862
2,129850,2,1,5,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r2,c1) | IGETUNLINK_REG_REG(r4,r3)","r1=R11;r2=R23;r3=R7;c1=int:2;r4=R1","benchmark_awfy_richards_opt",2841
3,129850,2,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGETUNLINK_REG_REG(r3,r1) | ICOPY_REG_REG(r4,r3)","r1=R7;r2=R23;c1=int:2;r3=R1;r4=R8","benchmark_awfy_richards_opt",2844
4,106953,2,1,4,candidate,"BTOI_REG(r1) | IEQ_REG_REG_INT(r2,r1,c1) | UNLINKN_REG_REG(r1,r3)","r1=R4;r2=R7;c1=int:0;r3=R5","benchmark_awfy_richards_opt",3004
5,106953,2,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | BTOI_REG(r3) | IEQ_REG_REG_INT(r5,r3,c4)","r1=R5;r2=R3;c1=int:23;c2=int:6;r3=R4;r4=R64;c3=int:1;r5=R7;c4=int:0","benchmark_awfy_richards_opt",2996
6,106605,1,1,4,candidate,"IGTE_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | BRF_ID_REG(c2,r1)","r1=R1;r2=R2;c1=int:0;c2=label@6923","benchmark_awfy_richards_opt",6771
7,106605,1,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGTE_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1)","r1=R2;r2=R14;c1=int:2;r3=R1;c2=int:0","benchmark_awfy_richards_opt",6767
8,106605,2,1,5,candidate,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2) | COPY_REG_REG(r3,r4)","r1=R10;c1=label@3347;r2=R9;r3=R19;r4=R17","benchmark_awfy_richards_opt",3269
9,106604,1,1,6,candidate,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r4,r3,c2)","c1=label@6923;r1=R1;r2=R5;r3=R14;r4=R2;c2=int:2","benchmark_awfy_richards_opt",6777
10,106604,1,1,9,candidate,"ICOPY_REG_REG(r1,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c1,c2,r5,r1,c3) | BRF_ID_REG(c4,r5)","r1=R4;r2=R3;r3=R6;r4=R5;c1=int:19;c2=int:6;r5=R2;c3=int:1;c4=label@6812","benchmark_awfy_richards_opt",6790
11,106604,1,1,8,candidate,"IGETUNLINK_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c1,c2,r2,r3,c3)","r1=R3;r2=R2;r3=R4;r4=R6;r5=R5;c1=int:19;c2=int:6;c3=int:1","benchmark_awfy_richards_opt",6787
12,101043,1,1,9,candidate,"UNLINKN_REG_REG(r1,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c1,c2,r4,r5,c3) | BRF_ID_REG(c4,r4)","r1=R2;r2=R6;r3=R5;c1=int:23;c2=int:6;r4=R8;r5=R4;c3=int:1;c4=label@6834","benchmark_awfy_richards_opt",6812
13,97858,10,1,7,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | IGETUNLINK_REG_REG(r5,r3)","r1=R6;r2=R9;c1=int:17;r3=R7;r4=R11;c2=int:0;r5=R0","benchmark_awfy_richards_opt",2123
14,92655,10,1,8,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c2) | SETLINKATTR1_REG_REG_INT_REG_INT(r4,r1,c3,r3,c4)","r1=R9;r2=R13;c1=int:24;r3=R4;c2=int:2;r4=R8;c3=int:6;c4=int:1","benchmark_awfy_richards_opt",2692
15,92655,10,1,7,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETLINKATTR1_REG_REG_INT_REG_INT(r3,r4,c2,r1,c3) | UNLINK_REG(r1)","r1=R4;r2=R13;c1=int:2;r3=R8;r4=R9;c2=int:6;c3=int:1","benchmark_awfy_richards_opt",2696
16,89264,4,1,4,candidate,"LOAD_REG_INT(r1,c1) | ICOPY_REG_REG(r2,r1) | BR_ID(c2)","r1=R8;c1=int:0;r2=R7;c2=label@3086","benchmark_awfy_richards_opt",3016
17,89036,14,1,5,candidate,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | BR_ID(c1)","r1=R23;r2=R11;r3=R21;r4=R9;c1=label@2982","benchmark_awfy_richards_opt",2929
18,83075,4,1,8,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | IGETUNLINK_REG_REG(r5,r3) | UNLINK_REG(r1)","r1=R4;r2=R63;c1=int:20;c2=int:6;r3=R6;r4=R64;c3=int:1;r5=R1","benchmark_awfy_richards_opt",3089
19,69125,4,1,5,candidate,"UNLINK_REG(r1) | IEQ_REG_REG_INT(r2,r3,c1) | BRF_ID_REG(c2,r2)","r1=R47;r2=R49;r3=R29;c1=int:0;c2=label@3895","benchmark_awfy_richards_opt",3841
20,65791,2,1,4,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | UNLINK_REG(r1)","r1=R2;r2=R14;c1=int:22;c2=int:2","benchmark_awfy_richards_opt",6757
21,65790,1,1,5,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | LOAD_REG_INT(r2,c3)","r1=R63;c1=int:18;c2=int:1;r2=R1;c3=int:0","benchmark_awfy_richards_opt",2984
22,65790,1,1,8,candidate,"COPY_REG_REG(r1,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r1,c1,c2,r4,r5,c3) | BTOI_REG(r4)","r1=R3;r2=R63;r3=R5;c1=int:23;c2=int:6;r4=R4;r5=R64;c3=int:1","benchmark_awfy_richards_opt",2993
23,65790,1,1,5,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r3,r1,c2)","r1=R14;c1=int:1;r2=R12;r3=R8;c2=int:2","benchmark_awfy_richards_opt",6897
24,65790,1,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETTP_REG_INT(r2,c2) | CALL2_REG_FUNC_REG_REG(r3,c3,r2,r1)","r1=R8;r2=R14;c1=int:2;c2=int:256;r3=R6;c3=func@109568","benchmark_awfy_richards_opt",6903
25,65790,1,1,10,candidate,"LOAD_REG_INT(r1,c1) | COPY_REG_REG(r2,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r2,c2,c3,r5,r6,c4)","r1=R1;c1=int:0;r2=R3;r3=R63;r4=R5;c2=int:23;c3=int:6;r5=R4;r6=R64;c4=int:1","benchmark_awfy_richards_opt",2990
26,65790,1,1,6,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LOAD_REG_INT(r1,c3) | COPY_REG_REG(r2,r3)","c1=int:18;c2=int:1;r1=R1;c3=int:0;r2=R3;r3=R63","benchmark_awfy_richards_opt",2986
27,65790,1,1,5,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | BR_ID(c2)","r1=R8;r2=R14;c1=int:2;r3=R6;c2=label@6767","benchmark_awfy_richards_opt",6915
28,65790,1,1,5,candidate,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | SETTP_REG_INT(r3,c2)","r1=R12;r2=R8;r3=R14;c1=int:2;c2=int:256","benchmark_awfy_richards_opt",6901
29,64637,3,1,5,candidate,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | ICOPY_REG_REG(r3,r2)","c1=label@3052;r1=R5;r2=R4;c2=int:0;r3=R7","benchmark_awfy_richards_opt",3041
30,63481,8,1,6,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | COPY_REG_REG(r3,r4)","r1=R11;r2=R64;c1=int:0;c2=label@3436;r3=R17;r4=R63","benchmark_awfy_richards_opt",3237
31,59880,1,1,8,candidate,"UNLINKN_REG_REG(r1,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c1,c2,r1,r4,c3) | BRF_ID_REG(c4,r1)","r1=R8;r2=R6;r3=R5;c1=int:25;c2=int:6;r4=R4;c3=int:1;c4=label@6855","benchmark_awfy_richards_opt",6834
32,59825,3,1,4,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | IEQ_REG_REG_INT(r2,r1,c1)","r1=R29;r2=R49;r3=R47;c1=int:0","benchmark_awfy_richards_opt",3838
33,53683,3,1,5,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | IGETUNLINK_REG_REG(r4,r1) | UNLINK_REG(r2)","r1=R7;r2=R6;r3=R11;c1=int:0;r4=R0","benchmark_awfy_richards_opt",2127
34,53463,2,1,5,candidate,"BRT_ID_REG(c1,r1) | IEQ_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1)","c1=label@3732;r1=R32;r2=R64;c2=int:3;c3=label@4210","benchmark_awfy_richards_opt",3725
35,53463,2,1,5,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IEQ_REG_REG_INT(r1,r2,c3)","r1=R32;r2=R64;c1=int:2;c2=label@3732;c3=int:3","benchmark_awfy_richards_opt",3721
36,51167,11,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1)","r1=R12;r2=R11;c1=int:9;r3=R13;c2=int:1","benchmark_awfy_richards_opt",459
37,46496,2,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | IEQ_REG_REG_INT(r5,r3,c4) | UNLINKN_REG_REG(r3,r1)","r1=R12;r2=R11;c1=int:20;c2=int:6;r3=R7;r4=R3;c3=int:1;r5=R5;c4=int:0","benchmark_awfy_richards_opt",2854
