entry,name,value
sieve-opt-retained-baseline-vm,schema_version,5
sieve-opt-retained-baseline-vm,vm_mode,rxvm
sieve-opt-retained-baseline-vm,result,0
sieve-opt-retained-baseline-vm,timer_read_min_ns,41
sieve-opt-retained-baseline-vm,timer_zero_deltas,763
sieve-opt-retained-baseline-vm,interrupt_polls,9519232
sieve-opt-retained-baseline-vm,invalid_events,0
sieve-opt-retained-baseline-vm,counter_overflow,0
sieve-opt-retained-baseline-vm,procedure_tracking_unavailable,0
sieve-opt-retained-baseline-vm,allocation_tracking_unavailable,0
sieve-opt-retained-baseline-vm,census_tracking_unavailable,0
sieve-opt-retained-baseline-vm,metadata_tracking_unavailable,0
sieve-opt-retained-candidate-vm,schema_version,5
sieve-opt-retained-candidate-vm,vm_mode,rxvm
sieve-opt-retained-candidate-vm,result,0
sieve-opt-retained-candidate-vm,timer_read_min_ns,41
sieve-opt-retained-candidate-vm,timer_zero_deltas,770
sieve-opt-retained-candidate-vm,interrupt_polls,9519232
sieve-opt-retained-candidate-vm,invalid_events,0
sieve-opt-retained-candidate-vm,counter_overflow,0
sieve-opt-retained-candidate-vm,procedure_tracking_unavailable,0
sieve-opt-retained-candidate-vm,allocation_tracking_unavailable,0
sieve-opt-retained-candidate-vm,census_tracking_unavailable,0
sieve-opt-retained-candidate-vm,metadata_tracking_unavailable,0
sieve-opt-stripped-baseline-vm,schema_version,5
sieve-opt-stripped-baseline-vm,vm_mode,rxvm
sieve-opt-stripped-baseline-vm,result,0
sieve-opt-stripped-baseline-vm,timer_read_min_ns,41
sieve-opt-stripped-baseline-vm,timer_zero_deltas,736
sieve-opt-stripped-baseline-vm,interrupt_polls,9519232
sieve-opt-stripped-baseline-vm,invalid_events,0
sieve-opt-stripped-baseline-vm,counter_overflow,0
sieve-opt-stripped-baseline-vm,procedure_tracking_unavailable,0
sieve-opt-stripped-baseline-vm,allocation_tracking_unavailable,0
sieve-opt-stripped-baseline-vm,census_tracking_unavailable,0
sieve-opt-stripped-baseline-vm,metadata_tracking_unavailable,0
sieve-opt-stripped-candidate-vm,schema_version,5
sieve-opt-stripped-candidate-vm,vm_mode,rxvm
sieve-opt-stripped-candidate-vm,result,0
sieve-opt-stripped-candidate-vm,timer_read_min_ns,41
sieve-opt-stripped-candidate-vm,timer_zero_deltas,748
sieve-opt-stripped-candidate-vm,interrupt_polls,9519232
sieve-opt-stripped-candidate-vm,invalid_events,0
sieve-opt-stripped-candidate-vm,counter_overflow,0
sieve-opt-stripped-candidate-vm,procedure_tracking_unavailable,0
sieve-opt-stripped-candidate-vm,allocation_tracking_unavailable,0
sieve-opt-stripped-candidate-vm,census_tracking_unavailable,0
sieve-opt-stripped-candidate-vm,metadata_tracking_unavailable,0
permute-opt-retained-baseline-vm,schema_version,5
permute-opt-retained-baseline-vm,vm_mode,rxvm
permute-opt-retained-baseline-vm,result,0
permute-opt-retained-baseline-vm,timer_read_min_ns,41
permute-opt-retained-baseline-vm,timer_zero_deltas,764
permute-opt-retained-baseline-vm,interrupt_polls,27600883
permute-opt-retained-baseline-vm,invalid_events,0
permute-opt-retained-baseline-vm,counter_overflow,0
permute-opt-retained-baseline-vm,procedure_tracking_unavailable,0
permute-opt-retained-baseline-vm,allocation_tracking_unavailable,0
permute-opt-retained-baseline-vm,census_tracking_unavailable,0
permute-opt-retained-baseline-vm,metadata_tracking_unavailable,0
permute-opt-retained-candidate-vm,schema_version,5
permute-opt-retained-candidate-vm,vm_mode,rxvm
permute-opt-retained-candidate-vm,result,0
permute-opt-retained-candidate-vm,timer_read_min_ns,41
permute-opt-retained-candidate-vm,timer_zero_deltas,765
permute-opt-retained-candidate-vm,interrupt_polls,27600883
permute-opt-retained-candidate-vm,invalid_events,0
permute-opt-retained-candidate-vm,counter_overflow,0
permute-opt-retained-candidate-vm,procedure_tracking_unavailable,0
permute-opt-retained-candidate-vm,allocation_tracking_unavailable,0
permute-opt-retained-candidate-vm,census_tracking_unavailable,0
permute-opt-retained-candidate-vm,metadata_tracking_unavailable,0
permute-opt-stripped-baseline-vm,schema_version,5
permute-opt-stripped-baseline-vm,vm_mode,rxvm
permute-opt-stripped-baseline-vm,result,0
permute-opt-stripped-baseline-vm,timer_read_min_ns,41
permute-opt-stripped-baseline-vm,timer_zero_deltas,763
permute-opt-stripped-baseline-vm,interrupt_polls,27600883
permute-opt-stripped-baseline-vm,invalid_events,0
permute-opt-stripped-baseline-vm,counter_overflow,0
permute-opt-stripped-baseline-vm,procedure_tracking_unavailable,0
permute-opt-stripped-baseline-vm,allocation_tracking_unavailable,0
permute-opt-stripped-baseline-vm,census_tracking_unavailable,0
permute-opt-stripped-baseline-vm,metadata_tracking_unavailable,0
permute-opt-stripped-candidate-vm,schema_version,5
permute-opt-stripped-candidate-vm,vm_mode,rxvm
permute-opt-stripped-candidate-vm,result,0
permute-opt-stripped-candidate-vm,timer_read_min_ns,41
permute-opt-stripped-candidate-vm,timer_zero_deltas,757
permute-opt-stripped-candidate-vm,interrupt_polls,27600883
permute-opt-stripped-candidate-vm,invalid_events,0
permute-opt-stripped-candidate-vm,counter_overflow,0
permute-opt-stripped-candidate-vm,procedure_tracking_unavailable,0
permute-opt-stripped-candidate-vm,allocation_tracking_unavailable,0
permute-opt-stripped-candidate-vm,census_tracking_unavailable,0
permute-opt-stripped-candidate-vm,metadata_tracking_unavailable,0
mandelbrot-opt-retained-baseline-vm,schema_version,5
mandelbrot-opt-retained-baseline-vm,vm_mode,rxvm
mandelbrot-opt-retained-baseline-vm,result,0
mandelbrot-opt-retained-baseline-vm,timer_read_min_ns,41
mandelbrot-opt-retained-baseline-vm,timer_zero_deltas,767
mandelbrot-opt-retained-baseline-vm,interrupt_polls,130268762
mandelbrot-opt-retained-baseline-vm,invalid_events,0
mandelbrot-opt-retained-baseline-vm,counter_overflow,0
mandelbrot-opt-retained-baseline-vm,procedure_tracking_unavailable,0
mandelbrot-opt-retained-baseline-vm,allocation_tracking_unavailable,0
mandelbrot-opt-retained-baseline-vm,census_tracking_unavailable,0
mandelbrot-opt-retained-baseline-vm,metadata_tracking_unavailable,0
mandelbrot-opt-retained-candidate-vm,schema_version,5
