rank,variant,common18_median_ns,classic9_median_ns,common18_throughput_delta_percent,classic9_throughput_delta_percent,worst_context_ratio,combined_ratio_product,status
1,D2-decNumber-p8-n18-b64,289258000.000000,344215000.000000,-0.228861,-1.673373,0.983266,0.981016,below-material-signal
2,D2-decNumber-p8-n64-b20,281019500.000000,344431000.000000,2.696076,-1.735035,0.982650,1.009143,below-material-signal
3,D2-decNumber-p8-n18-b20,289586500.000000,344617000.000000,-0.342039,-1.788072,0.982119,0.978760,below-material-signal
4,D2-decNumber-p8-n34-b128,281558000.000000,345480500.000000,2.499663,-2.033545,0.979665,1.004153,below-material-signal
5,D2-decNumber-p8-n64-b36,281307500.000000,346511500.000000,2.590937,-2.325031,0.976750,1.002057,below-material-signal
6,D2-decNumber-p8-n64-b128,285130000.000000,347471000.000000,1.215586,-2.594749,0.974053,0.985893,below-material-signal
7,D2-decNumber-p8-n18-b128,285948500.000000,347888500.000000,0.925866,-2.711645,0.972884,0.981891,below-material-signal
8,D2-decNumber-p8-n34-b20,286571500.000000,348212000.000000,0.706455,-2.802029,0.971980,0.978846,below-material-signal
9,D2-decNumber-p8-n64-b64,281696000.000000,348342000.000000,2.449449,-2.838303,0.971617,0.995416,below-material-signal
10,D2-decNumber-p8-n18-b36,287021000.000000,350327500.000000,0.548740,-3.388972,0.966110,0.971412,below-material-signal
11,D2-decNumber-p8-n34-b36,289769000.000000,350399000.000000,-0.404805,-3.408686,0.965913,0.962003,below-material-signal
12,D2-decNumber-p8-n34-b64,288455000.000000,350954000.000000,0.048881,-3.561435,0.964386,0.964857,below-material-signal
13,D2-decNumber-p9-n34-b64,306400000.000000,359550500.000000,-5.810705,-5.867187,0.941328,0.886630,below-material-signal
14,D2-decNumber-p9-n64-b36,307748000.000000,358294500.000000,-6.223274,-5.537205,0.937767,0.885841,below-material-signal
15,D2-decNumber-p9-n18-b128,306352000.000000,361308500.000000,-5.795947,-6.325204,0.936748,0.882455,below-material-signal
16,D2-decNumber-p9-n18-b64,303911000.000000,361847000.000000,-5.039304,-6.464611,0.935354,0.888219,below-material-signal
17,D2-decNumber-p9-n34-b128,308644000.000000,356998000.000000,-6.495509,-5.194147,0.935045,0.886477,below-material-signal
18,D2-decNumber-p9-n18-b36,303716000.000000,362308000.000000,-4.978335,-6.583625,0.934164,0.887658,below-material-signal
19,D2-decNumber-p9-n34-b36,303942000.000000,362786000.000000,-5.048990,-6.706709,0.932933,0.885829,below-material-signal
20,D2-decNumber-p9-n64-b20,309182500.000000,363358500.000000,-6.658365,-6.853700,0.931463,0.869443,below-material-signal
21,D2-decNumber-p9-n64-b128,311046000.000000,360671000.000000,-7.217582,-6.159630,0.927824,0.870674,below-material-signal
22,D2-decNumber-p9-n64-b64,312935500.000000,365148000.000000,-7.777801,-7.310187,0.922222,0.854806,below-material-signal
23,D2-decNumber-p9-n18-b20,309232000.000000,370441500.000000,-6.673307,-8.634697,0.913653,0.852682,below-material-signal
24,D2-decNumber-p9-n34-b20,317340500.000000,365474000.000000,-9.057936,-7.392865,0.909421,0.842188,below-material-signal
25,D2-decNumber-p4-n64-b64,368535500.000000,439554500.000000,-21.691126,-23.000447,0.769996,0.602975,below-material-signal
26,D2-decNumber-p4-n34-b36,361818000.000000,440813500.000000,-20.237246,-23.220364,0.767796,0.612416,below-material-signal
27,D2-decNumber-p4-n18-b36,371386500.000000,441859500.000000,-22.292275,-23.402122,0.765979,0.595225,below-material-signal
28,D2-decNumber-p4-n34-b64,365484000.000000,442299000.000000,-21.037309,-23.478235,0.765218,0.604236,below-material-signal
29,D2-decNumber-p4-n64-b128,365701500.000000,442977500.000000,-21.084272,-23.595442,0.764046,0.602952,below-material-signal
30,D2-decNumber-p4-n34-b128,366782500.000000,443699000.000000,-21.316857,-23.719684,0.762803,0.600198,below-material-signal
31,D2-decNumber-p4-n18-b128,359449500.000000,444241000.000000,-19.711670,-23.812750,0.761872,0.611695,below-material-signal
32,D2-decNumber-p4-n18-b20,374914500.000000,445372000.000000,-23.023516,-24.006224,0.759938,0.584973,below-material-signal
33,D2-decNumber-p4-n18-b64,369754000.000000,445811500.000000,-21.949188,-24.081142,0.759189,0.592553,below-material-signal
34,D2-decNumber-p4-n64-b36,363510500.000000,446150000.000000,-20.608621,-24.138743,0.758613,0.602273,below-material-signal
35,D2-decNumber-p4-n64-b20,366445000.000000,448158500.000000,-21.244389,-24.478728,0.755213,0.594772,below-material-signal
36,D2-decNumber-p4-n34-b20,372379000.000000,449529500.000000,-22.499389,-24.709057,0.752909,0.583509,below-material-signal
37,D2-decNumber-p3-n18-b128,432155500.000000,507992500.000000,-33.219408,-33.374016,0.666260,0.444932,below-material-signal
38,D2-decNumber-p3-n18-b36,433782500.000000,504981500.000000,-33.469884,-32.976753,0.665301,0.445906,below-material-signal
39,D2-decNumber-p3-n64-b36,433039000.000000,510910000.000000,-33.355656,-33.754477,0.662455,0.441489,below-material-signal
40,D2-decNumber-p3-n64-b64,434617000.000000,511485500.000000,-33.597627,-33.829014,0.661710,0.439391,below-material-signal
