profile,vm,candidate,mode,family,size,total_instructions,native_ops,native_total_ns,native_average_ns,hot_ops,hot_total_ns,hot_average_ns,direct_bytecode_calls,frame_activations,frame_reuses,binary_buffers,binary_buffer_bytes,binary_buffer_max_bytes,string_buffers,string_buffer_bytes,string_buffer_max_bytes,attribute_value_blocks,attribute_value_bytes,attribute_value_max_bytes,attribute_pointer_storage,attribute_pointer_bytes,attribute_pointer_max_bytes,value_slots,value_slot_bytes,value_slot_max_bytes
rxbvm-d1-set-existing-ascii-64.csv,rxbvm,d1,set-existing,ascii,64,261700,20064,371605,18.521,20064,371605,18.521,4,5,1,0,0,0,0,0,0,26,182528,63488,63,16960,2048,879,217992,63488
rxbvm-d1-set-new-ascii-64.csv,rxbvm,d1,set-new,ascii,64,221700,20064,15312157,763.166,20064,15312157,763.166,4,5,1,0,0,0,20000,640000,32,62,32624896,4063232,139,4203584,262144,131695,32660360,4063232
rxbvm-d2-get-hit-ascii-1024.csv,rxbvm,d2,get-hit,ascii,1024,182743,11024,249424,22.626,10000,204535,20.453,3,4,1,6,258048,131072,0,0,0,12,765824,253952,29,65984,8192,3227,800296,253952
rxbvm-d2-get-hit-ascii-16.csv,rxbvm,d2,get-hit,ascii,16,160567,10016,178564,17.828,10000,175523,17.552,3,4,1,1,4096,4096,0,0,0,6,15872,3968,17,1472,128,203,50344,16120
rxbvm-d2-get-hit-ascii-256.csv,rxbvm,d2,get-hit,ascii,256,165847,10256,193245,18.842,10000,182206,18.221,3,4,1,4,61440,32768,0,0,0,10,194432,63488,25,16832,2048,923,228904,63488
rxbvm-d2-get-hit-ascii-64.csv,rxbvm,d2,get-hit,ascii,64,321623,20064,357579,17.822,20000,351455,17.573,3,4,1,2,12288,8192,0,0,0,8,51584,15872,21,4544,512,347,86056,16120
rxbvm-d2-get-hit-collision-256.csv,rxbvm,d2,get-hit,collision,256,190167,10256,334973,32.661,10000,314762,31.476,3,4,1,4,61440,32768,2560,81920,32,10,194432,63488,25,16832,2048,923,228904,63488
rxbvm-d2-get-hit-long-64.csv,rxbvm,d2,get-hit,long,64,161879,10064,649815,64.568,10000,639188,63.919,3,4,1,3,28672,16384,198,23424,128,8,51584,15872,21,4544,512,347,86056,16120
rxbvm-d2-get-hit-unicode-64.csv,rxbvm,d2,get-hit,unicode,64,161751,10064,203151,20.186,10000,196395,19.64,3,4,1,2,12288,8192,0,0,0,8,51584,15872,21,4544,512,347,86056,16120
rxbvm-d2-get-miss-ascii-64.csv,rxbvm,d2,get-miss,ascii,64,141624,20064,324914,16.194,20000,315532,15.777,3,4,1,2,12288,8192,0,0,0,8,51584,15872,21,4544,512,347,86056,16120
rxbvm-d2-multi-tail-ascii-64.csv,rxbvm,d2,multi-tail,ascii,64,201627,20065,399773,19.924,20000,391188,19.559,3,4,1,3,28672,16384,0,0,0,8,51584,15872,21,4544,512,347,86056,16120
rxbvm-d2-reset-default-ascii-64.csv,rxbvm,d2,reset-default,ascii,64,281626,40064,883074,22.042,40000,878373,21.959,3,4,1,2,12288,8192,0,0,0,8,51584,15872,21,4544,512,347,86056,16120
rxbvm-d2-set-existing-ascii-64.csv,rxbvm,d2,set-existing,ascii,64,261623,20064,480750,23.961,20064,480750,23.961,3,4,1,2,12288,8192,0,0,0,8,51584,15872,21,4544,512,347,86056,16120
rxbvm-d2-set-new-ascii-64.csv,rxbvm,d2,set-new,ascii,64,221623,20064,4015142,200.117,20064,4015142,200.117,3,4,1,11,8384512,4194304,20000,640000,32,8,51584,15872,21,4544,512,347,86056,16120
