comparison,n,geometric_mean,membership
rxvm/oorexx,5,0.894593,Sieve;Permute;Bounce;Richards;Base64
rxvm/netrexx,5,0.331688,Sieve;Permute;Bounce;Richards;Base64
rxbvm/oorexx,5,0.835081,Sieve;Permute;Bounce;Richards;Base64
rxbvm/netrexx,5,0.309622,Sieve;Permute;Bounce;Richards;Base64
