-- Install configuration: "Debug"
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/share/crexx/messages
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/share/crexx/messages/diagnostics.en_GB.msg
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/share/crexx/messages/diagnostics.nl_NL.msg
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/share/crexx/messages/diagnostics.de_DE.msg
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/share/crexx/messages/diagnostics.en_US.msg
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/include/crexx_version.h
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/./VERSION
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/./BUILDINFO
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/bin/libcrexxsaa.dylib
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/include/crexxsaa.h
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/bin/crexxsaa
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/include/rxpa/crexxpa.h
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/include/platform/rxinteger.h
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/include/rxpa/crexx_version.h
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/bin/maclib.rexx
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/bin/macsys.rexx
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/bin/mathlib.rexx
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/bin/syslib.rexx
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/bin/rxpp-sh
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/bin/libcrexx-ggml-cpu.so
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/bin/libcrexx-ggml-metal.so
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/lib/libcrexx-ggml.0.23.0.dylib
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/lib/libcrexx-ggml.0.dylib
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/lib/libcrexx-ggml.dylib
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/include/ggml.h
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/include/ggml-cpu.h
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/include/ggml-alloc.h
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/include/ggml-backend.h
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/include/ggml-blas.h
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/include/ggml-cann.h
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/include/ggml-cpp.h
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/include/ggml-cuda.h
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/include/ggml-opt.h
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/include/ggml-metal.h
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/include/ggml-rpc.h
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/include/ggml-virtgpu.h
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/include/ggml-sycl.h
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/include/ggml-vulkan.h
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/include/ggml-webgpu.h
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/include/ggml-zendnn.h
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/include/ggml-openvino.h
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/include/gguf.h
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/lib/libcrexx-ggml-base.0.23.0.dylib
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/lib/libcrexx-ggml-base.0.dylib
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/lib/libcrexx-ggml-base.dylib
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/lib/cmake/ggml/ggml-config.cmake
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/lib/cmake/ggml/ggml-config-version.cmake
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/lib/libcrexx-llama-engine.0.4.0.dylib
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/lib/libcrexx-llama-engine.0.dylib
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/lib/libcrexx-llama-engine.dylib
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/include/llama.h
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/include/llama-cpp.h
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/lib/cmake/llama/llama-config.cmake
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/lib/cmake/llama/llama-config-version.cmake
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/lib/pkgconfig/llama.pc
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/share/crexx/rxconsole/README.md
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/bin/ui_catalog.rxbin
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/bin/ui_contract.rxbin
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/share/crexx/ui/contracts/catalogue.json
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/share/crexx/ui/contracts/README.md
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/share/crexx/ui/contracts/conformance.jsonl
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/share/crexx/ui/contracts/ui-contract.ts
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/share/crexx/ui/contracts/ui-contract.schema.json
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/share/crexx/ui/contracts/CATALOGUE.md
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/bin/ui_dialogs.rxbin
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/bin/ui_terminal_view.rxbin
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/bin/ui_local_resources.rxbin
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/bin/ui_ansi.rxbin
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/bin/ui.rxbin
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/bin/ui_tui.rxbin
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/share/crexx/ui/README.md
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/share/crexx/ui/TERMINAL.md
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/share/crexx/ui/EXTENDING.md
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/share/crexx/ui/rxpp/ui
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/share/crexx/ui/rxpp/ui/ui_launcher.rxpm
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/share/crexx/ui/rxpp/ui/ui_node.rxpm
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/share/crexx/ui/rxpp/ui/ui_command.rxpm
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/functions/array-formatting/arrayformatdemo.rxbin
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/exits/pprint/pprint_example.rxbin
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/ui/text-inspector/text_inspector.rxbin
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/ui/text-inspector/text_inspector_tui.rxbin
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/ui/text-inspector/text_inspector_ansi.rxbin
-- Up-to-date: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/hello.dSYM
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/hello.dSYM/Contents
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/hello.dSYM/Contents/Resources
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/hello.dSYM/Contents/Resources/Relocations
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/hello.dSYM/Contents/Resources/Relocations/aarch64
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/hello.dSYM/Contents/Resources/DWARF
-- Up-to-date: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/ui
-- Up-to-date: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/ui/text-inspector
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/ui/text-inspector/text_inspector_tui.rxpp
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/ui/text-inspector/text_inspector_ansi.rxpp
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/ui/text-inspector/text_inspector_gtk.rxpp
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/ui/text-inspector/test_text_inspector_tui.crexx
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/ui/text-inspector/test_host.crexx
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/ui/text-inspector/test_text_inspector_gtk.crexx
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/ui/text-inspector/README.md
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/ui/text-inspector/test_text_inspector_core.crexx
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/ui/text-inspector/text_inspector.rxpp
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/ui/text-inspector/fixtures
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/date1.crexx
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/stems_the_hidden_gems.crexx
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/rxqueue_named.crexx
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/time_sample.crexx
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/system.crexx
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/nthroot.crexx
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/sort.crexx
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/xref.crexx
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/classes
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/classes/global_object_keys.crexx
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/classes/README.md
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/plugins
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/plugins/README.md
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/userInteractions.crexx
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/lcm.crexx
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/metaRexx-sample-api.md
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/Service_registry.rxpp
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/anagram.crexx
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/sieveEratosthenes.crexx
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/classFactory.rxpp
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/README.md
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/caesar.crexx
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/exposeVars.crexx
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/strings1.crexx
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/stems.rxpp
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/ooBank.crexx
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/gausssqr.crexx
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/gcd.crexx
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/fibonacci.crexx
-- Installing: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/metaRexx-sample.crexx
-- Up-to-date: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/functions
-- Up-to-date: /tmp/crexx-s4-installed.NQTmfd/installed Ω/examples/functions/array-formatting
