round,workload,variant,order,elapsed_seconds
19,richards,locked_p1,2,0.055770874
19,richards,candidate,3,0.061332941
20,richards,pre_p1,1,0.051016808
20,richards,candidate,2,0.070540905
20,richards,locked_p1,3,0.072201014
21,richards,locked_p1,1,0.052752972
21,richards,pre_p1,2,0.051354170
21,richards,candidate,3,0.058326960
22,richards,locked_p1,1,0.056148052
22,richards,candidate,2,0.057656050
22,richards,pre_p1,3,0.060961008
23,richards,candidate,1,0.068474054
23,richards,pre_p1,2,0.058884144
23,richards,locked_p1,3,0.068388939
24,richards,candidate,1,0.065273046
24,richards,locked_p1,2,0.064461946
24,richards,pre_p1,3,0.061151981
25,richards,pre_p1,1,0.058425903
25,richards,locked_p1,2,0.053099871
25,richards,candidate,3,0.056180000
26,richards,pre_p1,1,0.058517933
26,richards,candidate,2,0.062452078
26,richards,locked_p1,3,0.062632084
27,richards,locked_p1,1,0.068107843
27,richards,pre_p1,2,0.066784859
27,richards,candidate,3,0.070641994
28,richards,locked_p1,1,0.059657097
28,richards,candidate,2,0.070526838
28,richards,pre_p1,3,0.055577040
29,richards,candidate,1,0.064644098
29,richards,pre_p1,2,0.054556131
29,richards,locked_p1,3,0.055729151
30,richards,candidate,1,0.063055038
30,richards,locked_p1,2,0.061680079
30,richards,pre_p1,3,0.050508022
1,towers,pre_p1,1,0.020046949
1,towers,locked_p1,2,0.020022869
1,towers,candidate,3,0.024223089
2,towers,pre_p1,1,0.019844055
2,towers,candidate,2,0.019589901
2,towers,locked_p1,3,0.019390106
3,towers,locked_p1,1,0.020040035
3,towers,pre_p1,2,0.019838095
3,towers,candidate,3,0.021214962
4,towers,locked_p1,1,0.019547939
4,towers,candidate,2,0.018649101
4,towers,pre_p1,3,0.019477129
5,towers,candidate,1,0.020063162
5,towers,pre_p1,2,0.024833918
5,towers,locked_p1,3,0.019848108
6,towers,candidate,1,0.018671036
6,towers,locked_p1,2,0.018519163
6,towers,pre_p1,3,0.020016193
7,towers,pre_p1,1,0.019668102
7,towers,locked_p1,2,0.019536972
7,towers,candidate,3,0.019031048
8,towers,pre_p1,1,0.018620968
8,towers,candidate,2,0.019060135
8,towers,locked_p1,3,0.021564007
9,towers,locked_p1,1,0.020096064
9,towers,pre_p1,2,0.021310091
9,towers,candidate,3,0.019375086
10,towers,locked_p1,1,0.022356033
10,towers,candidate,2,0.019570827
10,towers,pre_p1,3,0.025099993
11,towers,candidate,1,0.019692898
11,towers,pre_p1,2,0.019422054
11,towers,locked_p1,3,0.020145178
12,towers,candidate,1,0.019891977
12,towers,locked_p1,2,0.019500017
12,towers,pre_p1,3,0.019622087
13,towers,pre_p1,1,0.022914886
13,towers,locked_p1,2,0.018996954
13,towers,candidate,3,0.020188808
14,towers,pre_p1,1,0.018931150
14,towers,candidate,2,0.018665075
14,towers,locked_p1,3,0.020185947
15,towers,locked_p1,1,0.023414135
15,towers,pre_p1,2,0.019529104
15,towers,candidate,3,0.019616842
16,towers,locked_p1,1,0.018950939
16,towers,candidate,2,0.019060135
16,towers,pre_p1,3,0.019394159
17,towers,candidate,1,0.019248962
17,towers,pre_p1,2,0.020976067
17,towers,locked_p1,3,0.018962860
18,towers,candidate,1,0.019514799
18,towers,locked_p1,2,0.019015074
18,towers,pre_p1,3,0.020254850
19,towers,pre_p1,1,0.019967079
19,towers,locked_p1,2,0.019187927
19,towers,candidate,3,0.020141125
20,towers,pre_p1,1,0.020101070
20,towers,candidate,2,0.019598007
20,towers,locked_p1,3,0.021295071
21,towers,locked_p1,1,0.020931005
21,towers,pre_p1,2,0.020077944
21,towers,candidate,3,0.018902063
22,towers,locked_p1,1,0.019684076
22,towers,candidate,2,0.019753933
22,towers,pre_p1,3,0.019257069
23,towers,candidate,1,0.018973112
23,towers,pre_p1,2,0.019448996
23,towers,locked_p1,3,0.023962975
24,towers,candidate,1,0.019201040
24,towers,locked_p1,2,0.025305986
24,towers,pre_p1,3,0.018875122
25,towers,pre_p1,1,0.019123077
25,towers,locked_p1,2,0.019850969
25,towers,candidate,3,0.020204067
26,towers,pre_p1,1,0.023960114
26,towers,candidate,2,0.018844843
26,towers,locked_p1,3,0.020080090
27,towers,locked_p1,1,0.020165920
27,towers,pre_p1,2,0.019882202
27,towers,candidate,3,0.019538879
28,towers,locked_p1,1,0.019460917
28,towers,candidate,2,0.019018888
28,towers,pre_p1,3,0.020037889
29,towers,candidate,1,0.019657135
29,towers,pre_p1,2,0.019393921
29,towers,locked_p1,3,0.019534826
30,towers,candidate,1,0.019003153
30,towers,locked_p1,2,0.018859863
30,towers,pre_p1,3,0.019139051
