vm,round,variant,elapsed_ns,benchmark_metric
rxvm,01,baseline,8641484000,1158376
rxvm,01,candidate,8838524000,1132494
rxvm,02,baseline,9310431000,1075187
rxvm,02,candidate,9463543000,1057747
rxvm,03,baseline,9609077000,1041762
rxvm,03,candidate,10364489000,965729
rxvm,04,baseline,11047219000,906085
rxvm,04,candidate,10526694000,950926
rxvm,05,baseline,10701049000,935313
rxvm,05,candidate,11010649000,910549
rxvm,06,baseline,9347842000,1071285
rxvm,06,candidate,8653000000,1156942
rxbvm,01,baseline,9282794000,1078296
rxbvm,01,candidate,9494941000,1054186
rxbvm,02,baseline,9694099000,1032471
rxbvm,02,candidate,9466896000,1057337
rxbvm,03,baseline,11987200000,835000
rxbvm,03,candidate,11707554000,854913
rxbvm,04,baseline,11399969000,877954
rxbvm,04,candidate,11290508000,886452
rxbvm,05,baseline,12236523000,818007
rxbvm,05,candidate,11404229000,877695
rxbvm,06,baseline,9342257000,1071496
rxbvm,06,candidate,9313260000,1074761

