BCF,3
BPOFF,3
BPON,1
BR,32
BRF,60
BRT,7
BRTF,1
BRTPANDT,1
CALL,22
CALL1,4
CALL4,1
CNOP,2
CONCAT,77
COPY,1
DADD,3
DCOPY,7
DEQ,1
DGT,2
DLT,3
DMULT,2
DTOS,6
ENDLIFE,11
FADD,2
FCOPY,1
FDIV,5
FEQ,1
FGT,1
FSUB,1
FTOS,3
GETATTRS,3
IADD,1
ICOPY,3
IEQ,7
IGETUNLINK,1
IGT,5
IGTE,1
ILT,3
IMULT,2
INC,4
INE,14
ISUB,2
ITOF,3
ITOS,43
LOAD,194
METALINKPREG,3
MINLINKATTR1,3
NULL,46
NUMSCI,5
PARSEPOS2,1
PARSEWORDS3,5
PARSEWORDS3D,1
REQ,18
RET,14
RNE,8
SAY,26
SCONCAT,29
SCOPY,42
SEQ,3
SETOBJUNINIT,1
SETTP,24
SETTPCALL,26
SETTPSWAPCALL,42
SIGCALL,1
STEMGET,7
STEMRESET,1
STEMSET,4
STOD,10
STOF,2
STOI,2
SWAP,57
SWAPCALL,2
UNLINK,5
