benchmark,vm,mode,lifecycle,phase,sequence,elapsed_ns,platform,crexx_version
sieve,rxvm,opt,process,warmup,1,27057000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
sieve,rxvm,opt,process,warmup,2,24434000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
sieve,rxvm,opt,process,recorded,1,24273000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
sieve,rxvm,opt,process,recorded,2,23993000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
sieve,rxvm,opt,process,recorded,3,24259000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
sieve,rxvm,opt,process,recorded,4,24795000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
sieve,rxvm,opt,process,recorded,5,24611000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
sieve,rxvm,opt,process,recorded,6,24155000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
sieve,rxvm,opt,process,recorded,7,24209000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
sieve,rxvm,opt,process,recorded,8,24277000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
sieve,rxvm,opt,process,recorded,9,23945000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
sieve,rxvm,opt,process,recorded,10,24412000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
permute,rxvm,opt,process,warmup,1,97389000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
permute,rxvm,opt,process,warmup,2,97337000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
permute,rxvm,opt,process,recorded,1,100957000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
permute,rxvm,opt,process,recorded,2,106453000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
permute,rxvm,opt,process,recorded,3,147757000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
permute,rxvm,opt,process,recorded,4,122268000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
permute,rxvm,opt,process,recorded,5,105299000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
permute,rxvm,opt,process,recorded,6,96556000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
permute,rxvm,opt,process,recorded,7,97720000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
permute,rxvm,opt,process,recorded,8,96855000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
permute,rxvm,opt,process,recorded,9,98676000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
permute,rxvm,opt,process,recorded,10,98398000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
mandelbrot,rxvm,opt,process,warmup,1,186694000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
mandelbrot,rxvm,opt,process,warmup,2,186585000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
mandelbrot,rxvm,opt,process,recorded,1,186295000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
mandelbrot,rxvm,opt,process,recorded,2,185420000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
mandelbrot,rxvm,opt,process,recorded,3,187594000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
mandelbrot,rxvm,opt,process,recorded,4,186228000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
mandelbrot,rxvm,opt,process,recorded,5,185488000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
mandelbrot,rxvm,opt,process,recorded,6,187248000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
mandelbrot,rxvm,opt,process,recorded,7,186202000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
mandelbrot,rxvm,opt,process,recorded,8,185373000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
mandelbrot,rxvm,opt,process,recorded,9,187363000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
mandelbrot,rxvm,opt,process,recorded,10,209118000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
towers,rxvm,opt,process,warmup,1,904928000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
towers,rxvm,opt,process,warmup,2,747486000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
towers,rxvm,opt,process,recorded,1,703376000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
towers,rxvm,opt,process,recorded,2,700822000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
towers,rxvm,opt,process,recorded,3,697873000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
towers,rxvm,opt,process,recorded,4,699496000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
towers,rxvm,opt,process,recorded,5,700469000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
towers,rxvm,opt,process,recorded,6,697137000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
towers,rxvm,opt,process,recorded,7,696105000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
towers,rxvm,opt,process,recorded,8,694024000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
towers,rxvm,opt,process,recorded,9,698556000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
towers,rxvm,opt,process,recorded,10,700670000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
rexxcps,rxvm,opt,process,warmup,1,11599580000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
rexxcps,rxvm,opt,process,warmup,2,11552583000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
rexxcps,rxvm,opt,process,recorded,1,11593419000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
rexxcps,rxvm,opt,process,recorded,2,11665549000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
rexxcps,rxvm,opt,process,recorded,3,11604538000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
rexxcps,rxvm,opt,process,recorded,4,11726325000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
rexxcps,rxvm,opt,process,recorded,5,11596611000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
rexxcps,rxvm,opt,process,recorded,6,11718003000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
