# PERF3-01 current-product Apple formal/profile artifact inventory.
# role|runtime|workload|form|path
crexx-artifact-inventory|1
product|crexx|toolchain|compiler|/private/tmp/crexx-perf3-01.jetu7C/build-release/bin/rxc
product|crexx|toolchain|assembler|/private/tmp/crexx-perf3-01.jetu7C/build-release/bin/rxas
product|crexx|toolchain|linker|/private/tmp/crexx-perf3-01.jetu7C/build-release/bin/rxlink
product|crexx|runtime|threaded-executable|/private/tmp/crexx-perf3-01.jetu7C/build-release/bin/rxvm
product|crexx|runtime|bytecode-executable|/private/tmp/crexx-perf3-01.jetu7C/build-release/bin/rxbvm
product|crexx|library|linked-rxbin|/private/tmp/crexx-perf3-01.jetu7C/build-release/bin/library.rxbin
build|crexx|toolchain|cmake-cache|/private/tmp/crexx-perf3-01.jetu7C/build-release/CMakeCache.txt
tool|crexx|PERF3-01|matrix-driver|performance/tools/run_cross_runtime_matrix.crexx
tool|crexx|PERF3-01|lifecycle-driver|performance/tools/run_lifecycle.crexx
tool|crexx|PERF3-01|artifact-inventory|performance/tools/inventory_performance_artifacts.crexx
benchmark|crexx|Sieve|source|tests/benchmarks/awfy_sieve.crexx
benchmark|crexx|Sieve|rxas|/private/tmp/crexx-perf3-01.jetu7C/build-release/tests/benchmarks/benchmark_awfy_sieve_opt.rxas
benchmark|crexx|Sieve|rxbin|/private/tmp/crexx-perf3-01.jetu7C/build-release/tests/benchmarks/benchmark_awfy_sieve_opt.rxbin
benchmark|crexx|Permute|source|tests/benchmarks/awfy_permute.crexx
benchmark|crexx|Permute|rxas|/private/tmp/crexx-perf3-01.jetu7C/build-release/tests/benchmarks/benchmark_awfy_permute_opt.rxas
benchmark|crexx|Permute|rxbin|/private/tmp/crexx-perf3-01.jetu7C/build-release/tests/benchmarks/benchmark_awfy_permute_opt.rxbin
benchmark|crexx|Bounce|source|tests/benchmarks/awfy_bounce.crexx
benchmark|crexx|Bounce|rxas|/private/tmp/crexx-perf3-01.jetu7C/build-release/tests/benchmarks/benchmark_awfy_bounce_opt.rxas
benchmark|crexx|Bounce|rxbin|/private/tmp/crexx-perf3-01.jetu7C/build-release/tests/benchmarks/benchmark_awfy_bounce_opt.rxbin
benchmark|crexx|Richards|source|tests/benchmarks/awfy_richards.crexx
benchmark|crexx|Richards|rxas|/private/tmp/crexx-perf3-01.jetu7C/build-release/tests/benchmarks/benchmark_awfy_richards_opt.rxas
benchmark|crexx|Richards|rxbin|/private/tmp/crexx-perf3-01.jetu7C/build-release/tests/benchmarks/benchmark_awfy_richards_opt.rxbin
benchmark|crexx|Base64|source|tests/benchmarks/base64_roundtrip.crexx
benchmark|crexx|Base64|rxas|/private/tmp/crexx-perf3-01.jetu7C/build-release/tests/benchmarks/benchmark_base64_roundtrip_opt.rxas
benchmark|crexx|Base64|rxbin|/private/tmp/crexx-perf3-01.jetu7C/build-release/tests/benchmarks/benchmark_base64_roundtrip_opt.rxbin
benchmark|crexx|Towers|source|tests/benchmarks/awfy_towers.crexx
benchmark|crexx|Towers|rxas|/private/tmp/crexx-perf3-01.jetu7C/build-release/tests/benchmarks/benchmark_awfy_towers_opt.rxas
benchmark|crexx|Towers|rxbin|/private/tmp/crexx-perf3-01.jetu7C/build-release/tests/benchmarks/benchmark_awfy_towers_opt.rxbin
benchmark|crexx|RexxCPS|source|tests/benchmarks/rexxcps_levelb.crexx
benchmark|crexx|RexxCPS|rxas|/private/tmp/crexx-perf3-01.jetu7C/build-release/tests/benchmarks/benchmark_rexxcps_levelb_opt.rxas
benchmark|crexx|RexxCPS|rxbin|/private/tmp/crexx-perf3-01.jetu7C/build-release/tests/benchmarks/benchmark_rexxcps_levelb_opt.rxbin
benchmark|oorexx|Sieve|source|tests/benchmarks/cross-runtime/classic/awfy_sieve.rex
benchmark|oorexx|Permute|source|tests/benchmarks/cross-runtime/classic/awfy_permute.rex
benchmark|oorexx|Bounce|source|tests/benchmarks/cross-runtime/oorexx/awfy_bounce.rex
benchmark|oorexx|Richards|source|tests/benchmarks/cross-runtime/oorexx/awfy_richards.rex
benchmark|oorexx|Base64|source|tests/benchmarks/cross-runtime/oorexx/base64_roundtrip.rex
benchmark|oorexx|Towers|source|tests/benchmarks/cross-runtime/classic/awfy_towers.rex
benchmark|oorexx|RexxCPS|source|tests/benchmarks/cross-runtime/rexxcps/rexxcps_2_2.rex
benchmark|netrexx|Sieve|source|tests/benchmarks/cross-runtime/netrexx/awfy_sieve.nrx
generated|netrexx|Sieve|java|performance/evidence/2026-07-27-perf2-09-mac-closure/generated/netrexx/awfy_sieve.java
generated|netrexx|Sieve|class|performance/evidence/2026-07-27-perf2-09-mac-closure/generated/netrexx/awfy_sieve.class
benchmark|netrexx|Permute|source|tests/benchmarks/cross-runtime/netrexx/awfy_permute.nrx
generated|netrexx|Permute|java|performance/evidence/2026-07-27-perf2-09-mac-closure/generated/netrexx/awfy_permute.java
generated|netrexx|Permute|class|performance/evidence/2026-07-27-perf2-09-mac-closure/generated/netrexx/awfy_permute.class
generated|netrexx|Permute|class|performance/evidence/2026-07-27-perf2-09-mac-closure/generated/netrexx/PermuteBenchmark.class
benchmark|netrexx|Bounce|source|tests/benchmarks/cross-runtime/netrexx/awfy_bounce.nrx
generated|netrexx|Bounce|java|performance/evidence/2026-07-27-perf2-09-mac-closure/generated/netrexx/awfy_bounce.java
generated|netrexx|Bounce|class|performance/evidence/2026-07-27-perf2-09-mac-closure/generated/netrexx/awfy_bounce.class
generated|netrexx|Bounce|class|performance/evidence/2026-07-27-perf2-09-mac-closure/generated/netrexx/BounceBenchmark.class
generated|netrexx|Bounce|class|performance/evidence/2026-07-27-perf2-09-mac-closure/generated/netrexx/BounceBall.class
generated|netrexx|Bounce|class|performance/evidence/2026-07-27-perf2-09-mac-closure/generated/netrexx/BounceRandom.class
benchmark|netrexx|Richards|source|tests/benchmarks/cross-runtime/netrexx/awfy_richards.nrx
generated|netrexx|Richards|java|performance/evidence/2026-07-27-perf2-09-mac-closure/generated/netrexx/awfy_richards.java
generated|netrexx|Richards|class|performance/evidence/2026-07-27-perf2-09-mac-closure/generated/netrexx/awfy_richards.class
generated|netrexx|Richards|class|performance/evidence/2026-07-27-perf2-09-mac-closure/generated/netrexx/RichardsScheduler.class
