artifact,perf2_size_bytes,current_size_bytes,perf2_sha256,current_sha256,status,ranking_use
rxc,2802496,2819424,2f74aed9ec33f52d7f39df38eff04c8c1cb5269497bbebb354d3e900b8a2a701,b00a0b25be7aa4b58d9c148270f7d5816dd7ddce539300ee9db1351b49df550e,diff,current rebuild required
rxas,579736,579944,689de0b669248735e5d9b00627d0c9a95a98cc05cf5b86e94e601064dfc331d9,da63e02e7f4ea82aa7f3cf7f72fae58b67652379985a15dbf8481eb7dcaee422,diff,current rebuild required
rxlink,145416,145416,f3c16ac1df12424922ff392bab90f4be0cbbae2b9892b52de09e7c3d8b0703ac,b48afd64881cea30553660e58ecb4dd39ccf4420ff8240216eb6cbb8b3dd8ffb,diff,current rebuild required
rxvm,998904,998840,931c75e18530c4c4f80f578f64599e7cc8e31aaad76a272ec4b618853fa662ad,8330e6c4818b809291f1f9bce88d0aeb0513671a13a713736e5d8cea8fbaf13e,diff,current timing required
rxbvm,999064,999016,62efe6a725ad7b2a544d92611e021d11757b89635db3075a750838c41b4ebf24,4563326c3f295fc91f49a7c71d1e13f9e66ecd86c243b60afb783745f5ee6931,diff,current timing required
library.rxbin,862512,935917,61984fd0a7f73736e6482a7f012bdbe2cc0ecc36cc6656f397e69df64a1a4c76,66cc67b42886ead14c79c3740d78cf14e73ac4fba69a88a3814fcb78ff0ca3bb,diff,current timing required
sieve.rxas,9774,9774,966809207608512d0fe16771b9086baa36ff4754cee2ea5252fc8881bd498358,966809207608512d0fe16771b9086baa36ff4754cee2ea5252fc8881bd498358,match,retained mechanism prior valid
sieve.rxbin,4864,4900,75d264a9acb4f17aab6c85e1a2991904580950ec6cd4da1c235d1010319e4f7f,204e4e3bfd0542cc75235cf42e1604f139b13c0e936660fbb74c107e6a81bc5f,diff,current timing required
permute.rxas,29684,29684,cf203b7484dec623bee0e263f6748a6b6a9160832714df245c1097d00779182d,cf203b7484dec623bee0e263f6748a6b6a9160832714df245c1097d00779182d,match,retained mechanism prior valid
permute.rxbin,11773,11810,c1aa378b3dad522a6c9a4c35395da762cc89d870e4f36e920d22bbab7fac83e2,714cd35e4c4353d3d5d6beba170c9437b71d398c21c5f78381092b657d1e5ed0,diff,current timing required
bounce.rxas,45362,45362,18682cbb57d7d2933f7963fb8da6a5359838950231fe3f5e389967c770631a2e,18682cbb57d7d2933f7963fb8da6a5359838950231fe3f5e389967c770631a2e,match,retained mechanism prior valid
bounce.rxbin,17175,17167,7510f0b3857f0f87fcda024e63ae49472888cd1f4e6daf968940b986dffb0aee,ded1ae2832085f61f3ac90e4100a1e35041284642a899ab8f931389bbb552554,diff,current timing required
richards.rxas,255035,255035,ec61aa8cb044312675502c0ce2a46d4f131e0640bae6188d5db007bfb8731673,ec61aa8cb044312675502c0ce2a46d4f131e0640bae6188d5db007bfb8731673,match,retained native attribution valid prior
richards.rxbin,78742,78734,12abbbbc694081387774c58bc9fd7b875ac1bee86a94b5e763f8fb6735f658cf,f38cd5cea7a9a7d838e78de5933e6d156e72767d5c6a1da6b730b23ee7bcf03e,diff,current timing required
base64.rxas,114978,114864,cf9226da09bf9b86c59c6fce0bbb61f5a4063cdd92e0dab69d4694d9e29a6a6d,c475404bd8da8cdb59f41965d790cea45d0bc12f9a819917303cc5435c7c211c,diff,current profile and timing required
base64.rxbin,38233,38237,43f98f3ea06826881c71970c8447954f4a1e84efe4ffbd53649b2893cc0e0464,f0d86b2a1da359f6e15b2f1f7c7d6b392d7ed74b5dd99ef364bd5c4e4f02c3d6,diff,current profile and timing required
towers.rxas,81065,81065,e78bc406672af9c3fc7f9434ad9a4790d9fd12fe0df2852d05696fd2fffcadba,e78bc406672af9c3fc7f9434ad9a4790d9fd12fe0df2852d05696fd2fffcadba,match,retained native attribution valid prior
towers.rxbin,28647,28686,cb2cee7f07369b89da8c2771cdab553710c5cbdade9d1e35f0aa5e2d47b72e2b,62f0596b0f928bb4bec7187b77ee69057c896804294530c1d940a7f09c642ff8,diff,current timing required
rexxcps.rxas,195576,195576,815b277269430de5b011d32f8fb4e113358e1be75467b3a01be3909a7e05ae51,21cbf997e69353de78136d85cb9300f70d598a093bf657528fbce24336234b84,diff,current profile and timing required
rexxcps.rxbin,68446,68473,208874392b8f4b41b5627f7e6ddb97a5d79ad6c586d4ab1b8a0d3b3bd6a136c2,d85192dab1d74e54a71029f530992396b8f073b75624a10e4eac85dc96a4d1c7,diff,current profile and timing required
matrix-driver,30844,32665,77cfd1d1b4532b545d19f8313ac74567211834ca4fd7e2537a493c8f40bbceab,efb194ec8194bfed5c26bd2fd98fb225f219c16a29fd710e9428fd331dc2a06c,diff,current self-test required and passed
retained-formal-manifest,8765,8765,aa15f57692845d7d823886b8a4899b87488b3620c8b575034e20da049658e931,aa15f57692845d7d823886b8a4899b87488b3620c8b575034e20da049658e931,match,workload and comparator contract retained
