rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,7538003,77,1,3,candidate,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ENDLIFE_REG(r3)","r1=R7;r2=R6;r3=R28","benchmark_base64_roundtrip_opt",361
2,3425000,30,1,3,candidate,"NULL_REG(r1) | NULL_REG(r2) | NULL_REG(r3)","r1=R9;r2=R10;r3=R12","benchmark_base64_roundtrip_opt",801
3,685000,6,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | IEQ_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2)","c1=label@928;r1=R21;r2=R22;r3=R18;c2=int:0;c3=label@899","benchmark_base64_roundtrip_opt",885
4,685000,6,1,6,over_3_symbols,"IGT_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | IEQ_REG_REG_INT(r3,r4,c1)","r1=R21;r2=R10;c1=int:0;c2=label@928;r3=R22;r4=R18","benchmark_base64_roundtrip_opt",881
5,685000,6,1,7,over_3_symbols,"ISUB_REG_REG_INT(r1,r2,c1) | ISUB_REG_REG_REG(r3,r4,r1) | BGE_ID_REG_INT(c2,r3,c3)","r1=R18;r2=R17;c1=int:1;r3=R9;r4=R20;c2=label@871;c3=int:0","benchmark_base64_roundtrip_opt",856
6,685000,6,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_STRING(r2,c2) | ILT_REG_REG_INT(r3,r4,c3)","r1=R13;c1=int:0;r2=R16;c2=string@288;r3=R21;r4=R17;c3=int:1","benchmark_base64_roundtrip_opt",824
7,685000,6,1,6,over_3_symbols,"LOAD_REG_STRING(r1,c1) | ILT_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2)","r1=R16;c1=string@288;r2=R21;r3=R17;c2=int:1;c3=label@840","benchmark_base64_roundtrip_opt",827
8,685000,6,1,6,over_3_symbols,"LOAD_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_STRING(r3,c3)","r1=R11;c1=string@50384;r2=R13;c2=int:0;r3=R16;c3=string@288","benchmark_base64_roundtrip_opt",821
9,685000,6,1,4,over_3_symbols,"NULL_REG(r1) | NULL_REG(r2) | SCOPY_REG_REG(r3,r4)","r1=R18;r2=R20;r3=R19;r4=R41","benchmark_base64_roundtrip_opt",811
10,685000,6,1,6,over_3_symbols,"SETSTRPOS_REG_REG(r1,r2) | SUBSTRING_REG_REG_REG(r3,r1,r4) | ISUB_REG_INT_REG(r5,c1,r4)","r1=R19;r2=R18;r3=R16;r4=R10;r5=R15;c1=int:1","benchmark_base64_roundtrip_opt",921
11,685000,6,1,5,over_3_symbols,"STRLEN_REG_REG(r1,r2) | INE_REG_REG_INT(r3,r1,c1) | BRF_ID_REG(c2,r3)","r1=R14;r2=R11;r3=R21;c1=int:1;c2=label@853","benchmark_base64_roundtrip_opt",840
12,685000,6,1,6,over_3_symbols,"STRLEN_REG_REG(r1,r2) | ISUB_REG_REG_INT(r3,r4,c1) | ISUB_REG_REG_REG(r5,r1,r3)","r1=R20;r2=R19;r3=R18;r4=R17;c1=int:1;r5=R9","benchmark_base64_roundtrip_opt",853
13,685000,6,1,7,over_3_symbols,"SUBSTRING_REG_REG_REG(r1,r2,r3) | ISUB_REG_INT_REG(r4,c1,r3) | BLE_ID_REG_INT(c2,r4,c3)","r1=R16;r2=R19;r3=R10;r4=R15;c1=int:1;c2=label@944;c3=int:0","benchmark_base64_roundtrip_opt",924
14,684000,4,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | SCOPY_REG_REG(r3,r4)","r1=R34;r2=R35;r3=R16;r4=R38","benchmark_base64_roundtrip_opt",1376
15,683000,4,1,5,over_3_symbols,"BRT_ID_REG(c1,r1) | SEQ_REG_REG_STRING(r1,r2,c2) | BRF_ID_REG(c3,r1)","c1=label@1402;r1=R34;r2=R36;c2=string@288;c3=label@1413","benchmark_base64_roundtrip_opt",1395
16,683000,4,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ICOPY_REG_REG(r3,r4)","r1=R16;r2=R15;r3=R21;r4=R38","benchmark_base64_roundtrip_opt",1452
17,683000,4,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ISUB_REG_REG_INT(r3,r4,c1)","r1=R36;r2=R35;r3=R15;r4=R34;c1=int:1","benchmark_base64_roundtrip_opt",1427
18,683000,4,1,6,over_3_symbols,"ENDLIFE_REG(r1) | ISUB_REG_REG_INT(r2,r3,c1) | BGE_ID_REG_INT(c2,r2,c3)","r1=R35;r2=R15;r3=R34;c1=int:1;c2=label@1447;c3=int:0","benchmark_base64_roundtrip_opt",1429
19,683000,4,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | STRPOS_REG_REG_REG(r1,r2,r3) | ICOPY_REG_REG(r4,r1)","r1=R38;c1=int:1;r2=R35;r3=R36;r4=R34","benchmark_base64_roundtrip_opt",1413
20,683000,4,1,6,over_3_symbols,"LOAD_REG_STRING(r1,c1) | SEQ_REG_REG_STRING(r2,r3,c2) | BRT_ID_REG(c3,r2)","r1=R36;c1=string@46864;r2=R34;r3=R35;c2=string@288;c3=label@1402","benchmark_base64_roundtrip_opt",1388
21,683000,4,1,5,over_3_symbols,"NULL_REG(r1) | SCOPY_REG_REG(r2,r3) | LOAD_REG_STRING(r4,c1)","r1=R38;r2=R35;r3=R16;r4=R36;c1=string@46864","benchmark_base64_roundtrip_opt",1383
22,683000,4,1,6,over_3_symbols,"SCOPY_REG_REG(r1,r2) | LOAD_REG_STRING(r3,c1) | SEQ_REG_REG_STRING(r4,r1,c2)","r1=R35;r2=R16;r3=R36;c1=string@46864;r4=R34;c2=string@288","benchmark_base64_roundtrip_opt",1385
23,683000,4,1,5,over_3_symbols,"SEQ_REG_REG_STRING(r1,r2,c1) | BRT_ID_REG(c2,r1) | SEQ_REG_REG_STRING(r1,r3,c1)","r1=R34;r2=R35;c1=string@288;c2=label@1402;r3=R36","benchmark_base64_roundtrip_opt",1391
24,683000,4,1,5,over_3_symbols,"STRPOS_REG_REG_REG(r1,r2,r3) | ICOPY_REG_REG(r4,r1) | BR_ID(c1)","r1=R38;r2=R35;r3=R36;r4=R34;c1=label@1425","benchmark_base64_roundtrip_opt",1416
25,513000,3,1,7,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LOAD_REG_STRING(r3,c2) | LOAD_REG_INT(r4,c3)","r1=R15;r2=R2;c1=int:1;r3=R33;c2=string@50384;r4=R31;c3=int:0","benchmark_base64_roundtrip_opt",1476
26,513000,3,1,6,over_3_symbols,"NULL_REG(r1) | SCOPY_REG_REG(r2,r3) | IADD_REG_REG_INT(r4,r5,c1)","r1=R12;r2=R13;r3=R41;r4=R15;r5=R2;c1=int:1","benchmark_base64_roundtrip_opt",1471
27,513000,3,1,7,over_3_symbols,"SCOPY_REG_REG(r1,r2) | IADD_REG_REG_INT(r3,r4,c1) | LOAD_REG_STRING(r5,c2)","r1=R13;r2=R41;r3=R15;r4=R2;c1=int:1;r5=R33;c2=string@50384","benchmark_base64_roundtrip_opt",1473
28,512000,3,1,7,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | BGETU8_REG_REG_REG(r3,r4,r5) | BSETU8_REG_REG_REG(r6,r1,r3)","r1=R36;r2=R20;c1=int:1;r3=R35;r4=R15;r5=R30;r6=R21","benchmark_base64_roundtrip_opt",275
29,512000,3,1,5,over_3_symbols,"IADD_REG_REG_REG(r1,r1,r2) | BSETU8_REG_REG_REG(r3,r4,r1) | IADD_REG_REG_INT(r4,r4,c1)","r1=R39;r2=R38;r3=R6;r4=R4;c1=int:1","benchmark_base64_roundtrip_opt",2249
