workload,runtime,variant,lifecycle,phase,sequence,elapsed_ns,exit_code,correctness,benchmark_metric,benchmark_unit
richards,oorexx,state-machine-port,process,warmup,1,102098000,0,pass,,
richards,oorexx,state-machine-port,process,recorded,1,101951000,0,pass,,
richards,oorexx,state-machine-port,process,recorded,2,103895000,0,pass,,
richards,oorexx,state-machine-port,process,recorded,3,157726000,0,pass,,
