rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,1155000,5,1,7,candidate,"PARSEWORDS3_REG_REG_REG_REG(r1,r2,r3,r4) | SCOPY_REG_REG(r5,r1) | SCOPY_REG_REG(r6,r2) | SCOPY_REG_REG(r7,r3)","r1=R11;r2=R5;r3=R42;r4=R47;r5=R52;r6=R40;r7=R56","benchmark_rexxcps_levelb_opt",1328
2,1155000,5,1,7,candidate,"SCOPY_REG_REG(r1,r2) | PARSEWORDS3_REG_REG_REG_REG(r3,r4,r5,r1) | SCOPY_REG_REG(r6,r3) | SCOPY_REG_REG(r7,r4)","r1=R47;r2=R60;r3=R11;r4=R5;r5=R42;r6=R52;r7=R40","benchmark_rexxcps_levelb_opt",1325
3,924004,5,3,5,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | LOAD_REG_INT(r3,c1) | LOAD_REG_INT(r4,c1)","r1=R77;c1=int:0;r2=R79;r3=R72;r4=R74","benchmark_rexxcps_levelb_opt",884
4,924000,2,1,5,candidate,"CONCAT_REG_STRING_REG(r1,c1,r2) | STEMGET_REG_REG_REG(r3,r4,r1) | SCOPY_REG_REG(r1,r3) | STOD_REG(r1)","r1=R79;c1=string@34184;r2=R51;r3=R76;r4=R4","benchmark_rexxcps_levelb_opt",664
5,924000,2,1,5,candidate,"ITOS_REG(r1) | CONCAT_REG_STRING_REG(r2,c1,r1) | STEMGET_REG_REG_REG(r3,r4,r2) | SCOPY_REG_REG(r2,r3)","r1=R51;r2=R79;c1=string@34184;r3=R76;r4=R4","benchmark_rexxcps_levelb_opt",662
6,924000,4,1,7,candidate,"LOAD_REG_STRING(r1,c1) | SCOPY_REG_REG(r2,r1) | PARSEWORDS3_REG_REG_REG_REG(r3,r4,r5,r2) | SCOPY_REG_REG(r6,r3)","r1=R60;c1=string@77664;r2=R47;r3=R11;r4=R5;r5=R42;r6=R52","benchmark_rexxcps_levelb_opt",1322
7,924000,1,1,5,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LOAD_REG_STRING(r1,c3) | STRUPPER_REG_REG(r1,r2) | RET_REG(r1)","c1=int:18;c2=int:1;r1=R0;c3=string@28856;r2=R3","upper",0
8,693400,3,2,7,candidate,"IGT_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | IEQ_REG_REG_INT(r3,r4,c1) | BRF_ID_REG(c3,r3)","r1=R80;r2=R70;c1=int:0;c2=label@602;r3=R81;r4=R77;c3=label@573","benchmark_rexxcps_levelb_opt",555
9,693400,3,2,8,candidate,"SETSTRPOS_REG_REG(r1,r2) | SUBSTRING_REG_REG_REG(r3,r1,r4) | ISUB_REG_INT_REG(r5,c1,r4) | BLE_ID_REG_INT(c2,r5,c3)","r1=R78;r2=R77;r3=R76;r4=R70;r5=R75;c1=int:2;c2=label@618;c3=int:0","benchmark_rexxcps_levelb_opt",595
10,693000,2,1,8,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_STRING(r2,c2) | STRLEN_REG_REG(r3,r4) | INE_REG_REG_INT(r5,r3,c3)","r1=R73;c1=int:0;r2=R76;c2=string@464;r3=R74;r4=R71;r5=R80;c3=int:1","benchmark_rexxcps_levelb_opt",509
11,693000,2,1,7,candidate,"LOAD_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_STRING(r3,c3) | STRLEN_REG_REG(r4,r1)","r1=R71;c1=string@36648;r2=R73;c2=int:0;r3=R76;c3=string@464;r4=R74","benchmark_rexxcps_levelb_opt",506
12,693000,2,1,8,candidate,"LOAD_REG_STRING(r1,c1) | LOAD_REG_STRING(r2,c2) | LOAD_REG_INT(r3,c3) | LOAD_REG_STRING(r4,c4)","r1=R78;c1=string@36328;r2=R71;c2=string@36648;r3=R73;c3=int:0;r4=R76;c4=string@464","benchmark_rexxcps_levelb_opt",503
13,693000,2,1,7,candidate,"LOAD_REG_STRING(r1,c1) | STRLEN_REG_REG(r2,r3) | INE_REG_REG_INT(r4,r2,c2) | BRF_ID_REG(c3,r4)","r1=R76;c1=string@464;r2=R74;r3=R71;r4=R80;c2=int:1;c3=label@528","benchmark_rexxcps_levelb_opt",512
14,693000,2,1,9,candidate,"NULLN_REG_REG_REG(r1,r2,r3) | LOAD_REG_STRING(r4,c1) | LOAD_REG_STRING(r5,c2) | LOAD_REG_INT(r6,c3)","r1=R75;r2=R77;r3=R79;r4=R78;c1=string@36328;r5=R71;c2=string@36648;r6=R73;c3=int:0","benchmark_rexxcps_levelb_opt",499
15,693000,2,1,11,candidate,"NULLN_REG_REG_REG_REG(r1,r2,r3,r4) | NULLN_REG_REG_REG(r5,r6,r7) | LOAD_REG_STRING(r8,c1) | LOAD_REG_STRING(r9,c2)","r1=R69;r2=R70;r3=R72;r4=R74;r5=R75;r6=R77;r7=R79;r8=R78;c1=string@36328;r9=R71;c2=string@36648","benchmark_rexxcps_levelb_opt",494
16,693000,3,1,8,candidate,"SCOPY_REG_REG(r1,r2) | LOAD_REG_STRING(r3,c1) | SCOPY_REG_REG(r4,r3) | PARSEWORDS3_REG_REG_REG_REG(r5,r6,r7,r4)","r1=R56;r2=R42;r3=R60;c1=string@80088;r4=R48;r5=R10;r6=R3;r7=R43","benchmark_rexxcps_levelb_opt",1339
17,693000,3,1,7,candidate,"SCOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4) | LOAD_REG_STRING(r5,c1) | SCOPY_REG_REG(r6,r5)","r1=R40;r2=R5;r3=R56;r4=R42;r5=R60;c1=string@80088;r6=R48","benchmark_rexxcps_levelb_opt",1336
18,693000,3,1,8,candidate,"SCOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4) | SCOPY_REG_REG(r5,r6) | LOAD_REG_STRING(r7,c1)","r1=R52;r2=R11;r3=R40;r4=R5;r5=R56;r6=R42;r7=R60;c1=string@80088","benchmark_rexxcps_levelb_opt",1333
