WAVE: project compile/assemble jobs=48
START: project member provider_catalog
START: project member industrial_provider
START: project member ragconfigfile
START: project member ragprofile
START: project member ragregistry
START: project member ragfile
START: project member codex_provider
START: project member ragstore
START: project member ragmodel
START: project member crexxrag_cli
START: project member provider_http
START: project member ragbackup
START: project member ragjob
START: project member ragclaims
START: project member ragtrace
START: project member ragschema
START: project member ragprofilefile
START: project member ragmaintain
BUILT: project member ragclaims
BUILT: project member ragjob
BUILT: project member ragbackup
START: project member ragproviderdiagnostics
BUILT: project member ragtrace
BUILT: project member ragschema
BUILT: project member ragprofilefile
START: project member ragfolder
START: project member ragconfig
START: project member provider_contract
START: project member ragconfiguration
START: project member ragevidence
START: project member ragplanning
START: project member ragimprove
START: project member ragcommand
START: project member ragingest
START: project member ragrepository
START: project member ragglossary
START: project member ragcanonical
START: project member it_architecture_profile
START: project member architecture_local_config
BUILT: project member ragproviderdiagnostics
BUILT: project member provider_catalog
START: project member ragquery
BUILT: project member ragmaintain
BUILT: project member ragmodel
START: project member ragfoundation
BUILT: project member provider_http
START: project member ragembedding
BUILT: project member it_architecture_profile
BUILT: project member ragrepository
BUILT: project member ragfolder
BUILT: project member ragplanning
BUILT: project member ragevidence
BUILT: project member provider_contract
BUILT: project member ragconfig
START: project member ragprocess
BUILT: project member ragregistry
BUILT: project member architecture_local_config
BUILT: project member ragglossary
START: project member ragquerypolicy
BUILT: project member ragquerypolicy
BUILT: project member ragingest
BUILT: project member ragstore
BUILT: project member ragfile
BUILT: project member industrial_provider
BUILT: project member ragprofile
START: project member ragwork
BUILT: project member crexxrag_cli
BUILT: project member codex_provider
BUILT: project member ragconfiguration
BUILT: project member ragimprove
START: project member ragevidencejson
START: project member ragretrieval
START: project member ragproposalio
START: project member ragproduct
START: project member ragapplicationprovider
BUILT: project member ragcommand
BUILT: project member ragconfigfile
START: project member generic_profile
START: project member ragqueryprovider
BUILT: project member ragqueryprovider
START: project member operator_registry
BUILT: project member ragquery
BUILT: project member ragcanonical
BUILT: project member ragfoundation
START: project member ragmcp
BUILT: project member ragretrieval
BUILT: project member ragapplicationprovider
BUILT: project member generic_profile
BUILT: project member ragprocess
BUILT: project member ragevidencejson
BUILT: project member ragwork
BUILT: project member ragembedding
BUILT: project member operator_registry
BUILT: project member ragproposalio
BUILT: project member ragproduct
BUILT: project member ragmcp
BARRIER: link program
PUBLISHED: program /Users/adrian/CLionProjects/crexx-scaling-20260906.1lT795/wave-qualified/crexxrag-project.rxbin
