comparison,n,geometric_mean,membership
rxvm/oorexx,5,2.264305,Sieve;Permute;Bounce;Richards;Base64
rxvm/netrexx,5,0.703810,Sieve;Permute;Bounce;Richards;Base64
rxbvm/oorexx,5,2.198584,Sieve;Permute;Bounce;Richards;Base64
rxbvm/netrexx,5,0.683381,Sieve;Permute;Bounce;Richards;Base64
