variant,rxas_sha256,rxbin_sha256,rxbin_bytes,vm_instructions,trace_events
control,92490ade9c54309379cd044173c5ac0572140b8d7b4df89ddb0ce8a359e77257,aea3ab6e403209e6b9d832fa830eae15309df903b51c9e0943297b04be309e19,68609,1222,1249
candidate,d6ab5fe9d9ff46123b8d3a8d342cc99e842b6a2a7da7e330ef113b5924fa40ce,94a2a0dc8e78d2f32a94388a50fbc97138090880a736fd3a30e18d9dbdb97bcd,68601,1221,1248
