compiler,engine,panel,workload,metric,candidate_cell,control_cell,candidate_median,control_median,throughput_ratio,throughput_delta_percent,guard_3pct
gcc,rxtvm,profile-5,Sieve,elapsed_ns,sieve-rxtvm-gcc-r5-profile-5,sieve-rxtvm-gcc-r5-all-inline,1198163000.000000,1247536000.000000,1.041207248096,4.120725,no
gcc,rxtvm,profile-5,Permute,elapsed_ns,permute-rxtvm-gcc-r5-profile-5,permute-rxtvm-gcc-r5-all-inline,2977472500.000000,2289757500.000000,0.769027253820,-23.097275,yes
gcc,rxtvm,profile-5,Bounce,elapsed_ns,bounce-rxtvm-gcc-r5-profile-5,bounce-rxtvm-gcc-r5-all-inline,1881364500.000000,1254759000.000000,0.666940935688,-33.305906,yes
gcc,rxtvm,profile-5,Richards,elapsed_ns,richards-rxtvm-gcc-r5-profile-5,richards-rxtvm-gcc-r5-all-inline,2318163500.000000,2130024500.000000,0.918841358688,-8.115864,yes
gcc,rxtvm,profile-5,Base64,elapsed_ns,base64-rxtvm-gcc-r5-profile-5,base64-rxtvm-gcc-r5-all-inline,2938585000.000000,3261230500.000000,1.109796211442,10.979621,no
gcc,rxtvm,profile-5,Towers,elapsed_ns,towers-rxtvm-gcc-r5-profile-5,towers-rxtvm-gcc-r5-all-inline,2214439000.000000,2124737000.000000,0.959492223538,-4.050778,yes
gcc,rxtvm,profile-5,RexxCPS,benchmark_rate,rexxcps-rxtvm-gcc-r5-profile-5,rexxcps-rxtvm-gcc-r5-all-inline,36839971.000000,43717058.500000,0.842690982972,-15.730902,yes
gcc,rxtvm,profile-10,Sieve,elapsed_ns,sieve-rxtvm-gcc-r5-profile-10,sieve-rxtvm-gcc-r5-all-inline,1098296500.000000,1247536000.000000,1.135882705626,13.588271,no
gcc,rxtvm,profile-10,Permute,elapsed_ns,permute-rxtvm-gcc-r5-profile-10,permute-rxtvm-gcc-r5-all-inline,2137942500.000000,2289757500.000000,1.071009861116,7.100986,no
gcc,rxtvm,profile-10,Bounce,elapsed_ns,bounce-rxtvm-gcc-r5-profile-10,bounce-rxtvm-gcc-r5-all-inline,1794839000.000000,1254759000.000000,0.699092787710,-30.090721,yes
