compiler,engine,panel,portfolio,workloads,geometric_mean_throughput_delta_percent,guard,threshold_percent
gcc,rxtvm,profile-5,all-seven,Sieve+Permute+Bounce+Richards+Base64+Towers+RexxCPS,-11.057660,no,
gcc,rxtvm,profile-5,without-base64,Sieve+Permute+Bounce+Richards+Towers+RexxCPS,-14.279222,no,
gcc,rxtvm,profile-5,common-five,Sieve+Permute+Bounce+Richards+Base64,-11.445627,yes,1.0
gcc,rxtvm,profile-10,all-seven,Sieve+Permute+Bounce+Richards+Base64+Towers+RexxCPS,-3.116613,no,
gcc,rxtvm,profile-10,without-base64,Sieve+Permute+Bounce+Richards+Towers+RexxCPS,-5.059448,no,
gcc,rxtvm,profile-10,common-five,Sieve+Permute+Bounce+Richards+Base64,-2.110519,yes,1.0
gcc,rxtvm,profile-15,all-seven,Sieve+Permute+Bounce+Richards+Base64+Towers+RexxCPS,2.070700,no,
gcc,rxtvm,profile-15,without-base64,Sieve+Permute+Bounce+Richards+Towers+RexxCPS,1.291733,no,
gcc,rxtvm,profile-15,common-five,Sieve+Permute+Bounce+Richards+Base64,3.179542,no,1.0
gcc,rxtvm,profile-20,all-seven,Sieve+Permute+Bounce+Richards+Base64+Towers+RexxCPS,2.623699,no,
gcc,rxtvm,profile-20,without-base64,Sieve+Permute+Bounce+Richards+Towers+RexxCPS,1.297908,no,
gcc,rxtvm,profile-20,common-five,Sieve+Permute+Bounce+Richards+Base64,3.488741,no,1.0
gcc,rxtvm,profile-30,all-seven,Sieve+Permute+Bounce+Richards+Base64+Towers+RexxCPS,3.472344,no,
gcc,rxtvm,profile-30,without-base64,Sieve+Permute+Bounce+Richards+Towers+RexxCPS,2.290466,no,
gcc,rxtvm,profile-30,common-five,Sieve+Permute+Bounce+Richards+Base64,4.367679,no,1.0
gcc,rxtvm,max-eligible,all-seven,Sieve+Permute+Bounce+Richards+Base64+Towers+RexxCPS,1.306399,no,
gcc,rxtvm,max-eligible,without-base64,Sieve+Permute+Bounce+Richards+Towers+RexxCPS,2.506339,no,
gcc,rxtvm,max-eligible,common-five,Sieve+Permute+Bounce+Richards+Base64,1.518072,no,1.0
gcc,rxtvm,all-outline,all-seven,Sieve+Permute+Bounce+Richards+Base64+Towers+RexxCPS,-29.211028,no,
gcc,rxtvm,all-outline,without-base64,Sieve+Permute+Bounce+Richards+Towers+RexxCPS,-33.321239,no,
gcc,rxtvm,all-outline,common-five,Sieve+Permute+Bounce+Richards+Base64,-34.098426,yes,1.0
gcc,rxbvm,profile-5,all-seven,Sieve+Permute+Bounce+Richards+Base64+Towers+RexxCPS,7.984174,no,
gcc,rxbvm,profile-5,without-base64,Sieve+Permute+Bounce+Richards+Towers+RexxCPS,5.715504,no,
gcc,rxbvm,profile-5,common-five,Sieve+Permute+Bounce+Richards+Base64,12.310234,no,1.0
gcc,rxbvm,profile-10,all-seven,Sieve+Permute+Bounce+Richards+Base64+Towers+RexxCPS,9.694366,no,
gcc,rxbvm,profile-10,without-base64,Sieve+Permute+Bounce+Richards+Towers+RexxCPS,9.082840,no,
gcc,rxbvm,profile-10,common-five,Sieve+Permute+Bounce+Richards+Base64,13.379695,no,1.0
gcc,rxbvm,profile-15,all-seven,Sieve+Permute+Bounce+Richards+Base64+Towers+RexxCPS,11.300679,no,
gcc,rxbvm,profile-15,without-base64,Sieve+Permute+Bounce+Richards+Towers+RexxCPS,9.907109,no,
gcc,rxbvm,profile-15,common-five,Sieve+Permute+Bounce+Richards+Base64,15.315556,no,1.0
gcc,rxbvm,profile-20,all-seven,Sieve+Permute+Bounce+Richards+Base64+Towers+RexxCPS,11.188685,no,
gcc,rxbvm,profile-20,without-base64,Sieve+Permute+Bounce+Richards+Towers+RexxCPS,9.833272,no,
gcc,rxbvm,profile-20,common-five,Sieve+Permute+Bounce+Richards+Base64,14.675942,no,1.0
gcc,rxbvm,profile-30,all-seven,Sieve+Permute+Bounce+Richards+Base64+Towers+RexxCPS,9.923400,no,
gcc,rxbvm,profile-30,without-base64,Sieve+Permute+Bounce+Richards+Towers+RexxCPS,9.400650,no,
gcc,rxbvm,profile-30,common-five,Sieve+Permute+Bounce+Richards+Base64,12.767572,no,1.0
gcc,rxbvm,max-eligible,all-seven,Sieve+Permute+Bounce+Richards+Base64+Towers+RexxCPS,12.742732,no,
gcc,rxbvm,max-eligible,without-base64,Sieve+Permute+Bounce+Richards+Towers+RexxCPS,14.435982,no,
gcc,rxbvm,max-eligible,common-five,Sieve+Permute+Bounce+Richards+Base64,16.176878,no,1.0
gcc,rxbvm,all-outline,all-seven,Sieve+Permute+Bounce+Richards+Base64+Towers+RexxCPS,-6.526271,no,
gcc,rxbvm,all-outline,without-base64,Sieve+Permute+Bounce+Richards+Towers+RexxCPS,-9.961666,no,
gcc,rxbvm,all-outline,common-five,Sieve+Permute+Bounce+Richards+Base64,-6.507590,yes,1.0
